step,env_index,time,observation_000,observation_001,observation_002,observation_003,observation_004,observation_005,observation_006,observation_007,observation_008,observation_009,observation_010,observation_011,observation_012,observation_013,observation_014,observation_015,observation_016,observation_017,observation_018,observation_019,observation_020,observation_021,observation_022,observation_023,observation_024,observation_025,observation_026,observation_027,observation_028,observation_029,observation_030,observation_031,observation_032,action_000,action_001,action_002,action_003,action_004,action_005,action_006,action_007,clipped_action_000,clipped_action_001,clipped_action_002,clipped_action_003,clipped_action_004,clipped_action_005,clipped_action_006,clipped_action_007
16,0,0.8,-0.07186112552881241,-0.2129952758550644,0.332115113735199,0.7320024967193604,-0.718675434589386,1.156928539276123,0.9267586469650269,0.44775113463401794,0.16525493562221527,-0.3771117329597473,-0.28976941108703613,0.1699061393737793,0.34474706649780273,0.1156473383307457,-0.2631348669528961,0.299987256526947,0.1665058135986328,-0.03374982252717018,1.0192394256591797e-05,1.0,-1.0,1.0192394256591797e-05,-1.0057860890810844e-06,9.599152406281064e-08,0.30000001192092896,-4.512717310944936e-09,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,2.2856254133785114e-07,2.1412975570456183e-07,0.2698042690753937,-0.5420428514480591,-0.4555758237838745,0.22154416143894196,0.5698856711387634,0.17246441543102264,-0.4325231909751892,0.14254342019557953,0.2698042690753937,-0.5420428514480591,-0.4555758237838745,0.22154416143894196,0.5698856711387634,0.17246441543102264,-0.4325231909751892,0.14254342019557953
17,0,0.8500000000000001,-0.06122986972332001,-0.23458413779735565,0.3142176866531372,0.7409482598304749,-0.6963249444961548,1.1636807918548584,0.9097844958305359,0.44896385073661804,0.1520897001028061,-0.3675380349159241,-0.28361767530441284,0.15700292587280273,0.34444835782051086,0.1046888455748558,-0.2624295651912689,0.2999872863292694,0.16650578379631042,-0.033749788999557495,1.0013580322265625e-05,1.0,-1.0,1.0013580322265625e-05,-1.2098347497158102e-06,1.4990946795023774e-07,0.29999998211860657,2.858333125743684e-09,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,1.9711031029601145e-07,2.594439365566359e-07,0.24735315144062042,-0.5247169733047485,-0.44191664457321167,0.20144663751125336,0.5670397877693176,0.151705801486969,-0.43016836047172546,0.14716799557209015,0.24735315144062042,-0.5247169733047485,-0.44191664457321167,0.20144663751125336,0.5670397877693176,0.151705801486969,-0.43016836047172546,0.14716799557209015
18,0,0.9,-0.0514986552298069,-0.2555062472820282,0.29684963822364807,0.7491048574447632,-0.6740862727165222,1.1696187257766724,0.8929029107093811,0.4502168297767639,0.13819849491119385,-0.3556053340435028,-0.27564969658851624,0.14356687664985657,0.34279558062553406,0.09207922965288162,-0.26101812720298767,0.2999873161315918,0.16650576889514923,-0.0337497740983963,9.894371032714844e-06,1.0,-1.0,9.894371032714844e-06,-1.3151883422324318e-06,-1.6028824489922044e-08,0.29999998211860657,-5.303151695557062e-09,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,1.8559769898729428e-07,2.581552394076425e-07,0.22343306243419647,-0.5039467215538025,-0.4253755211830139,0.18067561089992523,0.5618544816970825,0.1280992180109024,-0.42661935091018677,0.15054480731487274,0.22343306243419647,-0.5039467215538025,-0.4253755211830139,0.18067561089992523,0.5618544816970825,0.1280992180109024,-0.42661935091018677,0.15054480731487274
19,0,0.9500000000000001,-0.04272330552339554,-0.2756249010562897,0.28012412786483765,0.7564448118209839,-0.6520510911941528,1.1746306419372559,0.8761604428291321,0.45149916410446167,0.12355412542819977,-0.3412724435329437,-0.26585832238197327,0.12959320843219757,0.3397407829761505,0.07773798704147339,-0.25888165831565857,0.2999873161315918,0.16650579869747162,-0.03374982625246048,9.834766387939453e-06,1.0,-1.0,9.834766387939453e-06,-1.0398506447018008e-06,2.169760193737602e-07,0.29999998211860657,-1.1695120427646089e-08,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,1.4241263102121593e-07,2.6443657930030895e-07,0.19823496043682098,-0.4799214005470276,-0.40616703033447266,0.15937882661819458,0.5543769001960754,0.1018117144703865,-0.4219185411930084,0.1526334136724472,0.19823496043682098,-0.4799214005470276,-0.40616703033447266,0.15937882661819458,0.5543769001960754,0.1018117144703865,-0.4219185411930084,0.1526334136724472
20,0,1.0,-0.03495224565267563,-0.2948094606399536,0.26414594054222107,0.7629456520080566,-0.6303091645240784,1.1786119937896729,0.8596026301383972,0.45280003547668457,0.10825170576572418,-0.32468315958976746,-0.2543673515319824,0.11519656330347061,0.335314005613327,0.06176183000206947,-0.2560497522354126,0.2999872863292694,0.1665058135986328,-0.0337497815489769,1.0192394256591797e-05,1.0,-1.0,1.0192394256591797e-05,-1.2573372032420593e-06,1.0785926463086071e-07,0.30000001192092896,-4.3280365957798494e-09,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,2.3155334361035784e-07,3.010597993124975e-07,0.17220810055732727,-0.45316997170448303,-0.38477498292922974,0.13789787888526917,0.5448158979415894,0.07339607179164886,-0.41619643568992615,0.15344901382923126,0.17220810055732727,-0.45316997170448303,-0.38477498292922974,0.13789787888526917,0.5448158979415894,0.07339607179164886,-0.41619643568992615,0.15344901382923126
21,0,1.05,-0.028216255828738213,-0.3129480183124542,0.24900120496749878,0.7685972452163696,-0.6089416742324829,1.18147873878479,0.843269407749176,0.45410871505737305,0.09254605323076248,-0.3062259554862976,-0.24147328734397888,0.10061938315629959,0.32962697744369507,0.04449484869837761,-0.2525992691516876,0.2999873161315918,0.16650579869747162,-0.03374982997775078,9.894371032714844e-06,1.0,-1.0,9.894371032714844e-06,-9.991140359488782e-07,1.9994415367818874e-07,0.29999998211860657,-1.2255005898964555e-09,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,1.3097535145334405e-07,3.2717017006689275e-07,0.14603374898433685,-0.42453762888908386,-0.36192405223846436,0.11673619598150253,0.533541738986969,0.043767042458057404,-0.40967050194740295,0.1530769318342209,0.14603374898433685,-0.42453762888908386,-0.36192405223846436,0.11673619598150253,0.533541738986969,0.043767042458057404,-0.40967050194740295,0.1530769318342209
22,0,1.1,-0.022519376128911972,-0.32996031641960144,0.23474769294261932,0.7734085917472839,-0.5880158543586731,1.1831841468811035,0.8271923065185547,0.45541518926620483,0.07683321833610535,-0.28650182485580444,-0.22762031853199005,0.08622120320796967,0.3229113221168518,0.026484506204724312,-0.24865971505641937,0.299987256526947,0.16650578379631042,-0.03374971076846123,1.0192394256591797e-05,1.0,-1.0,1.0192394256591797e-05,-1.6024002889025724e-06,1.8953446101477311e-07,0.29999998211860657,-9.89802462214584e-09,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,1.4135110859569977e-07,3.2997277799040603e-07,0.12051773071289062,-0.3950600326061249,-0.3384665846824646,0.09647069126367569,0.5210389494895935,0.01405099593102932,-0.40261706709861755,0.15166832506656647,0.12051773071289062,-0.3950600326061249,-0.3384665846824646,0.09647069126367569,0.5210389494895935,0.01405099593102932,-0.40261706709861755,0.15166832506656647
23,0,1.1500000000000001,-0.01783391833305359,-0.34580591320991516,0.22141030430793762,0.7774110436439514,-0.5675795674324036,1.1837235689163208,0.8113915324211121,0.45671069622039795,0.06158965826034546,-0.26624226570129395,-0.21333688497543335,0.07240676879882812,0.3154206871986389,0.008450073190033436,-0.24438534677028656,0.2999873757362366,0.16650578379631042,-0.03374974802136421,9.715557098388672e-06,1.0,-1.0,9.715557098388672e-06,-1.4560260979123996e-06,1.6168529270998988e-07,0.30000004172325134,3.772299805859802e-09,0.038499996066093445,1.1920928955078125e-07,1.0,-1.0,1.1920928955078125e-07,2.4207565729739144e-07,3.9252160632941013e-08,0.09641605615615845,-0.3657553195953369,-0.3152214288711548,0.07761440426111221,0.5078164935112,-0.014656511135399342,-0.3953275978565216,0.14942197501659393,0.09641605615615845,-0.3657553195953369,-0.3152214288711548,0.07761440426111221,0.5078164935112,-0.014656511135399342,-0.3953275978565216,0.14942197501659393
24,0,1.2000000000000002,-0.014102551154792309,-0.36048513650894165,0.20898164808750153,0.7806570529937744,-0.5476608276367188,1.1831374168395996,0.7958769798278809,0.4579877555370331,0.04725893214344978,-0.24615150690078735,-0.19912922382354736,0.05953315272927284,0.3074933886528015,-0.00898465234786272,-0.23997420072555542,0.2999873459339142,0.16650579869747162,-0.033749669790267944,9.894371032714844e-06,1.0,-1.0,9.894371032714844e-06,-1.9447463728283765e-06,4.5550063987320755e-07,0.30000004172325134,4.300148681579685e-09,0.038499996066093445,5.960464477539063e-08,1.0,-1.0,5.960464477539063e-08,1.6013093784295052e-07,1.590126146311377e-07,0.07431288063526154,-0.3374641537666321,-0.2928365170955658,0.06053873524069786,0.4943280816078186,-0.041483066976070404,-0.38805556297302246,0.14654968678951263,0.07431288063526154,-0.3374641537666321,-0.2928365170955658,0.06053873524069786,0.4943280816078186,-0.041483066976070404,-0.38805556297302246,0.14654968678951263
25,0,1.25,-0.011245065368711948,-0.3740331530570984,0.197428897023201,0.7832146883010864,-0.5282696485519409,1.1815001964569092,0.7806475758552551,0.4592411518096924,0.03418400511145592,-0.22680647671222687,-0.18540120124816895,0.047856878489255905,0.2993958294391632,-0.025281526148319244,-0.23557086288928986,0.299987256526947,0.1665058135986328,-0.03374980762600899,1.0251998901367188e-05,1.0,-1.0,1.0251998901367188e-05,-1.1362672012182884e-06,1.922332302228824e-07,0.30000001192092896,8.82838957494414e-09,0.038499996066093445,5.960464477539063e-08,1.0,-1.0,5.960464477539063e-08,2.032984696143103e-07,-4.21253538718247e-08,0.054531220346689224,-0.31073981523513794,-0.27173084020614624,0.04541092365980148,0.4809158146381378,-0.06589927524328232,-0.38099199533462524,0.14324547350406647,0.054531220346689224,-0.31073981523513794,-0.27173084020614624,0.04541092365980148,0.4809158146381378,-0.06589927524328232,-0.38099199533462524,0.14324547350406647
