step,penalty_forward_rotation_stage1_0
0,-0.0
1,-0.0
2,-0.0
3,-1.1302806342428084e-05
4,-1.1302806342428084e-05
5,-0.0
6,-1.1302806342428084e-05
7,-2.260561268485617e-05
8,-0.0
9,-2.260561268485617e-05
10,-0.0
11,-0.0
12,-2.260561268485617e-05
13,-0.0
14,-1.1302806342428084e-05
15,-1.1302806342428084e-05
16,-0.0
17,-1.1302806342428084e-05
18,-2.260561268485617e-05
19,-0.0
20,-2.260561268485617e-05
21,-0.0
22,-0.0
23,-2.260561268485617e-05
24,-0.0
25,-1.1302806342428084e-05
26,-1.1302806342428084e-05
27,-0.0
28,-1.1302806342428084e-05
29,-2.260561268485617e-05
30,-0.0
31,-2.260561268485617e-05
32,-0.0
33,-0.0
34,-2.260561268485617e-05
35,-0.0
36,-1.1302806342428084e-05
37,-1.1302806342428084e-05
38,-0.0
39,-1.1302806342428084e-05
40,-2.260561268485617e-05
41,-0.0
42,-2.260561268485617e-05
43,-0.0
44,-0.0
45,-2.260561268485617e-05
46,-0.0
47,-1.1302806342428084e-05
48,-1.1302806342428084e-05
49,-0.0
50,-1.1302806342428084e-05
51,-2.260561268485617e-05
52,-0.0
53,-2.260561268485617e-05
54,-0.0
55,-0.0
56,-2.260561268485617e-05
57,-0.0
58,-1.1302806342428084e-05
59,-1.1302806342428084e-05
60,-0.0
61,-1.1302806342428084e-05
62,-2.260561268485617e-05
63,-0.0
64,-2.260561268485617e-05
65,-0.0
66,-0.0
67,-2.260561268485617e-05
68,-0.0
69,-1.1302806342428084e-05
70,-1.1302806342428084e-05
71,-0.0
72,-1.1302806342428084e-05
73,-2.260561268485617e-05
74,-0.0
75,-2.260561268485617e-05
76,-0.0
77,-0.0
78,-2.260561268485617e-05
79,-0.0
80,-1.1302806342428084e-05
81,-1.1302806342428084e-05
82,-0.0
83,-1.1302806342428084e-05
84,-2.260561268485617e-05
85,-0.0
86,-2.260561268485617e-05
87,-0.0
88,-0.0
89,-2.260561268485617e-05
90,-0.0
91,-1.1302806342428084e-05
92,-1.1302806342428084e-05
93,-0.0
94,-1.1302806342428084e-05
95,-2.260561268485617e-05
96,-0.0
97,-2.260561268485617e-05
98,-0.0
99,-0.0
100,-2.260561268485617e-05
101,-0.0
102,-1.1302806342428084e-05
103,-1.1302806342428084e-05
104,-0.0
105,-1.1302806342428084e-05
106,-2.260561268485617e-05
107,-0.0
108,-2.260561268485617e-05
109,-0.0
110,-0.0
111,-2.260561268485617e-05
112,-0.0
113,-1.1302806342428084e-05
114,-1.1302806342428084e-05
115,-0.0
116,-1.1302806342428084e-05
117,-2.260561268485617e-05
118,-0.0
119,-2.260561268485617e-05
120,-0.0
121,-0.0
122,-2.260561268485617e-05
123,-0.0
124,-1.1302806342428084e-05
125,-1.1302806342428084e-05
126,-0.0
127,-1.1302806342428084e-05
128,-2.260561268485617e-05
129,-0.0
130,-2.260561268485617e-05
131,-0.0
132,-0.0
133,-2.260561268485617e-05
134,-0.0
135,-1.1302806342428084e-05
136,-1.1302806342428084e-05
137,-0.0
138,-1.1302806342428084e-05
139,-2.260561268485617e-05
140,-0.0
141,-2.260561268485617e-05
142,-0.0
143,-0.0
144,-2.260561268485617e-05
145,-0.0
146,-1.1302806342428084e-05
147,-1.1302806342428084e-05
148,-0.0
149,-1.1302806342428084e-05
150,-2.260561268485617e-05
151,-0.0
152,-2.260561268485617e-05
153,-0.0
154,-0.0
155,-2.260561268485617e-05
156,-0.0
157,-1.1302806342428084e-05
158,-1.1302806342428084e-05
159,-0.0
160,-1.1302806342428084e-05
161,-2.260561268485617e-05
162,-0.0
163,-2.260561268485617e-05
164,-0.0
165,-0.0
166,-2.260561268485617e-05
167,-0.0
168,-1.1302806342428084e-05
169,-1.1302806342428084e-05
170,-0.0
171,-1.1302806342428084e-05
172,-2.260561268485617e-05
173,-0.0
174,-2.260561268485617e-05
175,-0.0
176,-0.0
177,-2.260561268485617e-05
178,-0.0
179,-1.1302806342428084e-05
180,-1.1302806342428084e-05
181,-0.0
182,-1.1302806342428084e-05
183,-2.260561268485617e-05
184,-0.0
185,-2.260561268485617e-05
186,-0.0
187,-1.559357762336731
188,-1.0347040891647339
189,-0.0
190,-0.0
191,-0.0
192,-0.0
193,-4.521122536971234e-05
194,-0.0
195,-0.0
196,-0.0
197,-0.0
198,-0.0
