step,time,current_tcp_x,current_tcp_y,current_tcp_z,commanded_tcp_x,commanded_tcp_y,commanded_tcp_z,delta_tcp_x,delta_tcp_y,delta_tcp_z,current_tcp_roll,current_tcp_pitch,current_tcp_yaw,commanded_tcp_roll,commanded_tcp_pitch,commanded_tcp_yaw,delta_tcp_roll,delta_tcp_pitch,delta_tcp_yaw,qpos_0,commanded_qpos_0,action_0,delta_q_0,qpos_1,commanded_qpos_1,action_1,delta_q_1,qpos_2,commanded_qpos_2,action_2,delta_q_2,qpos_3,commanded_qpos_3,action_3,delta_q_3,qpos_4,commanded_qpos_4,action_4,delta_q_4,qpos_5,commanded_qpos_5,action_5,delta_q_5,qpos_6,commanded_qpos_6,action_6,delta_q_6
10,0.5,0.28508299589157104,0.17526628077030182,-0.013955406844615936,0.28370600938796997,0.19382189214229584,-0.018366165459156036,-0.0013769865036010742,0.01855561137199402,-0.0044107586145401,2.3604938983917236,-0.18945243954658508,-0.013622566126286983,2.3838953971862793,-0.17328950762748718,-0.014648371376097202,0.023401498794555664,0.0161629319190979,-0.0010258052498102188,-0.4995182454586029,-0.47951823472976685,1.0,0.019999999552965164,0.3168642520904541,0.3127691149711609,-0.2047574818134308,-0.00409514969214797,0.4633963108062744,0.4833963215351105,1.0,0.019999999552965164,0.5643234848976135,0.5486775636672974,-0.782296359539032,-0.01564592681825161,-1.2010087966918945,-1.1810088157653809,1.0,0.019999999552965164,1.013379454612732,0.9933794736862183,-1.0,-0.019999999552965164,1.08091139793396,1.1009113788604736,1.0,0.019999999552965164
11,0.55,0.2848706841468811,0.19022749364376068,-0.016852624714374542,0.2854495048522949,0.2080344557762146,-0.01943935453891754,0.0005788207054138184,0.01780696213245392,-0.0025867298245429993,2.3826026916503906,-0.1756252497434616,-0.008358552120625973,2.404827117919922,-0.15592651069164276,-0.005235554650425911,0.02222442626953125,0.019698739051818848,0.003122997470200062,-0.4824444651603699,-0.4624444544315338,1.0,0.019999999552965164,0.30937254428863525,0.30161789059638977,-0.38773229718208313,-0.007754645776003599,0.4768765866756439,0.49687659740448,1.0,0.019999999552965164,0.5519203543663025,0.5394678115844727,-0.6226270794868469,-0.012452540919184685,-1.1813241243362427,-1.161324143409729,1.0,0.019999999552965164,0.9929789304733276,0.972978949546814,-1.0,-0.019999999552965164,1.0965609550476074,1.116560935974121,1.0,0.019999999552965164
12,0.6000000000000001,0.28627997636795044,0.20322619378566742,-0.01787087321281433,0.2876068353652954,0.22031395137310028,-0.019484147429466248,0.0013268589973449707,0.01708775758743286,-0.0016132742166519165,2.4065213203430176,-0.16146644949913025,0.00636462215334177,2.426461696624756,-0.1414012312889099,0.010834828950464725,0.01994037628173828,0.020065218210220337,0.004470206797122955,-0.46684834361076355,-0.4468483328819275,1.0,0.019999999552965164,0.2959398329257965,0.2878113389015198,-0.4064250588417053,-0.008128500543534756,0.4858442544937134,0.505844235420227,1.0,0.019999999552965164,0.542266309261322,0.5325734615325928,-0.4846409559249878,-0.009692818857729435,-1.1589025259017944,-1.1389025449752808,1.0,0.019999999552965164,0.9688858985900879,0.9514465928077698,-0.8719647526741028,-0.01743929460644722,1.110207438468933,1.1302074193954468,1.0,0.019999999552965164
13,0.65,0.28917333483695984,0.2137133777141571,-0.01706838607788086,0.29209962487220764,0.23039191961288452,-0.01761700212955475,0.0029262900352478027,0.016678541898727417,-0.0005486160516738892,2.426205635070801,-0.14710423350334167,0.026880981400609016,2.4449427127838135,-0.12508505582809448,0.02950589545071125,0.018737077713012695,0.022019177675247192,0.002624914050102234,-0.45447853207588196,-0.4344785213470459,1.0,0.019999999552965164,0.2806277573108673,0.2718016803264618,-0.4413042962551117,-0.008826085366308689,0.49396029114723206,0.5139603018760681,1.0,0.019999999552965164,0.536450207233429,0.5304691791534424,-0.2990519106388092,-0.005981037858873606,-1.1378883123397827,-1.117888331413269,1.0,0.019999999552965164,0.9488056898117065,0.9329375624656677,-0.7934069633483887,-0.015868138521909714,1.124479055404663,1.1402555704116821,0.7888230085372925,0.015776459127664566
14,0.7000000000000001,0.2904495596885681,0.22342871129512787,-0.016976088285446167,0.29163673520088196,0.24083523452281952,-0.018290579319000244,0.0011871755123138428,0.01740652322769165,-0.0013144910335540771,2.444755792617798,-0.13739950954914093,0.04306075721979141,2.4661805629730225,-0.1159951239824295,0.040406860411167145,0.02142477035522461,0.021404385566711426,-0.0026538968086242676,-0.445026159286499,-0.42502614855766296,1.0,0.019999999552965164,0.26888349652290344,0.2593097388744354,-0.47868821024894714,-0.00957376416772604,0.502826988697052,0.5228269696235657,1.0,0.019999999552965164,0.5305289626121521,0.5206305980682373,-0.49491846561431885,-0.009898369200527668,-1.1173417568206787,-1.097341775894165,1.0,0.019999999552965164,0.9315299987792969,0.9115300178527832,-1.0,-0.019999999552965164,1.135899305343628,1.1489168405532837,0.6508777141571045,0.013017553836107254
15,0.75,0.291453093290329,0.23844148218631744,-0.017984196543693542,0.2931218147277832,0.2538542151451111,-0.016774296760559082,0.0016687214374542236,0.01541273295879364,0.0012098997831344604,2.464362621307373,-0.11902086436748505,0.04195714369416237,2.4790735244750977,-0.09581660479307175,0.04344208911061287,0.01471090316772461,0.0232042595744133,0.0014849454164505005,-0.4268219470977783,-0.40682193636894226,1.0,0.019999999552965164,0.2589421570301056,0.2430458962917328,-0.7948131561279297,-0.015896262601017952,0.5183945894241333,0.538394570350647,1.0,0.019999999552965164,0.5212509036064148,0.511537492275238,-0.4856695830821991,-0.009713391773402691,-1.0985796451568604,-1.0785796642303467,1.0,0.019999999552965164,0.912465512752533,0.8975023031234741,-0.7481610774993896,-0.014963220804929733,1.146236777305603,1.160827875137329,0.7295565605163574,0.014591130428016186
16,0.8,0.2926357388496399,0.25136271119117737,-0.016867071390151978,0.2947544753551483,0.26617786288261414,-0.01485414057970047,0.002118736505508423,0.014815151691436768,0.0020129308104515076,2.4778268337249756,-0.09996427595615387,0.044917840510606766,2.4907448291778564,-0.07602198421955109,0.04277760162949562,0.01291799545288086,0.023942291736602783,-0.002140238881111145,-0.40976476669311523,-0.3897647559642792,1.0,0.019999999552965164,0.2438526600599289,0.22697389125823975,-0.8439381122589111,-0.01687876135110855,0.5341511368751526,0.5541511178016663,1.0,0.019999999552965164,0.5119777321815491,0.5040978789329529,-0.39399152994155884,-0.007879829965531826,-1.080155372619629,-1.0601553916931152,1.0,0.019999999552965164,0.8982129693031311,0.8852554559707642,-0.6478745937347412,-0.012957491911947727,1.1582081317901611,1.1680908203125,0.49413424730300903,0.009882684797048569
17,0.8500000000000001,0.29490533471107483,0.26541393995285034,-0.014935657382011414,0.29653817415237427,0.280314177274704,-0.013099715113639832,0.0016328394412994385,0.014900237321853638,0.001835942268371582,2.4891574382781982,-0.07631919533014297,0.04057195410132408,2.502718925476074,-0.05303399637341499,0.03189169242978096,0.013561487197875977,0.02328519895672798,-0.008680261671543121,-0.3895227611064911,-0.36952275037765503,1.0,0.019999999552965164,0.22833096981048584,0.212509423494339,-0.7910772562026978,-0.0158215444535017,0.5524452924728394,0.572445273399353,1.0,0.019999999552965164,0.5049353837966919,0.4978293478488922,-0.35530197620391846,-0.007106039207428694,-1.0624940395355225,-1.0424940586090088,1.0,0.019999999552965164,0.8865323066711426,0.8736032843589783,-0.6464517116546631,-0.012929033488035202,1.1666532754898071,1.170694351196289,0.2020564079284668,0.004041127860546112
18,0.9,0.29695525765419006,0.27984559535980225,-0.0130586177110672,0.29838746786117554,0.29236748814582825,-0.010518193244934082,0.0014322102069854736,0.012521892786026001,0.0025404244661331177,2.5009806156158447,-0.05230659991502762,0.02992955781519413,2.511056661605835,-0.032165784388780594,0.019502338021993637,0.010076045989990234,0.020140815526247025,-0.010427219793200493,-0.3687216341495514,-0.34872162342071533,1.0,0.019999999552965164,0.21369273960590363,0.1973743587732315,-0.8159192800521851,-0.016318384557962418,0.5712195634841919,0.5865963101387024,0.7688368558883667,0.015376736409962177,0.49890363216400146,0.4935655891895294,-0.2669016122817993,-0.005338032264262438,-1.045032262802124,-1.0250322818756104,1.0,0.019999999552965164,0.8750647902488708,0.8656540513038635,-0.4705355167388916,-0.009410710074007511,1.1701452732086182,1.168259620666504,-0.0942801982164383,-0.0018856038805097342
19,0.9500000000000001,0.29875558614730835,0.29223769903182983,-0.010570704936981201,0.3005456030368805,0.2990964353084564,-0.007024228572845459,0.0017900168895721436,0.006858736276626587,0.003546476364135742,2.509915590286255,-0.0310678631067276,0.01771586574614048,2.5152692794799805,-0.019484026357531548,0.014266939833760262,0.005353689193725586,0.011583836749196053,-0.0034489259123802185,-0.3478260338306427,-0.3343518376350403,0.6737099289894104,0.013474198058247566,0.19858212769031525,0.18201109766960144,-0.8285518884658813,-0.016571037471294403,0.5858824253082275,0.5929014086723328,0.3509483337402344,0.0070189666002988815,0.494387686252594,0.49253734946250916,-0.09251655638217926,-0.0018503310857340693,-1.0275033712387085,-1.0075033903121948,1.0,0.019999999552965164,0.8665596842765808,0.8621208667755127,-0.22194097936153412,-0.0044388193637132645,1.1684387922286987,1.159977674484253,-0.42305707931518555,-0.008461141027510166
