step,obs/agent/xarm7_ball_ee-1/qpos_0,obs/agent/xarm7_ball_ee-1/qpos_1,obs/agent/xarm7_ball_ee-1/qpos_2,obs/agent/xarm7_ball_ee-1/qpos_3,obs/agent/xarm7_ball_ee-1/qpos_4,obs/agent/xarm7_ball_ee-1/qpos_5,obs/agent/xarm7_ball_ee-1/qpos_6,obs/agent/xarm7_ball_ee-1/qpos_7
0,0.023386644199490547,-0.2233068197965622,-0.21302703022956848,0.8573686480522156,0.2997138202190399,1.0237605571746826,-0.3685356080532074,0.7306174039840698
1,0.05092663690447807,-0.20571798086166382,-0.18265491724014282,0.8262856006622314,0.3282434642314911,1.0538411140441895,-0.3434534966945648,0.7307112216949463
2,0.06273052841424942,-0.18773199617862701,-0.1504555344581604,0.796396791934967,0.3523077070713043,1.0838972330093384,-0.3156633973121643,0.7308053970336914
3,0.06514235585927963,-0.16180001199245453,-0.11993395537137985,0.7669451236724854,0.37065833806991577,1.1137017011642456,-0.2866781949996948,0.730891227722168
4,0.0777209997177124,-0.13493719696998596,-0.09112600982189178,0.7367761135101318,0.3857380151748657,1.1433848142623901,-0.2577376067638397,0.7309868931770325
5,0.10224519670009613,-0.10993274301290512,-0.06173214316368103,0.7066019177436829,0.3970666527748108,1.1730715036392212,-0.23034532368183136,0.7310259342193604
6,0.13043498992919922,-0.08910346776247025,-0.03128272667527199,0.6763628721237183,0.3883357048034668,1.202830195426941,-0.21735329926013947,0.7312152981758118
7,0.15712116658687592,-0.07216372340917587,-0.001014030771329999,0.6467815041542053,0.3889370560646057,1.2323572635650635,-0.20151779055595398,0.7311890721321106
8,0.18445289134979248,-0.061132270842790604,0.029047636315226555,0.6205195784568787,0.4019869565963745,1.261203646659851,-0.17779868841171265,0.731164813041687
9,0.21219566464424133,-0.06392598897218704,0.05930967256426811,0.6017761826515198,0.42122647166252136,1.2898998260498047,-0.15292927622795105,0.7311826348304749
10,0.24013039469718933,-0.061754260212183,0.08916480094194412,0.582301139831543,0.44476059079170227,1.317417025566101,-0.12710849940776825,0.7311817407608032
11,0.2508786916732788,-0.05471209064126015,0.11617151647806168,0.5739419460296631,0.45513325929641724,1.3261754512786865,-0.10961820930242538,0.7308961749076843
12,0.22810328006744385,-0.05138785392045975,0.1353931576013565,0.5749446153640747,0.45776909589767456,1.328571081161499,-0.09306170791387558,0.7309276461601257
13,0.20105309784412384,-0.04586552456021309,0.15359675884246826,0.5754872560501099,0.4619406759738922,1.331373929977417,-0.07627662271261215,0.7308896780014038
14,0.17332062125205994,-0.041045088320970535,0.17138735949993134,0.5744140148162842,0.46931979060173035,1.3361523151397705,-0.058677393943071365,0.7308513522148132
15,0.15171107649803162,-0.037814173847436905,0.1895045042037964,0.5694027543067932,0.4840039908885956,1.3497148752212524,-0.0361277274787426,0.7310305237770081
16,0.168361097574234,-0.03479694947600365,0.21503178775310516,0.5420494675636292,0.5027029514312744,1.3780485391616821,-0.00834323838353157,0.731309175491333
17,0.19931355118751526,-0.05069538205862045,0.2409360408782959,0.5317638516426086,0.5149357914924622,1.4065208435058594,0.01947578229010105,0.7313684225082397
