step,box_theta_deg_0
0,331.96697998046875
1,331.9670715332031
2,331.96697998046875
3,331.967041015625
4,331.96697998046875
5,331.9670104980469
6,331.967041015625
7,331.96697998046875
8,331.967041015625
9,331.96697998046875
10,331.9670104980469
11,331.9670715332031
12,331.96697998046875
13,331.967041015625
14,331.96697998046875
15,331.9670104980469
16,331.9670104980469
17,331.967041015625
18,331.96697998046875
19,331.967041015625
20,331.96697998046875
21,331.96697998046875
22,331.967041015625
23,331.96697998046875
24,331.967041015625
25,331.96697998046875
26,331.96697998046875
27,331.9670715332031
28,331.9670104980469
29,331.9670715332031
30,331.96697998046875
31,331.967041015625
32,331.96697998046875
33,331.96697998046875
34,331.967041015625
35,331.96697998046875
36,331.9670104980469
37,331.9670715332031
38,331.9670104980469
39,331.967041015625
40,331.96697998046875
41,331.9670104980469
42,331.96710205078125
43,331.9670104980469
44,331.967041015625
45,331.96697998046875
46,331.967041015625
47,331.96710205078125
48,331.9670104980469
49,331.967041015625
50,331.96697998046875
51,331.967041015625
52,331.96697998046875
53,331.9670104980469
54,331.967041015625
55,331.96710205078125
56,331.9670104980469
57,331.967041015625
58,331.96697998046875
59,331.9670104980469
60,331.967041015625
61,331.96697998046875
62,331.967041015625
63,331.96697998046875
64,331.9670104980469
65,331.967041015625
66,331.96697998046875
67,331.967041015625
68,331.96697998046875
69,331.9670104980469
70,331.9670715332031
71,331.96697998046875
72,331.967041015625
73,331.96710205078125
74,331.9670104980469
75,331.967041015625
76,331.9570617675781
77,331.9570617675781
78,331.95703125
79,331.95703125
80,331.9570617675781
81,331.95703125
82,331.95703125
83,331.9570617675781
84,331.95703125
85,331.9570617675781
86,331.9570617675781
87,331.95703125
88,331.9570617675781
89,331.9570617675781
90,331.95703125
91,331.9570617675781
92,331.9570617675781
93,331.95703125
94,331.9570617675781
95,331.9570617675781
96,331.95703125
97,331.9570617675781
98,331.9570617675781
99,331.95703125
100,331.9570617675781
101,331.9570617675781
102,331.95703125
103,331.9570617675781
104,331.9570617675781
105,331.95703125
106,331.9570617675781
107,331.9570617675781
108,331.95703125
109,331.9570617675781
110,331.9570617675781
111,331.95703125
112,331.9570617675781
113,332.0605773925781
114,331.9884338378906
115,331.74566650390625
116,331.4265441894531
117,331.15673828125
118,330.96636962890625
119,330.82501220703125
120,330.7439270019531
121,330.78668212890625
122,330.9110412597656
123,330.99322509765625
124,331.04888916015625
125,331.0307922363281
126,331.0048828125
127,330.9089050292969
128,330.7513732910156
129,330.4683532714844
130,330.0138854980469
131,329.5799255371094
132,329.0307312011719
133,328.5338439941406
134,328.3692321777344
135,328.1651916503906
136,328.11602783203125
137,328.1161193847656
138,328.1161193847656
139,328.11602783203125
140,327.4148864746094
141,326.1640319824219
142,325.30853271484375
143,324.6258239746094
144,323.80230712890625
145,322.9456481933594
146,320.7410583496094
147,319.1396484375
148,318.9520568847656
149,318.9520568847656
150,318.95208740234375
151,318.95208740234375
152,318.95208740234375
153,318.95208740234375
154,318.9521179199219
155,318.9521179199219
156,318.9521179199219
157,318.9520568847656
158,318.9520568847656
159,318.9520568847656
160,318.9520568847656
161,318.9520568847656
162,318.95208740234375
163,318.95208740234375
164,318.95208740234375
165,318.95208740234375
166,318.95208740234375
167,318.95208740234375
168,318.98907470703125
169,318.992919921875
170,318.9949035644531
171,318.9973449707031
172,318.9981384277344
173,318.9979553222656
174,318.99713134765625
175,318.9976806640625
176,318.9976501464844
177,318.99749755859375
178,318.99737548828125
179,318.9972229003906
180,318.9953308105469
181,318.87347412109375
182,318.6668701171875
183,318.57098388671875
184,318.4219970703125
185,318.3602294921875
186,318.3644714355469
187,317.8716125488281
188,317.395263671875
189,317.3002014160156
190,316.9814147949219
191,316.73565673828125
192,316.6911315917969
193,316.69097900390625
194,316.69134521484375
195,316.6912841796875
196,316.6913757324219
197,316.6912841796875
198,316.6913146972656
