step,pushpoint_right_world_0,pushpoint_right_world_1,pushpoint_right_world_2
0,-0.24888522922992706,0.15594319999217987,0.0570000484585762
1,-0.2783239781856537,-0.15714482963085175,0.05699983239173889
2,-0.2783241271972656,-0.15714530646800995,0.05699978768825531
3,-0.2783240079879761,-0.15714482963085175,0.056999798864126205
4,-0.2783241271972656,-0.15714482963085175,0.05699985474348068
5,-0.27832403779029846,-0.15714482963085175,0.056999824941158295
6,-0.2783239781856537,-0.15714482963085175,0.05699982866644859
7,-0.27832406759262085,-0.15714482963085175,0.05699985474348068
8,-0.2783240079879761,-0.15714484453201294,0.05699982866644859
9,-0.2783241271972656,-0.15714530646800995,0.05699988454580307
10,-0.27832406759262085,-0.15714530646800995,0.056999873369932175
11,-0.278324156999588,-0.15714530646800995,0.05699988082051277
12,-0.27832403779029846,-0.15714482963085175,0.05699983984231949
13,-0.2783239781856537,-0.15714482963085175,0.05699982866644859
14,-0.27832409739494324,-0.15714482963085175,0.056999776512384415
15,-0.2783240079879761,-0.15714482963085175,0.056999847292900085
16,-0.2783241271972656,-0.15714482963085175,0.05699986219406128
17,-0.27832403779029846,-0.15714482963085175,0.056999824941158295
18,-0.2783239781856537,-0.15714482963085175,0.056999847292900085
19,-0.27832406759262085,-0.15714482963085175,0.056999847292900085
20,-0.2783240079879761,-0.15714484453201294,0.05699983611702919
21,-0.2783241271972656,-0.15714530646800995,0.056999851018190384
22,-0.27832403779029846,-0.15714484453201294,0.05699985474348068
23,-0.278324156999588,-0.15714530646800995,0.05699988082051277
24,-0.27832403779029846,-0.15714482963085175,0.05699983984231949
25,-0.2783239781856537,-0.15714482963085175,0.056999847292900085
26,-0.27832409739494324,-0.15714482963085175,0.056999776512384415
27,-0.2783240079879761,-0.15714482963085175,0.05699983611702919
28,-0.2783241271972656,-0.15714482963085175,0.05699985846877098
29,-0.27832403779029846,-0.15714482963085175,0.05699985474348068
30,-0.2783239781856537,-0.15714482963085175,0.056999847292900085
31,-0.27832406759262085,-0.15714482963085175,0.056999847292900085
32,-0.2783240079879761,-0.15714484453201294,0.05699983611702919
33,-0.2783241271972656,-0.15714530646800995,0.056999851018190384
34,-0.27832403779029846,-0.15714484453201294,0.05699985474348068
35,-0.278324156999588,-0.15714530646800995,0.05699988082051277
36,-0.27832403779029846,-0.15714482963085175,0.05699984356760979
37,-0.2783239781856537,-0.15714482963085175,0.05699984356760979
38,-0.27832406759262085,-0.15714482963085175,0.056999776512384415
39,-0.2783240079879761,-0.15714484453201294,0.05699983611702919
40,-0.2783241271972656,-0.15714482963085175,0.05699986219406128
41,-0.27832403779029846,-0.15714482963085175,0.05699985474348068
42,-0.2783239483833313,-0.15714484453201294,0.056999851018190384
43,-0.27832403779029846,-0.15714482963085175,0.056999847292900085
44,-0.2783239781856537,-0.15714482963085175,0.05699983611702919
45,-0.27832409739494324,-0.15714530646800995,0.056999851018190384
46,-0.2783240079879761,-0.15714484453201294,0.05699985474348068
47,-0.2783241271972656,-0.15714530646800995,0.05699988082051277
48,-0.27832403779029846,-0.15714484453201294,0.05699984356760979
49,-0.278324156999588,-0.15714530646800995,0.05699986591935158
50,-0.27832403779029846,-0.15714482963085175,0.056999851018190384
51,-0.2783239781856537,-0.15714482963085175,0.05699983239173889
52,-0.2783241271972656,-0.15714481472969055,0.05699986219406128
53,-0.2783240079879761,-0.15714482963085175,0.05699985474348068
54,-0.2783239483833313,-0.15714484453201294,0.056999847292900085
55,-0.27832403779029846,-0.15714482963085175,0.056999847292900085
56,-0.2783239781856537,-0.15714482963085175,0.05699983611702919
57,-0.27832406759262085,-0.15714482963085175,0.056999847292900085
58,-0.2783240079879761,-0.15714484453201294,0.05699985474348068
59,-0.2783241271972656,-0.15714530646800995,0.05699988082051277
60,-0.27832403779029846,-0.15714484453201294,0.05699984356760979
61,-0.2783239781856537,-0.15714484453201294,0.056999847292900085
62,-0.27832406759262085,-0.15714482963085175,0.056999776512384415
63,-0.2783239781856537,-0.15714482963085175,0.05699983239173889
64,-0.2783241271972656,-0.15714481472969055,0.05699986219406128
65,-0.2783240079879761,-0.15714482963085175,0.056999851018190384
66,-0.2783239483833313,-0.15714484453201294,0.056999847292900085
67,-0.27832403779029846,-0.15714482963085175,0.056999847292900085
68,-0.2783239781856537,-0.15714482963085175,0.05699983611702919
69,-0.27832409739494324,-0.15714530646800995,0.05699985474348068
70,-0.2783240079879761,-0.15714484453201294,0.05699985474348068
71,-0.2783241271972656,-0.15714530646800995,0.05699988082051277
72,-0.27832403779029846,-0.15714484453201294,0.05699983984231949
73,-0.2783239781856537,-0.15714484453201294,0.056999847292900085
74,-0.27832406759262085,-0.15714482963085175,0.056999776512384415
75,-0.2783239781856537,-0.15714482963085175,0.05699983611702919
76,-0.27832409739494324,-0.15714482963085175,0.05699976533651352
77,-0.2783240079879761,-0.15714482963085175,0.05699983239173889
78,-0.2783239483833313,-0.15714484453201294,0.056999847292900085
79,-0.27832403779029846,-0.15714482963085175,0.056999847292900085
80,-0.2781374454498291,-0.15744395554065704,0.05720867961645126
81,-0.2768186330795288,-0.16234932839870453,0.057033974677324295
82,-0.275654137134552,-0.1670067012310028,0.05705217272043228
83,-0.27411219477653503,-0.17062123119831085,0.05705805867910385
84,-0.27214983105659485,-0.17375001311302185,0.057057492434978485
85,-0.2699117660522461,-0.17687951028347015,0.05705171450972557
86,-0.26792004704475403,-0.18183071911334991,0.057020269334316254
87,-0.26744958758354187,-0.18458865582942963,0.05699990317225456
88,-0.2674495279788971,-0.18458913266658783,0.05699979513883591
89,-0.2674494683742523,-0.18458911776542664,0.056999724358320236
90,-0.26745864748954773,-0.18455755710601807,0.0570063516497612
91,-0.26747503876686096,-0.18452982604503632,0.05701447278261185
92,-0.2683587372303009,-0.18401557207107544,0.057015810161828995
93,-0.26882460713386536,-0.18374674022197723,0.05700842663645744
94,-0.2689909040927887,-0.1837358921766281,0.057001691311597824
95,-0.2693120241165161,-0.18359218537807465,0.05700264871120453
96,-0.26950550079345703,-0.1837022602558136,0.05700597167015076
97,-0.2695072293281555,-0.18370366096496582,0.05699968710541725
98,-0.2695072591304779,-0.18370367586612701,0.05699978768825531
99,-0.2695072889328003,-0.1837031990289688,0.05699983239173889
100,-0.26950737833976746,-0.18370367586612701,0.05699966847896576
101,-0.2695072293281555,-0.18370367586612701,0.05699970945715904
102,-0.2695072591304779,-0.18370367586612701,0.056999657303094864
103,-0.26950734853744507,-0.18370367586612701,0.05699976906180382
104,-0.26950719952583313,-0.18370367586612701,0.05699967220425606
105,-0.2695072293281555,-0.18370367586612701,0.0569998063147068
106,-0.2695072889328003,-0.18370367586612701,0.05699966475367546
107,-0.2695184648036957,-0.18376092612743378,0.0569983571767807
108,-0.26994040608406067,-0.1846444457769394,0.05699968338012695
109,-0.2699402868747711,-0.1846444457769394,0.056999847292900085
110,-0.26994043588638306,-0.1846444457769394,0.05699969083070755
111,-0.26994043588638306,-0.1846444457769394,0.0569998063147068
112,-0.26994040608406067,-0.1846444457769394,0.056999798864126205
113,-0.2699402868747711,-0.1846444457769394,0.05699966102838516
114,-0.2699402868747711,-0.1846444457769394,0.05699966102838516
115,-0.26994025707244873,-0.1846444457769394,0.056999653577804565
116,-0.26994025707244873,-0.1846444457769394,0.0569998137652874
117,-0.2699402868747711,-0.1846444457769394,0.056999798864126205
118,-0.26994025707244873,-0.1846444457769394,0.05699979141354561
119,-0.26994025707244873,-0.1846444457769394,0.05699982866644859
120,-0.26994043588638306,-0.1846444457769394,0.05699978396296501
121,-0.26994040608406067,-0.18464446067810059,0.0569998063147068
122,-0.26994040608406067,-0.1846444457769394,0.056999821215867996
