env_id,best_tcp_to_target_distance
0,0.00889562163501978
1,0.00889562163501978
2,0.00918528065085411
3,0.00918528065085411
4,0.00918528065085411
5,0.00922064296901226
6,0.00922064296901226
7,0.009386487305164337
8,0.009223828092217445
9,0.009386487305164337
10,0.00922064296901226
11,0.00922064296901226
12,0.00918528065085411
13,0.00918528065085411
14,0.00918528065085411
15,0.00889562163501978
16,0.00889562163501978
17,0.00889562163501978
18,0.00918528065085411
19,0.00918528065085411
20,0.00918528065085411
21,0.00922064296901226
22,0.00922064296901226
23,0.009386487305164337
24,0.009223828092217445
25,0.009386487305164337
26,0.00922064296901226
27,0.00922064296901226
28,0.00918528065085411
29,0.009298346005380154
30,0.009084205143153667
31,0.00889562163501978
32,0.009153037331998348
33,0.009153037331998348
34,0.009161155670881271
35,0.009161155670881271
36,0.009161155670881271
37,0.008933632634580135
38,0.008933632634580135
39,0.0089375926181674
40,0.009011928923428059
41,0.0089375926181674
42,0.008933632634580135
43,0.008933632634580135
44,0.009161155670881271
45,0.009161155670881271
46,0.009020659141242504
47,0.00893799401819706
48,0.00893799401819706
49,0.00893799401819706
50,0.008979340083897114
51,0.00906551256775856
52,0.009161155670881271
53,0.008933632634580135
54,0.008933632634580135
55,0.0089375926181674
56,0.009011928923428059
57,0.0089375926181674
58,0.008933632634580135
59,0.008933632634580135
60,0.009161155670881271
61,0.009161155670881271
62,0.009161155670881271
63,0.009244813583791256
64,0.00893799401819706
65,0.00893799401819706
66,0.008979340083897114
67,0.008979340083897114
68,0.008979340083897114
69,0.008866958320140839
70,0.008866958320140839
71,0.009133024141192436
72,0.009011928923428059
73,0.0089375926181674
74,0.008933632634580135
75,0.008933632634580135
76,0.009161155670881271
77,0.009161155670881271
78,0.009161155670881271
79,0.009153037331998348
80,0.009068500250577927
81,0.009293634444475174
82,0.008881292305886745
83,0.008881292305886745
84,0.008881292305886745
85,0.009301366284489632
86,0.009301366284489632
87,0.009110921062529087
88,0.00940658524632454
89,0.009110921062529087
90,0.009301366284489632
91,0.009301366284489632
92,0.008881292305886745
93,0.008881292305886745
94,0.008881292305886745
95,0.009068500250577927
96,0.009068500250577927
97,0.009068500250577927
98,0.009029051288962364
99,0.009384268894791603
100,0.009384268894791603
101,0.00883304700255394
102,0.008899204432964325
103,0.009110921062529087
104,0.00940658524632454
105,0.009110921062529087
106,0.009301366284489632
107,0.009301366284489632
108,0.008881292305886745
109,0.008881292305886745
110,0.008881292305886745
111,0.009068500250577927
112,0.009174243547022343
113,0.009174243547022343
114,0.009142042137682438
115,0.009065857157111168
116,0.008907023817300797
117,0.00893919263035059
118,0.00893919263035059
119,0.009181302972137928
120,0.008926325477659702
121,0.009181302972137928
122,0.009250023402273655
123,0.0091426782310009
124,0.009142042137682438
125,0.009142042137682438
126,0.009142042137682438
127,0.009174243547022343
128,0.008969905786216259
129,0.008969905786216259
130,0.009189383126795292
131,0.009189383126795292
132,0.009189383126795292
133,0.008941957727074623
134,0.008941957727074623
135,0.00898719485849142
136,0.008922954089939594
137,0.00898719485849142
138,0.008941957727074623
139,0.008941957727074623
140,0.009189383126795292
141,0.009189383126795292
142,0.009189383126795292
143,0.008969905786216259
144,0.009174243547022343
145,0.009174243547022343
146,0.009142042137682438
147,0.009142042137682438
148,0.009142042137682438
149,0.0091426782310009
150,0.0091426782310009
151,0.009177722968161106
152,0.008926325477659702
153,0.009339339099824429
154,0.0091426782310009
155,0.0091426782310009
156,0.009142042137682438
157,0.009142042137682438
158,0.009142042137682438
159,0.009174243547022343
160,0.009068500250577927
161,0.009068500250577927
162,0.008881292305886745
163,0.008881292305886745
164,0.008881292305886745
165,0.009301366284489632
166,0.009301366284489632
167,0.009110921062529087
168,0.00940658524632454
169,0.009110921062529087
170,0.00911892019212246
171,0.00883304700255394
172,0.009384268894791603
173,0.009384268894791603
174,0.009071405045688152
175,0.009068500250577927
176,0.009068500250577927
177,0.009068500250577927
178,0.008881292305886745
179,0.008881292305886745
180,0.008881292305886745
181,0.009301366284489632
182,0.009301366284489632
183,0.009110921062529087
