step,current_pushpoint_by_left_0,current_pushpoint_by_left_1,current_pushpoint_by_left_2
0,-0.43232598900794983,-0.04483127221465111,0.057000190019607544
1,-0.14563022553920746,0.08438307046890259,0.056999798864126205
2,-0.14563022553920746,0.08438306301832199,0.056999802589416504
3,-0.14563022553920746,0.08438306301832199,0.0569998063147068
4,-0.14563022553920746,0.08438306301832199,0.0569998100399971
5,-0.14563022553920746,0.08438307046890259,0.05699978768825531
6,-0.14563022553920746,0.08438306301832199,0.05699979141354561
7,-0.14563022553920746,0.08438307046890259,0.05699979513883591
8,-0.14563022553920746,0.08438306301832199,0.056999798864126205
9,-0.14563022553920746,0.08438307046890259,0.056999802589416504
10,-0.14563022553920746,0.08438306301832199,0.0569998063147068
11,-0.14563022553920746,0.08438307791948318,0.05699978396296501
12,-0.14563022553920746,0.08438306301832199,0.05699979141354561
13,-0.14563022553920746,0.08438307046890259,0.05699979141354561
14,-0.14563022553920746,0.0843830555677414,0.056999798864126205
15,-0.14563022553920746,0.08438307046890259,0.056999802589416504
16,-0.14563022553920746,0.08438307791948318,0.0569998063147068
17,-0.14563022553920746,0.08438308537006378,0.0569998100399971
18,-0.14563022553920746,0.08438307046890259,0.05699978768825531
19,-0.14563022553920746,0.08438306301832199,0.05699979141354561
20,-0.14563022553920746,0.08438307046890259,0.05699979513883591
21,-0.14563022553920746,0.08438307046890259,0.056999798864126205
22,-0.14563022553920746,0.08438307046890259,0.0569998063147068
23,-0.14563022553920746,0.0843830555677414,0.0569998100399971
24,-0.14563024044036865,0.08438308537006378,0.0569998137652874
25,-0.14563022553920746,0.08438307046890259,0.05699979141354561
26,-0.14563022553920746,0.08438307791948318,0.05699979141354561
27,-0.14563022553920746,0.08438306301832199,0.056999798864126205
28,-0.14563022553920746,0.08438307046890259,0.056999802589416504
29,-0.14563022553920746,0.08438306301832199,0.0569998063147068
30,-0.14563022553920746,0.08438307791948318,0.0569998100399971
31,-0.14563022553920746,0.08438306301832199,0.05699978768825531
32,-0.14563022553920746,0.08438307046890259,0.05699979141354561
33,-0.14563022553920746,0.08438307046890259,0.05699979513883591
34,-0.14563022553920746,0.08438307046890259,0.056999798864126205
35,-0.14563022553920746,0.08438307046890259,0.0569998063147068
36,-0.14563022553920746,0.0843830555677414,0.0569998063147068
37,-0.14563022553920746,0.08438307791948318,0.0569998137652874
38,-0.14563022553920746,0.08438307046890259,0.05699979141354561
39,-0.14563022553920746,0.08438307046890259,0.05699979141354561
40,-0.14563022553920746,0.08438306301832199,0.056999798864126205
41,-0.14563022553920746,0.08438307046890259,0.056999802589416504
42,-0.14563022553920746,0.08438306301832199,0.0569998063147068
43,-0.14563022553920746,0.08438307791948318,0.0569998100399971
44,-0.14563022553920746,0.08438306301832199,0.05699978768825531
45,-0.14563022553920746,0.08438306301832199,0.05699979141354561
46,-0.14563022553920746,0.08438307791948318,0.05699979513883591
47,-0.14563022553920746,0.08438306301832199,0.056999798864126205
48,-0.14563022553920746,0.08438307046890259,0.0569998063147068
49,-0.14563022553920746,0.0843830555677414,0.0569998100399971
50,-0.14563022553920746,0.08438308537006378,0.05699978396296501
51,-0.14563022553920746,0.0843830555677414,0.05699979141354561
52,-0.14563022553920746,0.08438307046890259,0.05699979141354561
53,-0.14563022553920746,0.08438306301832199,0.05699979513883591
54,-0.14563022553920746,0.08438306301832199,0.056999802589416504
55,-0.14563022553920746,0.08438306301832199,0.0569998100399971
56,-0.14563022553920746,0.08438307791948318,0.0569998100399971
57,-0.14563022553920746,0.08438306301832199,0.05699978768825531
58,-0.14563022553920746,0.08438307046890259,0.05699979141354561
59,-0.14563022553920746,0.08438306301832199,0.05699979513883591
60,-0.14563022553920746,0.0843830555677414,0.056999802589416504
61,-0.14563022553920746,0.08438306301832199,0.0569998063147068
62,-0.14563022553920746,0.08438306301832199,0.0569998100399971
63,-0.14563022553920746,0.08438307791948318,0.05699978768825531
64,-0.14563022553920746,0.08438307046890259,0.05699979141354561
65,-0.14563022553920746,0.08438307791948318,0.05699979513883591
66,-0.14563022553920746,0.08438307046890259,0.056999798864126205
67,-0.14563022553920746,0.08438306301832199,0.0569998063147068
68,-0.14563022553920746,0.08438307791948318,0.0569998063147068
69,-0.14563022553920746,0.08438308537006378,0.0569998100399971
70,-0.14563022553920746,0.08438307046890259,0.05699978768825531
71,-0.14563022553920746,0.08438307046890259,0.05699979141354561
72,-0.14563022553920746,0.08438306301832199,0.056999798864126205
73,-0.14563022553920746,0.08438306301832199,0.056999802589416504
74,-0.14563022553920746,0.08438307046890259,0.056999802589416504
75,-0.14563022553920746,0.0843830555677414,0.0569998137652874
76,-0.14563022553920746,0.08438308537006378,0.05699978768825531
77,-0.14563022553920746,0.08438307046890259,0.05699979141354561
78,-0.14563022553920746,0.08438307046890259,0.05699979513883591
79,-0.14563022553920746,0.08438307046890259,0.056999798864126205
80,-0.14563022553920746,0.08438306301832199,0.056999802589416504
81,-0.14563022553920746,0.08438307791948318,0.0569998063147068
82,-0.14563022553920746,0.08438307791948318,0.0569998100399971
83,-0.14563022553920746,0.08438306301832199,0.05699978768825531
84,-0.14563022553920746,0.08438307046890259,0.05699979513883591
85,-0.14563022553920746,0.0843830555677414,0.056999798864126205
86,-0.14563022553920746,0.08438306301832199,0.056999802589416504
87,-0.14563022553920746,0.08438307046890259,0.0569998063147068
88,-0.14563022553920746,0.08438306301832199,0.0569998100399971
89,-0.14563022553920746,0.08438308537006378,0.05699978396296501
90,-0.14563022553920746,0.08438307046890259,0.05699979141354561
91,-0.14563022553920746,0.08438307046890259,0.05699979141354561
92,-0.14563022553920746,0.08438306301832199,0.056999798864126205
93,-0.14563022553920746,0.08438307046890259,0.056999802589416504
94,-0.14563022553920746,0.0843830555677414,0.0569998100399971
95,-0.14563022553920746,0.08438307046890259,0.05699978396296501
96,-0.14563022553920746,0.08438306301832199,0.05699978768825531
