step,obs/extra/right_tcp_pose_6d_from_bimanual_center_0,obs/extra/right_tcp_pose_6d_from_bimanual_center_1,obs/extra/right_tcp_pose_6d_from_bimanual_center_2,obs/extra/right_tcp_pose_6d_from_bimanual_center_3,obs/extra/right_tcp_pose_6d_from_bimanual_center_4,obs/extra/right_tcp_pose_6d_from_bimanual_center_5,obs/extra/right_tcp_pose_6d_from_bimanual_center_6,obs/extra/right_tcp_pose_6d_from_bimanual_center_7,obs/extra/right_tcp_pose_6d_from_bimanual_center_8
42,0.2640650272369385,-0.19179420173168182,0.1546947956085205,-0.9919698238372803,0.1251058280467987,-0.01856720633804798,0.12591445446014404,0.9906846284866333,-0.05186033248901367
43,0.26884573698043823,-0.1931602507829666,0.15923148393630981,-0.989229679107666,0.14622582495212555,-0.006537070497870445,0.14636929333209991,0.9884897470474243,-0.038263142108917236
44,0.27368998527526855,-0.19460950791835785,0.1636561155319214,-0.9860801696777344,0.16619020700454712,0.005199006292968988,0.16601037979125977,0.9858016967773438,-0.02521158754825592
45,0.2783057689666748,-0.19584152102470398,0.16803708672523499,-0.9828951358795166,0.183436781167984,0.016371646896004677,0.18324387073516846,0.9829866290092468,-0.012606005184352398
46,0.2826412618160248,-0.1969081312417984,0.17237746715545654,-0.9799791574478149,0.19737255573272705,0.026169538497924805,0.19741150736808777,0.9803200960159302,-0.0011125307064503431
47,0.28677937388420105,-0.19790227711200714,0.17674213647842407,-0.9772663116455078,0.2091006338596344,0.03503689169883728,0.20955276489257812,0.9777489304542542,0.009730671532452106
48,0.2907397747039795,-0.19886888563632965,0.1811053454875946,-0.9747008085250854,0.21926823258399963,0.04335654154419899,0.22028186917304993,0.9752287864685059,0.020117690786719322
49,0.2946985960006714,-0.1999635249376297,0.18543612957000732,-0.9721789360046387,0.22860005497932434,0.05108841881155968,0.23028779029846191,0.9726613163948059,0.029958458617329597
50,0.29890576004981995,-0.20141766965389252,0.18969935178756714,-0.9694944620132446,0.2381126880645752,0.05816113203763962,0.24054783582687378,0.969847559928894,0.03914668783545494
51,0.30339938402175903,-0.2033149003982544,0.19386941194534302,-0.9664740562438965,0.24841807782649994,0.06493601202964783,0.2516738474369049,0.9666275382041931,0.0478692352771759
52,0.30813878774642944,-0.2056601643562317,0.1979435682296753,-0.9631361961364746,0.2593911290168762,0.07130952924489975,0.26351064443588257,0.9630277156829834,0.05603412538766861
53,0.31307655572891235,-0.2084977626800537,0.2020758092403412,-0.9598749876022339,0.2700308859348297,0.07565493136644363,0.27485600113868713,0.9594324827194214,0.06279749423265457
54,0.3181626796722412,-0.21180850267410278,0.20636248588562012,-0.9566458463668823,0.2805516719818115,0.07822809368371964,0.2859088182449341,0.9558027982711792,0.06853567063808441
55,0.32334643602371216,-0.21559570729732513,0.21072322130203247,-0.9533758163452148,0.2911751866340637,0.07931996881961823,0.296878457069397,0.9521042108535767,0.07321731001138687
56,0.32850250601768494,-0.21985700726509094,0.21502619981765747,-0.9498350620269775,0.3023426830768585,0.08001383394002914,0.30831411480903625,0.9481392502784729,0.07729413360357285
57,0.3334871232509613,-0.22459781169891357,0.21926963329315186,-0.9459667205810547,0.3140922784805298,0.08057952672243118,0.3202853798866272,0.9438585042953491,0.08092189580202103
58,0.33826982975006104,-0.2298770248889923,0.22345012426376343,-0.9416983127593994,0.3265589475631714,0.08101502805948257,0.3329249620437622,0.9391975402832031,0.08407711982727051
59,0.3429472744464874,-0.23569834232330322,0.22756707668304443,-0.9369417428970337,0.33990827202796936,0.08125549554824829,0.3463912904262543,0.9340679049491882,0.08677688241004944
60,0.3475222885608673,-0.2420080602169037,0.231593519449234,-0.9316526651382446,0.35410863161087036,0.08142761141061783,0.36067020893096924,0.9284281730651855,0.0890963077545166
61,0.3519057631492615,-0.24865256249904633,0.23551613092422485,-0.9259198904037476,0.3687855303287506,0.08166775107383728,0.3754103183746338,0.9223644137382507,0.09116478264331818
