step,tcp_lead_reward_0
0,-0.25
1,-0.25
2,-0.02164778858423233
3,-1.2665987014770508e-07
4,-1.2665987014770508e-07
5,-1.2665987014770508e-07
6,-1.2665987014770508e-07
7,-1.2665987014770508e-07
8,-1.2665987014770508e-07
9,-1.2665987014770508e-07
10,-1.2665987014770508e-07
11,-1.2665987014770508e-07
12,-1.2665987014770508e-07
13,-1.2665987014770508e-07
14,-1.2665987014770508e-07
15,-1.2665987014770508e-07
16,-1.2665987014770508e-07
17,-1.2665987014770508e-07
18,-1.2665987014770508e-07
19,-1.2665987014770508e-07
20,-1.2665987014770508e-07
21,-1.2665987014770508e-07
22,-1.2665987014770508e-07
23,-1.2665987014770508e-07
24,-1.2665987014770508e-07
25,-1.2665987014770508e-07
26,-1.2665987014770508e-07
27,-1.2665987014770508e-07
28,-1.2665987014770508e-07
29,-1.2665987014770508e-07
30,-1.2665987014770508e-07
31,-1.2665987014770508e-07
32,-1.2665987014770508e-07
33,-1.2665987014770508e-07
34,-1.2665987014770508e-07
35,-1.2665987014770508e-07
36,-1.2665987014770508e-07
37,-1.2665987014770508e-07
38,-1.2665987014770508e-07
39,-1.2665987014770508e-07
40,-1.2665987014770508e-07
41,-1.2665987014770508e-07
42,-1.2665987014770508e-07
43,-1.2665987014770508e-07
44,-1.2665987014770508e-07
45,-1.2665987014770508e-07
46,-1.2665987014770508e-07
47,-1.2665987014770508e-07
48,-1.2665987014770508e-07
49,-1.2665987014770508e-07
50,-1.2665987014770508e-07
51,-1.2665987014770508e-07
52,-1.2665987014770508e-07
53,-1.2665987014770508e-07
54,-1.2665987014770508e-07
55,-1.2665987014770508e-07
56,-1.2665987014770508e-07
57,-1.2665987014770508e-07
58,-1.2665987014770508e-07
59,-1.2665987014770508e-07
60,-1.2665987014770508e-07
61,-1.2665987014770508e-07
62,-1.2665987014770508e-07
63,-1.2665987014770508e-07
64,-1.2665987014770508e-07
65,-1.2665987014770508e-07
66,-1.2665987014770508e-07
67,-1.2665987014770508e-07
68,-1.2665987014770508e-07
69,-1.2665987014770508e-07
70,-1.2665987014770508e-07
71,-1.2665987014770508e-07
72,-1.2665987014770508e-07
73,-1.2665987014770508e-07
74,-1.2665987014770508e-07
75,-1.2665987014770508e-07
76,-1.2665987014770508e-07
77,-1.2665987014770508e-07
78,-1.2665987014770508e-07
79,-1.2665987014770508e-07
80,-1.2665987014770508e-07
81,-1.2665987014770508e-07
82,-1.2665987014770508e-07
83,-1.2665987014770508e-07
84,-1.2665987014770508e-07
85,-1.2665987014770508e-07
86,-1.2665987014770508e-07
87,-1.2665987014770508e-07
88,-1.2665987014770508e-07
89,-1.2665987014770508e-07
90,-1.2665987014770508e-07
91,-1.2665987014770508e-07
92,-1.2665987014770508e-07
93,-1.2665987014770508e-07
94,-1.2665987014770508e-07
95,-1.2665987014770508e-07
96,-1.2665987014770508e-07
97,-1.2665987014770508e-07
98,-1.2665987014770508e-07
99,-1.2665987014770508e-07
100,-1.2665987014770508e-07
101,-1.2665987014770508e-07
102,-1.2665987014770508e-07
103,-1.2665987014770508e-07
104,-1.2665987014770508e-07
105,-1.2665987014770508e-07
106,-1.2665987014770508e-07
107,-1.2665987014770508e-07
108,-1.2665987014770508e-07
109,-1.2665987014770508e-07
110,-1.2665987014770508e-07
111,-1.2665987014770508e-07
112,-1.2665987014770508e-07
113,-1.2665987014770508e-07
114,-1.2665987014770508e-07
115,-1.2665987014770508e-07
116,-1.2665987014770508e-07
117,-1.2665987014770508e-07
118,-1.2665987014770508e-07
119,-1.2665987014770508e-07
120,-1.2665987014770508e-07
121,-1.2665987014770508e-07
122,-1.2665987014770508e-07
123,-1.2665987014770508e-07
124,-1.2665987014770508e-07
125,-1.2665987014770508e-07
126,-1.2665987014770508e-07
127,-1.2665987014770508e-07
128,-1.2665987014770508e-07
129,-1.2665987014770508e-07
130,-1.2665987014770508e-07
131,-1.2665987014770508e-07
132,-1.2665987014770508e-07
133,-1.2665987014770508e-07
134,-1.2665987014770508e-07
135,-1.2665987014770508e-07
136,-1.2665987014770508e-07
137,-1.2665987014770508e-07
138,-1.2665987014770508e-07
139,-1.2665987014770508e-07
140,-1.2665987014770508e-07
141,-1.2665987014770508e-07
142,-1.2665987014770508e-07
143,-1.2665987014770508e-07
144,-1.2665987014770508e-07
145,-1.2665987014770508e-07
146,-1.2665987014770508e-07
147,-1.2665987014770508e-07
148,-1.2665987014770508e-07
149,-1.2665987014770508e-07
150,-1.2665987014770508e-07
151,-1.2665987014770508e-07
152,-1.2665987014770508e-07
153,-1.2665987014770508e-07
154,-1.2665987014770508e-07
155,-1.2665987014770508e-07
156,-1.2665987014770508e-07
157,-1.2665987014770508e-07
158,-1.2665987014770508e-07
159,-1.2665987014770508e-07
160,-1.2665987014770508e-07
161,-1.2665987014770508e-07
162,-1.2665987014770508e-07
163,-1.2665987014770508e-07
164,-1.2665987014770508e-07
165,-1.2665987014770508e-07
166,-1.2665987014770508e-07
167,-1.2665987014770508e-07
168,-1.2665987014770508e-07
169,-1.2665987014770508e-07
170,-1.2665987014770508e-07
171,-1.2665987014770508e-07
172,-1.2665987014770508e-07
173,-1.2665987014770508e-07
174,-1.2665987014770508e-07
175,-1.2665987014770508e-07
176,-1.2665987014770508e-07
177,-1.2665987014770508e-07
178,-1.2665987014770508e-07
179,-1.2665987014770508e-07
180,-1.2665987014770508e-07
181,-1.2665987014770508e-07
182,-1.2665987014770508e-07
183,-1.2665987014770508e-07
184,-1.2665987014770508e-07
185,-1.2665987014770508e-07
186,-1.2665987014770508e-07
187,-1.2665987014770508e-07
188,-1.2665987014770508e-07
189,-1.2665987014770508e-07
190,-1.2665987014770508e-07
191,-1.2665987014770508e-07
192,-1.2665987014770508e-07
193,-1.2665987014770508e-07
194,-1.2665987014770508e-07
195,-1.2665987014770508e-07
196,-1.2665987014770508e-07
197,-1.2665987014770508e-07
198,-1.2665987014770508e-07
