step,next_obs_0,next_obs_1,next_obs_2,next_obs_3,next_obs_4,next_obs_5,next_obs_6,next_obs_7,next_obs_8,next_obs_9,next_obs_10,next_obs_11,next_obs_12,next_obs_13,next_obs_14,next_obs_15,next_obs_16,next_obs_17,next_obs_18,next_obs_19,next_obs_20,next_obs_21,next_obs_22,next_obs_23,next_obs_24,next_obs_25,next_obs_26,next_obs_27,next_obs_28,next_obs_29,next_obs_30,next_obs_31,next_obs_32,next_obs_33,next_obs_34,next_obs_35,next_obs_36,next_obs_37,next_obs_38,next_obs_39,next_obs_40,next_obs_41,next_obs_42,next_obs_43,next_obs_44,next_obs_45,next_obs_46,next_obs_47,next_obs_48,next_obs_49,next_obs_50,next_obs_51,next_obs_52,next_obs_53,next_obs_54,next_obs_55,next_obs_56,next_obs_57,next_obs_58,next_obs_59,next_obs_60,next_obs_61,next_obs_62,next_obs_63,next_obs_64
0,0.24592028558254242,-0.9377419352531433,0.407282292842865,0.58890700340271,0.25693845748901367,0.9543342590332031,0.4723416268825531,0.7307319641113281,-0.45006322860717773,0.4575796127319336,-0.5072045922279358,0.46563294529914856,0.4012439548969269,-0.44290512800216675,-0.3596043288707733,0.32513636350631714,0.3076878488063812,-0.23482981324195862,0.4892106056213379,0.5254934430122375,-0.13948935270309448,1.1179919242858887,-0.14533516764640808,0.7310621738433838,-0.40940019488334656,-0.33631742000579834,0.33504652976989746,0.5148676633834839,0.11661506444215775,0.3755168616771698,-0.29865431785583496,-0.06673940271139145,0.3284456729888916,0.5770961046218872,0.24345678091049194,0.06475192308425903,-0.9832828044891357,-0.17018264532089233,0.4809908866882324,0.18017584085464478,-0.8580119013786316,0.19980502128601074,-0.23117683827877045,-0.003940612077713013,0.8465118408203125,-0.5127100944519043,0.1433391273021698,-0.10144679248332977,-0.4196653366088867,-0.9019920229911804,0.3387315273284912,-0.011563410051167011,-0.031000040471553802,-0.5909470319747925,-0.8067104816436768,-1.9595374851633096e-06,0.8067104816436768,-0.5909470319747925,7.601991001138231e-07,0.49465295672416687,0.00871491339057684,-0.030999742448329926,0.18281009793281555,-0.03184173256158829,-0.03100033849477768
1,0.21933402121067047,-0.9082409143447876,0.377316415309906,0.612590491771698,0.286883145570755,0.9241158366203308,0.448211133480072,0.7307820320129395,-0.4233318865299225,0.45010969042778015,-0.47114261984825134,0.32854264974594116,0.40998712182044983,-0.4276340901851654,-0.3376137912273407,0.2904217541217804,0.27994659543037415,-0.21736054122447968,0.5136477947235107,0.5575698614120483,-0.11223377287387848,1.1445798873901367,-0.13587380945682526,0.7307278513908386,-0.39150017499923706,0.3652573525905609,0.3464261293411255,0.40022289752960205,0.3881179690361023,0.3786650598049164,0.13195326924324036,0.3281709551811218,0.3457190990447998,0.5794691443443298,0.257270485162735,0.047939300537109375,-0.9734181761741638,-0.22396162152290344,0.4886680841445923,0.21841013431549072,-0.8446895480155945,0.19568896293640137,-0.2233927845954895,-0.0005962103605270386,0.8307916522026062,-0.5420505404472351,0.12635855376720428,-0.13070453703403473,-0.41068029403686523,-0.9023625254631042,0.3387315273284912,-0.011563422158360481,-0.030999992042779922,-0.5909465551376343,-0.8067107796669006,-2.1788894173369044e-06,0.8067107796669006,-0.5909465551376343,1.462213276681723e-06,0.4946529269218445,0.008714985102415085,-0.03099958971142769,0.18281012773513794,-0.03184182941913605,-0.031000394374132156
2,0.19549688696861267,-0.8787128925323486,0.3476495146751404,0.6343077421188354,0.31673774123191833,0.8941460251808167,0.4264470338821411,0.7307902574539185,-0.3835468292236328,0.4392167925834656,-0.47271138429641724,0.3221038281917572,0.4054098427295685,-0.4281616806983948,-0.30441778898239136,0.3266366124153137,0.25241467356681824,-0.2096540629863739,0.5368581414222717,0.5848351120948792,-0.0942988321185112,1.1736807823181152,-0.14185914397239685,0.730883777141571,-0.38784223794937134,0.049310408532619476,0.31690916419029236,0.4410555362701416,0.24684694409370422,0.39850571751594543,-0.08429814130067825,0.14257559180259705,0.3633697032928467,0.5796718001365662,0.2704960107803345,0.02876913547515869,-0.9607357978820801,-0.27596911787986755,0.4985067546367645,0.25308990478515625,-0.8291178941726685,0.19357895851135254,-0.2191106230020523,0.004662692546844482,0.8246481418609619,-0.5543178915977478,0.11263692378997803,-0.15091651678085327,-0.40752434730529785,-0.9006376266479492,0.3387315273284912,-0.011563361622393131,-0.031000006943941116,-0.5909469127655029,-0.8067106008529663,-6.477584975073114e-07,0.8067106008529663,-0.5909469127655029,9.81976768343884e-07,0.49465295672416687,0.008714989759027958,-0.03099982440471649,0.18281009793281555,-0.031841713935136795,-0.03100018948316574
3,0.1797618269920349,-0.8498708009719849,0.317697674036026,0.653445839881897,0.34615984559059143,0.8641640543937683,0.40477484464645386,0.7307945489883423,-0.25831666588783264,0.43190398812294006,-0.4668804407119751,0.27861106395721436,0.4032628536224365,-0.4266226291656494,-0.3025124967098236,0.3344326317310333,0.2269229143857956,-0.19106122851371765,0.5567142367362976,0.6037856340408325,-0.0931403711438179,1.2019811868667603,-0.15290842950344086,0.7308476567268372,-0.4102897346019745,0.3401077091693878,0.2684110999107361,0.204864963889122,0.014182387851178646,0.407655268907547,-0.1551145315170288,0.18655847012996674,0.37993693351745605,0.5795372724533081,0.28294551372528076,0.014127969741821289,-0.9455864429473877,-0.32506421208381653,0.509028971195221,0.28661859035491943,-0.8116276264190674,0.18954682350158691,-0.22197461128234863,0.006822928786277771,0.8276554346084595,-0.5526891350746155,0.09757699072360992,-0.17522722482681274,-0.4196416139602661,-0.8906157612800598,0.3387315273284912,-0.011563366279006004,-0.031000006943941116,-0.5909470319747925,-0.806710422039032,-9.771783879841678e-07,0.806710422039032,-0.5909470319747925,6.553037792400573e-07,0.49465295672416687,0.00871494971215725,-0.03099982813000679,0.18281009793281555,-0.03184168040752411,-0.031000185757875443
4,0.17122964560985565,-0.8218129277229309,0.28766554594039917,0.6670851707458496,0.3723777234554291,0.8346343636512756,0.38121747970581055,0.7308598160743713,-0.15977494418621063,0.4329468905925751,-0.46569758653640747,0.18138907849788666,0.36023110151290894,-0.4165220260620117,-0.3290548622608185,0.16756148636341095,0.20304201543331146,-0.17321202158927917,0.5696740746498108,0.6030750274658203,-0.10909844189882278,1.2303386926651,-0.1681026667356491,0.730889081954956,-0.41947078704833984,0.2992003262042999,0.16393697261810303,-0.08725818991661072,-0.2288866639137268,0.41434812545776367,-0.2129485309123993,0.15121568739414215,0.3950808048248291,0.5780166387557983,0.2923557758331299,0.003926873207092285,-0.9303901195526123,-0.3665500581264496,0.5180191993713379,0.3154296875,-0.7950850129127502,0.18251681327819824,-0.23677325248718262,0.006583884358406067,0.8358815908432007,-0.54212486743927,0.0860380306839943,-0.20279231667518616,-0.4506499767303467,-0.8693618178367615,0.3387315273284912,-0.011563370004296303,-0.031000006943941116,-0.5909467935562134,-0.8067105412483215,-6.282785989242257e-07,0.8067105412483215,-0.5909467935562134,1.01539217212121e-06,0.4946529269218445,0.008714986965060234,-0.03099982440471649,0.18281012773513794,-0.03184172511100769,-0.03100018948316574
5,0.16480323672294617,-0.7967523336410522,0.2577265799045563,0.6740700006484985,0.3967558443546295,0.8086737990379333,0.3571126461029053,0.7309430837631226,-0.1367001086473465,0.38961997628211975,-0.4677927792072296,0.07757558673620224,0.3351897895336151,-0.36501216888427734,-0.3363889157772064,0.034557558596134186,0.18245670199394226,-0.1549399346113205,0.5630706548690796,0.5931907296180725,-0.13345330953598022,1.259165644645691,-0.18523716926574707,0.7307765483856201,-0.4871784448623657,0.30431678891181946,-0.14478667080402374,-0.20701134204864502,-0.3489370048046112,0.42006686329841614,-0.23987604677677155,0.2795867621898651,0.40859103202819824,0.5737419128417969,0.2977876365184784,-0.008279204368591309,-0.9158270359039307,-0.4014877676963806,0.5243682265281677,0.3378944993019104,-0.781578779220581,0.17458367347717285,-0.258811891078949,0.00615788996219635,0.839125394821167,-0.5391325950622559,0.0721425861120224,-0.23896563053131104,-0.4845374822616577,-0.8414979577064514,0.3387315273284912,-0.01156342402100563,-0.031000040471553802,-0.5909463167190552,-0.8067108988761902,-1.8763980733638164e-06,0.8067108988761902,-0.5909463167190552,1.1916664561795187e-06,0.4946529269218445,0.008715024217963219,-0.030999701470136642,0.18281012773513794,-0.03184187412261963,-0.031000379472970963
6,0.1531149297952652,-0.7736318707466125,0.22805246710777283,0.6695577502250671,0.4197902977466583,0.7914243340492249,0.33211207389831543,0.731018602848053,-0.23408769071102142,0.4019417464733124,-0.47494304180145264,-0.1384614259004593,0.3130159378051758,-0.2324804812669754,-0.3485034108161926,0.23043614625930786,0.15972739458084106,-0.1326410174369812,0.5423531532287598,0.5801115036010742,-0.16012491285800934,1.2873425483703613,-0.20203810930252075,0.7306373715400696,-0.5384014844894409,0.3723011612892151,-0.34465277194976807,-0.2538662254810333,-0.38119062781333923,0.4107041358947754,-0.23584775626659393,0.4576414227485657,0.4196631908416748,0.5636927485466003,0.29412367939949036,-0.03247785568237305,-0.9034102559089661,-0.427545428276062,0.5217023491859436,0.3495478630065918,-0.778230607509613,0.16504836082458496,-0.28418219089508057,0.0057353675365448,0.8340645432472229,-0.5491488575935364,0.05264875292778015,-0.28692901134490967,-0.5133390426635742,-0.8087983131408691,0.3387315273284912,-0.011563422158360481,-0.031000040471553802,-0.5909464359283447,-0.8067110180854797,-2.0257912183296867e-06,0.8067110180854797,-0.5909464359283447,6.562024168488279e-07,0.49465295672416687,0.008715027943253517,-0.030999746173620224,0.18281009793281555,-0.03184187412261963,-0.03100033476948738
7,0.13812360167503357,-0.7482107281684875,0.1982697695493698,0.6612217426300049,0.4346577823162079,0.7800348997116089,0.3039693832397461,0.7309947609901428,-0.277373343706131,0.4264216423034668,-0.47619375586509705,-0.1728305071592331,0.20151782035827637,-0.15524402260780334,-0.3929838240146637,0.026424529030919075,0.13082097470760345,-0.10822519659996033,0.5219922661781311,0.5703719854354858,-0.18629975616931915,1.3140497207641602,-0.22699971497058868,0.7306035161018372,-0.5828125476837158,0.38409024477005005,-0.32712671160697937,-0.17770028114318848,-0.37477126717567444,0.3834373354911804,-0.35123953223228455,0.5001954436302185,0.429490327835083,0.5492888689041138,0.28464609384536743,-0.06002092361450195,-0.8953543305397034,-0.44129133224487305,0.5138950943946838,0.3512841463088989,-0.7826310396194458,0.15551018714904785,-0.3080328404903412,0.006284795701503754,0.828366756439209,-0.5596047043800354,0.025517214089632034,-0.3371170163154602,-0.5343688726425171,-0.7751142978668213,0.3387315273284912,-0.01156342402100563,-0.030999992042779922,-0.5909463167190552,-0.8067108988761902,-1.9715871530934237e-06,0.8067108988761902,-0.5909463167190552,1.032793306876556e-06,0.4946529269218445,0.008715024217963219,-0.03099966049194336,0.18281012773513794,-0.03184187412261963,-0.031000323593616486
8,0.12366551160812378,-0.723827064037323,0.16835904121398926,0.6502126455307007,0.4431680738925934,0.7691123485565186,0.2750977873802185,0.7310237288475037,-0.2637955844402313,0.40028253197669983,-0.4735542833805084,-0.20525339245796204,0.10972148925065994,-0.14879027009010315,-0.4027417004108429,0.2549624443054199,0.10236489772796631,-0.08287077397108078,0.5005886554718018,0.5528226494789124,-0.21215708553791046,1.3414876461029053,-0.2518874704837799,0.7305172085762024,-0.5916069746017456,0.4300292432308197,-0.33915114402770996,-0.34566301107406616,-0.3687615394592285,0.4052756726741791,-0.3505403399467468,0.60269695520401,0.4380490779876709,0.5329930186271667,0.273062527179718,-0.08648955821990967,-0.8898127675056458,-0.4480546712875366,0.50599604845047,0.3481786847114563,-0.7891385555267334,0.1405317783355713,-0.33356884121894836,0.007199391722679138,0.820069432258606,-0.5722115635871887,-0.007744462229311466,-0.39390620589256287,-0.5546095371246338,-0.7329708337783813,0.3387315273284912,-0.011563415639102459,-0.030999992042779922,-0.5909464359283447,-0.8067110180854797,-2.0898639832012122e-06,0.8067110180854797,-0.5909464359283447,1.7210484202223597e-06,0.49465295672416687,0.00871503446251154,-0.030999571084976196,0.18281009793281555,-0.03184186667203903,-0.03100041300058365
9,0.13652198016643524,-0.7114689946174622,0.13748008012771606,0.6308712959289551,0.4636772871017456,0.7619140148162842,0.24756361544132233,0.7309791445732117,0.22012658417224884,0.18337878584861755,-0.40861067175865173,-0.31347447633743286,0.2884153723716736,-0.08723888546228409,-0.3851200044155121,0.017161134630441666,0.07077837735414505,-0.054162342101335526,0.48350268602371216,0.5336748957633972,-0.23994146287441254,1.3684165477752686,-0.2659473717212677,0.7305194139480591,-0.6147398352622986,0.46659883856773376,-0.27411049604415894,-0.341543048620224,-0.395114004611969,0.39226511120796204,-0.19902916252613068,0.5806041359901428,0.43728041648864746,0.5296337604522705,0.2614653408527374,-0.0939793586730957,-0.8806144595146179,-0.4644203186035156,0.48810482025146484,0.36581796407699585,-0.7924209833145142,0.12313961982727051,-0.3584235906600952,0.009138233959674835,0.806601881980896,-0.5898929834365845,-0.03767821192741394,-0.45083630084991455,-0.5727301836013794,-0.6846362352371216,0.3387315273284912,-0.011563357897102833,-0.031000006943941116,-0.5909470319747925,-0.8067104816436768,-7.122129090930684e-07,0.8067104816436768,-0.5909470319747925,6.857547987237922e-07,0.49465295672416687,0.008714965544641018,-0.03099985048174858,0.18281009793281555,-0.03184168040752411,-0.03100016340613365
