step,pushpoint_left_distance_0
0,0.7964802980422974
1,0.6207728981971741
2,0.6179826855659485
3,0.6132628917694092
4,0.6056776642799377
5,0.5943044424057007
6,0.5774068832397461
7,0.5530217885971069
8,0.5237469673156738
9,0.49335426092147827
10,0.4608610272407532
11,0.43008342385292053
12,0.40216296911239624
13,0.3765160143375397
14,0.3539577126502991
15,0.3344200551509857
16,0.32318568229675293
17,0.3194466829299927
18,0.31880566477775574
19,0.31972989439964294
20,0.32519567012786865
21,0.33606982231140137
22,0.34981876611709595
23,0.3640560507774353
24,0.3777233958244324
25,0.38976341485977173
26,0.39925268292427063
27,0.4056762158870697
28,0.4087461233139038
29,0.40940362215042114
30,0.40914902091026306
31,0.4086609482765198
32,0.40804407000541687
33,0.4073406457901001
34,0.4051184356212616
35,0.3998148739337921
36,0.391693115234375
37,0.37900057435035706
38,0.36126235127449036
39,0.3388961851596832
40,0.3145367205142975
41,0.2924734950065613
42,0.2756849527359009
43,0.2656269669532776
44,0.2609761655330658
45,0.26191118359565735
46,0.26852700114250183
47,0.2735618054866791
48,0.2738068401813507
49,0.27312949299812317
50,0.2742159366607666
51,0.2801671624183655
52,0.2874027192592621
53,0.2946811616420746
54,0.3004198968410492
55,0.3039674162864685
56,0.30881619453430176
57,0.31130892038345337
58,0.314240962266922
59,0.3183757960796356
60,0.32193344831466675
61,0.32605087757110596
62,0.33422771096229553
63,0.3393572270870209
64,0.3347724676132202
65,0.32655590772628784
66,0.32021358609199524
67,0.31989654898643494
68,0.3269652724266052
69,0.3374304473400116
70,0.3493596315383911
71,0.36222589015960693
72,0.3741762340068817
73,0.38400548696517944
74,0.3906102180480957
75,0.3956550359725952
76,0.3999238908290863
77,0.4054216146469116
78,0.41084128618240356
79,0.41830140352249146
80,0.4264868497848511
81,0.43571731448173523
82,0.4460600018501282
83,0.4572058916091919
84,0.4690100848674774
85,0.47883930802345276
86,0.4872540831565857
87,0.4960753917694092
88,0.5040389895439148
89,0.5123504400253296
90,0.5232425332069397
91,0.5366840362548828
92,0.5518249273300171
93,0.5682467818260193
94,0.5855892896652222
95,0.6043455600738525
96,0.6238445043563843
97,0.6422293782234192
98,0.6558734178543091
99,0.6666984558105469
100,0.6768777370452881
101,0.6872058510780334
102,0.6969207525253296
103,0.7046840786933899
104,0.7089598178863525
105,0.7101576328277588
106,0.7092259526252747
107,0.7062976360321045
108,0.7018743753433228
109,0.6966317296028137
110,0.6916580200195312
111,0.68831866979599
112,0.6870519518852234
113,0.6874818205833435
114,0.6894896626472473
115,0.6918399333953857
116,0.6939716339111328
117,0.696323573589325
118,0.6988891959190369
119,0.7015970945358276
120,0.7043883800506592
121,0.7063500285148621
122,0.7073059678077698
123,0.7089461088180542
124,0.7104284763336182
125,0.7110515236854553
126,0.7109262943267822
127,0.7093742489814758
128,0.7068758606910706
129,0.7057515978813171
130,0.7131263017654419
131,0.7216818928718567
132,0.731375515460968
133,0.7419852018356323
134,0.7524429559707642
135,0.763411819934845
136,0.7759388089179993
137,0.788170576095581
138,0.8002418279647827
139,0.8124661445617676
140,0.8248751759529114
141,0.837404727935791
142,0.8485649824142456
143,0.8593485355377197
144,0.8695189952850342
145,0.8798848986625671
146,0.8906903266906738
147,0.9000861644744873
148,0.9100287556648254
149,0.9212192296981812
150,0.9350966215133667
151,0.9500821232795715
152,0.9627097249031067
153,0.9752939939498901
154,0.9865306615829468
155,0.9958762526512146
156,1.00400972366333
157,1.0109750032424927
158,1.0161595344543457
159,1.020239233970642
160,1.023502230644226
161,1.025781273841858
162,1.026906132698059
163,1.026604413986206
164,1.0254888534545898
165,1.0233553647994995
166,1.0201510190963745
167,1.015580415725708
168,1.005327820777893
169,0.9932878613471985
170,0.9813811182975769
171,0.9790615439414978
172,0.976259171962738
173,0.9721260666847229
174,0.9694510102272034
175,0.968885600566864
176,0.970543384552002
177,0.9835015535354614
178,1.005316138267517
179,1.0289684534072876
180,1.050038456916809
181,1.0687557458877563
182,1.0851871967315674
183,1.098928451538086
184,1.1095870733261108
185,1.116686463356018
186,1.1213018894195557
187,1.125054121017456
188,1.127325177192688
189,1.1280744075775146
190,1.126720666885376
191,1.1243510246276855
192,1.1218235492706299
193,1.119197964668274
194,1.116204857826233
195,1.1123186349868774
196,1.1068050861358643
197,1.1015516519546509
198,1.0962069034576416
