step,box_rotation_delta_0
0,177.07818603515625
1,-3.0517578125e-05
2,0.0
3,3.0517578125e-05
4,-3.0517578125e-05
5,3.0517578125e-05
6,-3.0517578125e-05
7,0.0
8,3.0517578125e-05
9,-3.0517578125e-05
10,0.0
11,0.0
12,0.0
13,0.0
14,3.0517578125e-05
15,-3.0517578125e-05
16,0.0
17,3.0517578125e-05
18,-3.0517578125e-05
19,3.0517578125e-05
20,-3.0517578125e-05
21,0.0
22,3.0517578125e-05
23,-3.0517578125e-05
24,0.0
25,3.0517578125e-05
26,0.0
27,-3.0517578125e-05
28,0.0
29,0.0
30,3.0517578125e-05
31,-3.0517578125e-05
32,0.0
33,0.0
34,0.0
35,0.0
36,3.0517578125e-05
37,-3.0517578125e-05
38,3.0517578125e-05
39,-3.0517578125e-05
40,0.0
41,3.0517578125e-05
42,-3.0517578125e-05
43,0.0
44,3.0517578125e-05
45,-3.0517578125e-05
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,3.0517578125e-05
53,0.0
54,0.0
55,-3.0517578125e-05
56,3.0517578125e-05
57,-3.0517578125e-05
58,0.0
59,3.0517578125e-05
60,-3.0517578125e-05
61,0.0
62,0.0
63,0.0
64,0.0
65,3.0517578125e-05
66,-3.0517578125e-05
67,0.0
68,3.0517578125e-05
69,-3.0517578125e-05
70,0.0
71,3.0517578125e-05
72,-3.0517578125e-05
73,0.0
74,3.0517578125e-05
75,-3.0517578125e-05
76,0.0
77,3.0517578125e-05
78,-3.0517578125e-05
79,3.0517578125e-05
80,0.0
81,-3.0517578125e-05
82,3.0517578125e-05
83,-3.0517578125e-05
84,0.0
85,3.0517578125e-05
86,-3.0517578125e-05
87,0.0
88,3.0517578125e-05
89,-3.0517578125e-05
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,3.0517578125e-05
100,-3.0517578125e-05
101,0.0
102,3.0517578125e-05
103,-3.0517578125e-05
104,-2.404693603515625
105,-1.167236328125
106,-0.196136474609375
107,9.1552734375e-05
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,-3.0517578125e-05
117,0.0
118,3.0517578125e-05
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,-3.0517578125e-05
177,0.0
178,3.0517578125e-05
179,0.0
180,-3.0517578125e-05
181,3.0517578125e-05
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,-3.0517578125e-05
198,3.0517578125e-05
