step,box_rotation_delta_0
0,139.03314208984375
1,3.0517578125e-05
2,-6.103515625e-05
3,3.0517578125e-05
4,3.0517578125e-05
5,0.0
6,0.0
7,-6.103515625e-05
8,3.0517578125e-05
9,3.0517578125e-05
10,0.0
11,0.0
12,0.0
13,0.0
14,-6.103515625e-05
15,3.0517578125e-05
16,3.0517578125e-05
17,-6.103515625e-05
18,3.0517578125e-05
19,6.103515625e-05
20,-3.0517578125e-05
21,0.0
22,-6.103515625e-05
23,3.0517578125e-05
24,3.0517578125e-05
25,-6.103515625e-05
26,3.0517578125e-05
27,3.0517578125e-05
28,0.0
29,0.0
30,-6.103515625e-05
31,3.0517578125e-05
32,3.0517578125e-05
33,-6.103515625e-05
34,3.0517578125e-05
35,6.103515625e-05
36,-9.1552734375e-05
37,3.0517578125e-05
38,6.103515625e-05
39,-9.1552734375e-05
40,6.103515625e-05
41,3.0517578125e-05
42,-3.0517578125e-05
43,0.0
44,-6.103515625e-05
45,3.0517578125e-05
46,6.103515625e-05
47,-9.1552734375e-05
48,3.0517578125e-05
49,6.103515625e-05
50,-3.0517578125e-05
51,3.0517578125e-05
52,-9.1552734375e-05
53,6.103515625e-05
54,3.0517578125e-05
55,-9.1552734375e-05
56,6.103515625e-05
57,3.0517578125e-05
58,-3.0517578125e-05
59,3.0517578125e-05
60,-9.1552734375e-05
61,6.103515625e-05
62,3.0517578125e-05
63,-9.1552734375e-05
64,6.103515625e-05
65,3.0517578125e-05
66,-9.1552734375e-05
67,6.103515625e-05
68,3.0517578125e-05
69,-6.103515625e-05
70,3.0517578125e-05
71,-3.0517578125e-05
72,3.0517578125e-05
73,3.0517578125e-05
74,-9.1552734375e-05
75,6.103515625e-05
76,3.0517578125e-05
77,-9.1552734375e-05
78,6.103515625e-05
79,3.0517578125e-05
80,0.996856689453125
81,3.999542236328125
82,2.791778564453125
83,1.445709228515625
84,0.946197509765625
85,0.559478759765625
86,1.583251953125
87,1.39697265625
88,0.21258544921875
89,3.0517578125e-05
90,0.0
91,-6.103515625e-05
92,3.0517578125e-05
93,3.0517578125e-05
94,-6.103515625e-05
95,0.0
96,3.0517578125e-05
97,3.0517578125e-05
98,-6.103515625e-05
99,3.0517578125e-05
100,0.0
101,3.0517578125e-05
102,-6.103515625e-05
103,3.0517578125e-05
104,3.0517578125e-05
105,-6.103515625e-05
106,0.0
107,3.0517578125e-05
108,3.0517578125e-05
109,0.0
110,-6.103515625e-05
111,3.0517578125e-05
112,3.0517578125e-05
113,0.0
114,-3.0517578125e-05
115,0.0
116,0.0
117,3.0517578125e-05
118,-3.0517578125e-05
119,0.0
120,3.0517578125e-05
121,-6.103515625e-05
122,0.0
123,3.0517578125e-05
124,3.0517578125e-05
125,-6.103515625e-05
126,0.0
127,3.0517578125e-05
128,3.0517578125e-05
129,-6.103515625e-05
130,3.0517578125e-05
131,0.0
132,3.0517578125e-05
133,-6.103515625e-05
134,3.0517578125e-05
135,3.0517578125e-05
136,-6.103515625e-05
137,0.0
138,3.0517578125e-05
139,3.0517578125e-05
140,-6.103515625e-05
141,6.103515625e-05
142,-6.103515625e-05
143,3.0517578125e-05
144,3.0517578125e-05
145,-6.103515625e-05
146,0.0
147,3.0517578125e-05
148,3.0517578125e-05
149,-3.0517578125e-05
150,0.0
151,3.0517578125e-05
152,-6.103515625e-05
153,0.0
154,3.0517578125e-05
155,3.0517578125e-05
156,-6.103515625e-05
157,0.0
158,3.0517578125e-05
159,3.0517578125e-05
160,-3.0517578125e-05
161,0.0
162,3.0517578125e-05
163,-6.103515625e-05
164,0.0
165,3.0517578125e-05
166,3.0517578125e-05
167,0.0
168,-3.0517578125e-05
169,0.0
170,3.0517578125e-05
171,-6.103515625e-05
172,0.0
173,3.0517578125e-05
174,3.0517578125e-05
175,-6.103515625e-05
176,0.0
177,3.0517578125e-05
178,3.0517578125e-05
179,-3.0517578125e-05
180,0.0
181,3.0517578125e-05
182,-6.103515625e-05
183,0.0
184,3.0517578125e-05
185,3.0517578125e-05
186,-6.103515625e-05
187,0.0
188,3.0517578125e-05
189,3.0517578125e-05
190,-6.103515625e-05
191,3.0517578125e-05
192,0.0
193,3.0517578125e-05
194,-6.103515625e-05
195,3.0517578125e-05
196,3.0517578125e-05
197,0.0
198,-3.0517578125e-05
