step,box_theta_deg_0
0,283.7828369140625
1,283.7828369140625
2,283.7828369140625
3,283.7828369140625
4,283.7828369140625
5,283.7828369140625
6,283.7828369140625
7,283.7828369140625
8,283.7828369140625
9,283.7828369140625
10,283.7828369140625
11,283.7828369140625
12,283.7828369140625
13,283.7828369140625
14,283.7828369140625
15,283.7828369140625
16,283.7828369140625
17,283.7828369140625
18,283.7828369140625
19,283.7828369140625
20,283.7828369140625
21,283.7828369140625
22,283.7828369140625
23,283.7828369140625
24,283.7828369140625
25,283.7828369140625
26,283.7828369140625
27,283.7828369140625
28,283.7828369140625
29,283.7828369140625
30,283.7828369140625
31,283.7828369140625
32,283.7828369140625
33,283.7828369140625
34,283.7828369140625
35,283.7828369140625
36,283.7828369140625
37,283.7828369140625
38,283.7828369140625
39,283.7828369140625
40,283.7828369140625
41,283.7828369140625
42,283.7828369140625
43,283.7828369140625
44,283.7828369140625
45,283.7828369140625
46,283.7828369140625
47,283.7828369140625
48,283.7828369140625
49,283.7828369140625
50,283.7828369140625
51,283.7828369140625
52,283.7828369140625
53,283.7828369140625
54,283.7828369140625
55,283.7828369140625
56,283.7828369140625
57,283.7828369140625
58,283.7828369140625
59,283.7828369140625
60,283.7828369140625
61,283.7828369140625
62,283.7828369140625
63,283.7828369140625
64,283.7828369140625
65,283.7828369140625
66,283.7828369140625
67,283.7828369140625
68,283.7828369140625
69,283.7828369140625
70,283.7828369140625
71,283.7828369140625
72,283.7828369140625
73,283.7828369140625
74,283.7828369140625
75,283.7828369140625
76,283.7828369140625
77,283.7828369140625
78,283.7828369140625
79,283.7828369140625
80,283.7828369140625
81,283.7828369140625
82,283.7828369140625
83,283.7828369140625
84,283.7828369140625
85,283.7828369140625
86,283.7828369140625
87,283.7828369140625
88,283.7828369140625
89,283.7828369140625
90,283.7828369140625
91,283.7828369140625
92,283.7828369140625
93,283.7828369140625
94,283.7828369140625
95,283.7828369140625
96,283.7828369140625
97,283.7828369140625
98,283.7828369140625
99,283.7828369140625
100,283.7828369140625
101,283.7828369140625
102,283.7828369140625
103,283.7828369140625
104,283.7828369140625
105,283.7828369140625
106,283.7828369140625
107,283.7828369140625
108,283.7828369140625
109,283.7828369140625
110,283.7828369140625
111,283.7828369140625
112,283.7828369140625
113,283.7828369140625
114,283.7828369140625
115,283.7828369140625
116,283.7828369140625
117,283.7828369140625
118,283.7828369140625
119,283.7828369140625
120,283.7828369140625
121,283.9604187011719
122,284.5159912109375
123,284.8157653808594
124,284.9837341308594
125,285.0934143066406
126,285.373046875
127,285.4251708984375
128,285.49688720703125
129,285.5738220214844
130,285.6336975097656
131,285.7136535644531
132,285.76019287109375
133,285.7621154785156
134,285.7620849609375
135,285.7620849609375
136,285.7620849609375
137,285.7620849609375
138,285.7620849609375
139,285.7620849609375
140,285.7620849609375
141,285.7620849609375
142,285.7620849609375
143,285.7620849609375
144,285.7620849609375
145,285.7620849609375
146,285.7620849609375
147,285.7620849609375
148,285.7620849609375
149,285.7620849609375
150,285.7620849609375
151,285.7620849609375
152,285.7620849609375
153,285.7620849609375
154,285.7620849609375
155,285.7620849609375
156,285.7620849609375
157,285.7620849609375
158,285.7620849609375
159,285.7620849609375
160,285.7620849609375
161,285.7620849609375
162,285.7620849609375
163,285.7620849609375
164,285.7620849609375
165,285.7620849609375
166,285.7620849609375
167,285.7620849609375
168,285.7620849609375
169,285.7620849609375
170,285.7620849609375
171,285.7620849609375
172,285.7620849609375
173,285.7620849609375
174,285.7620849609375
175,285.7620849609375
176,285.7620849609375
177,285.7620849609375
178,285.7620849609375
179,285.7620849609375
180,285.7620849609375
181,285.7620849609375
182,285.7620849609375
183,285.7620849609375
184,285.7620849609375
185,285.7620849609375
186,285.7620849609375
187,285.7620849609375
188,285.7620849609375
189,285.7620849609375
190,285.7620849609375
191,285.7620849609375
192,285.7620849609375
193,285.7620849609375
194,285.7620849609375
195,285.7620849609375
196,285.7620849609375
197,285.7620849609375
198,285.7620849609375
