step,pushpoint_right_distance_0
0,0.32946938276290894
1,0.16613589227199554
2,0.15478374063968658
3,0.14998824894428253
4,0.14967206120491028
5,0.15112553536891937
6,0.1546204388141632
7,0.15545400977134705
8,0.15344437956809998
9,0.14506895840168
10,0.13133634626865387
11,0.11978548020124435
12,0.12192931771278381
13,0.13345633447170258
14,0.14058555662631989
15,0.14188134670257568
16,0.14421388506889343
17,0.14713147282600403
18,0.15357573330402374
19,0.16693295538425446
20,0.17798693478107452
21,0.18223851919174194
22,0.1819852888584137
23,0.1831042617559433
24,0.18582117557525635
25,0.18527664244174957
26,0.18657270073890686
27,0.18697430193424225
28,0.18744568526744843
29,0.18752343952655792
30,0.18766315281391144
31,0.18806087970733643
32,0.18867720663547516
33,0.18930187821388245
34,0.1899411380290985
35,0.19062508642673492
36,0.1916450560092926
37,0.19211293756961823
38,0.1922948956489563
39,0.192189022898674
40,0.19261346757411957
41,0.1957046240568161
42,0.1997484713792801
43,0.20572975277900696
44,0.21998436748981476
45,0.23762650787830353
46,0.25798821449279785
47,0.27875837683677673
48,0.29504743218421936
49,0.3047316074371338
50,0.30810222029685974
51,0.30837374925613403
52,0.3086181879043579
53,0.3087574541568756
54,0.308980256319046
55,0.309242844581604
56,0.30961015820503235
57,0.3097813129425049
58,0.3021610975265503
59,0.29493871331214905
60,0.29389700293540955
61,0.2959955334663391
62,0.29499250650405884
63,0.29384320974349976
64,0.2979859411716461
65,0.3044152557849884
66,0.30949243903160095
67,0.31356483697891235
68,0.3194796144962311
69,0.3281008005142212
70,0.33680838346481323
71,0.34572938084602356
72,0.35529178380966187
73,0.3664093315601349
74,0.37735283374786377
75,0.38796189427375793
76,0.39658573269844055
77,0.4026549756526947
78,0.40758171677589417
79,0.4132337272167206
80,0.4196777641773224
81,0.4270155131816864
82,0.4356916844844818
83,0.44558587670326233
84,0.4575144052505493
85,0.47042182087898254
86,0.4843958914279938
87,0.5000594258308411
88,0.517704963684082
89,0.531956136226654
90,0.5430095195770264
91,0.5504648089408875
92,0.5567409992218018
93,0.5692895650863647
94,0.5890921354293823
95,0.6176087260246277
96,0.6536106467247009
97,0.692019522190094
98,0.7298930883407593
99,0.7670001983642578
100,0.802949845790863
101,0.8375056982040405
102,0.8701207041740417
103,0.900307297706604
104,0.9265781044960022
105,0.9471472501754761
106,0.9634748101234436
107,0.9780495762825012
108,0.993289589881897
109,1.0097503662109375
110,1.0269149541854858
111,1.0446572303771973
112,1.0622962713241577
113,1.078991413116455
114,1.0948667526245117
115,1.1104450225830078
116,1.125980019569397
117,1.1416382789611816
118,1.1575042009353638
119,1.1734814643859863
120,1.1894028186798096
121,1.2047368288040161
122,1.2201600074768066
123,1.2355867624282837
124,1.2501615285873413
125,1.2636709213256836
126,1.275990605354309
127,1.2871737480163574
128,1.2978774309158325
129,1.3083139657974243
130,1.3179148435592651
131,1.326420545578003
132,1.3338576555252075
133,1.3400875329971313
134,1.3448880910873413
135,1.3483870029449463
136,1.350691556930542
137,1.35201895236969
138,1.3524683713912964
139,1.3521060943603516
140,1.3509938716888428
141,1.3495049476623535
142,1.347494125366211
143,1.3453638553619385
144,1.342177391052246
145,1.3382868766784668
146,1.3341542482376099
147,1.3296301364898682
148,1.324637770652771
149,1.319079041481018
150,1.3124207258224487
151,1.3048746585845947
152,1.2967287302017212
153,1.2879481315612793
154,1.278694748878479
155,1.2689590454101562
156,1.2587754726409912
157,1.2486153841018677
158,1.2388912439346313
159,1.2298429012298584
160,1.2210112810134888
161,1.2124394178390503
162,1.2049230337142944
163,1.1992435455322266
164,1.1946126222610474
165,1.1904345750808716
166,1.186884880065918
167,1.1839466094970703
168,1.181490182876587
169,1.1792985200881958
170,1.1771990060806274
171,1.1750719547271729
172,1.172899603843689
173,1.1706210374832153
174,1.168206810951233
175,1.1655888557434082
176,1.162706971168518
177,1.1594797372817993
178,1.155787467956543
179,1.151662826538086
180,1.1471041440963745
181,1.1423733234405518
182,1.1373549699783325
183,1.1323798894882202
184,1.12711501121521
185,1.1217492818832397
186,1.116395354270935
187,1.1110360622406006
188,1.1057922840118408
189,1.1009855270385742
190,1.0973674058914185
191,1.0964362621307373
192,1.0976855754852295
193,1.1010808944702148
194,1.1044989824295044
195,1.1063451766967773
196,1.105484962463379
197,1.1021522283554077
198,1.0971546173095703
