step,rewards_t_0
0,-1.985019326210022
1,0.20417386293411255
2,0.22337272763252258
3,0.23993626236915588
4,0.2552889883518219
5,0.2724090814590454
6,0.2898653745651245
7,0.29227370023727417
8,0.29324182868003845
9,0.2957971692085266
10,0.29195860028266907
11,0.2741503119468689
12,0.2550731599330902
13,0.2492333948612213
14,0.25299766659736633
15,0.24964094161987305
16,0.2459566295146942
17,0.24331021308898926
18,0.2424456775188446
19,0.24626508355140686
20,0.246568500995636
21,0.2521253824234009
22,0.2509717047214508
23,0.25099191069602966
24,0.2534986436367035
25,0.2406996786594391
26,0.23235416412353516
27,0.2541504204273224
28,0.1918467879295349
29,0.24800871312618256
30,0.2796325385570526
31,0.34232404828071594
32,0.347179114818573
33,0.39219653606414795
34,0.4122365713119507
35,0.4904942214488983
36,0.5013431310653687
37,0.49475276470184326
38,0.47981899976730347
39,0.458523690700531
40,0.4348180294036865
41,0.4144783616065979
42,0.4017465114593506
43,0.3991527557373047
44,0.39674854278564453
45,0.3943588137626648
46,0.3934975266456604
47,0.39258313179016113
48,0.3925732374191284
49,0.39152419567108154
50,0.38839495182037354
51,0.3772929906845093
52,0.37029457092285156
53,0.3642420172691345
54,0.36017483472824097
55,0.3604832887649536
56,0.3625744581222534
57,0.3652028441429138
58,0.3693309426307678
59,0.37437188625335693
60,0.3788391351699829
61,0.380285382270813
62,0.3777155876159668
63,0.37116098403930664
64,0.3624715209007263
65,-0.14691126346588135
66,-0.15720844268798828
67,-0.1680697798728943
68,-0.17771625518798828
69,-0.18457096815109253
70,-0.19023030996322632
71,-0.19204682111740112
72,-0.19255459308624268
73,0.30621176958084106
74,0.30460619926452637
75,0.3033924698829651
76,0.30274587869644165
77,0.3023008108139038
78,0.3023473024368286
79,0.3045530319213867
80,0.309664249420166
81,0.3176875710487366
82,0.3260093927383423
83,0.33925861120224
84,0.3580576181411743
85,0.37981587648391724
86,0.3755952715873718
87,0.374403715133667
88,0.3642390966415405
89,0.3608226776123047
90,0.35871291160583496
91,0.3475620746612549
92,0.3363991379737854
93,0.3279661536216736
94,0.32287347316741943
95,0.32218098640441895
96,0.32401931285858154
97,0.32630711793899536
98,0.3293253183364868
99,0.33294057846069336
100,0.3350912928581238
101,0.33562254905700684
102,0.33485352993011475
103,0.3331202268600464
104,0.3307926058769226
105,0.3284934163093567
106,0.3268091082572937
107,0.3255568742752075
108,0.32586991786956787
109,0.3267078399658203
110,0.3271836042404175
111,0.3270772695541382
112,0.3276744484901428
113,0.32876354455947876
114,0.3294137716293335
115,0.32914626598358154
116,0.32723915576934814
117,0.32485663890838623
118,0.3226625323295593
119,0.322087824344635
120,0.3210258483886719
121,0.31888091564178467
122,0.3172047734260559
123,0.31720590591430664
124,-0.18192028999328613
125,-0.1810736060142517
126,-0.18068468570709229
127,-0.1798412799835205
128,-0.18077349662780762
129,-0.18366211652755737
130,0.314395010471344
131,0.3136780261993408
132,0.31592655181884766
133,0.3201451897621155
134,-0.17535454034805298
135,-0.17336046695709229
136,0.32769834995269775
137,0.32960015535354614
138,0.3326655626296997
139,0.335715651512146
140,0.3381285071372986
141,0.3407285213470459
142,-0.15683257579803467
143,-0.15526717901229858
144,-0.1545751690864563
145,0.345849871635437
146,0.345863938331604
147,0.34539031982421875
148,0.3452838063240051
149,-0.1535462737083435
150,-0.15054142475128174
151,-0.1446472406387329
152,0.3642945885658264
153,0.3754727244377136
154,0.38799387216567993
155,0.40081000328063965
156,0.41616344451904297
157,0.4326270818710327
158,0.45061206817626953
159,0.47016406059265137
160,0.4906154274940491
161,0.5112372636795044
162,0.5315697193145752
163,0.5457603931427002
164,0.54332035779953
165,0.27434372901916504
166,0.2502870559692383
167,0.2293282151222229
168,0.21493324637413025
169,0.20184320211410522
170,0.18795424699783325
171,0.17849823832511902
172,0.1666739583015442
173,0.15354445576667786
174,0.13886353373527527
175,0.12373127043247223
176,0.1095866709947586
177,0.09582073986530304
178,0.08164955675601959
179,0.06906886398792267
180,0.058000341057777405
181,0.04860962927341461
182,0.04065178334712982
183,0.03396420180797577
184,0.028228001669049263
185,0.023430034518241882
186,0.06489495187997818
187,0.26625239849090576
188,0.26327741146087646
189,0.2606559991836548
190,0.25836169719696045
191,0.25670355558395386
192,0.25568777322769165
193,0.2552552819252014
194,0.25531715154647827
195,0.25589728355407715
196,0.25703638792037964
197,0.25862473249435425
198,0.2604609727859497
