step,obs/extra/left_tcp_pose_6d_from_bimanual_center_0,obs/extra/left_tcp_pose_6d_from_bimanual_center_1,obs/extra/left_tcp_pose_6d_from_bimanual_center_2,obs/extra/left_tcp_pose_6d_from_bimanual_center_3,obs/extra/left_tcp_pose_6d_from_bimanual_center_4,obs/extra/left_tcp_pose_6d_from_bimanual_center_5,obs/extra/left_tcp_pose_6d_from_bimanual_center_6,obs/extra/left_tcp_pose_6d_from_bimanual_center_7,obs/extra/left_tcp_pose_6d_from_bimanual_center_8
0,0.410285085439682,0.4585331380367279,0.5245541930198669,0.10877525806427002,-0.9760701060295105,0.18829521536827087,0.7768375277519226,-0.03471946716308594,-0.6287431716918945
1,0.4120042324066162,0.44163504242897034,0.5619620680809021,0.06776070594787598,-0.9813990592956543,0.1796230673789978,0.8224869966506958,-0.04695916175842285,-0.5668421387672424
2,0.4121619462966919,0.4194263815879822,0.5956772565841675,0.017448365688323975,-0.9850555658340454,0.1713505983352661,0.8588556051254272,-0.07297837734222412,-0.5069923400878906
3,0.41248875856399536,0.3940228521823883,0.6214650869369507,-0.03501307964324951,-0.9861701130867004,0.16199585795402527,0.8824896216392517,-0.1065824031829834,-0.4580965042114258
4,0.41467002034187317,0.3661150336265564,0.6377774477005005,-0.09104037284851074,-0.9843254089355469,0.15104694664478302,0.893337607383728,-0.14775049686431885,-0.4244029223918915
5,0.41659051179885864,0.33880943059921265,0.6460883021354675,-0.14793944358825684,-0.9785758852958679,0.14318937063217163,0.8955414891242981,-0.1939847469329834,-0.40046897530555725
6,0.4159715175628662,0.31622713804244995,0.6528248190879822,-0.19998455047607422,-0.9698763489723206,0.13909007608890533,0.8958048224449158,-0.2384955883026123,-0.37503814697265625
7,0.4139026701450348,0.3035240173339844,0.6592060327529907,-0.2432650327682495,-0.9587925672531128,0.14676164090633392,0.8959527015686035,-0.2800849676132202,-0.3447044789791107
8,0.41336971521377563,0.29393333196640015,0.6630780696868896,-0.2821335792541504,-0.9462541341781616,0.15812551975250244,0.8929431438446045,-0.31927168369293213,-0.3173612058162689
9,0.4161972999572754,0.2845035195350647,0.6617608666419983,-0.3182624578475952,-0.9322770237922668,0.17195484042167664,0.884706437587738,-0.3572533130645752,-0.2994402348995209
