step,penalty_inverse_rotation_0
0,-2.0
1,0.0
2,-6.78168362355791e-05
3,0.0
4,-4.521122536971234e-05
5,0.0
6,0.0
7,-4.521122536971234e-05
8,0.0
9,-4.521122536971234e-05
10,0.0
11,0.0
12,-6.78168362355791e-05
13,0.0
14,-4.521122536971234e-05
15,0.0
16,0.0
17,0.0
18,-4.521122536971234e-05
19,0.0
20,-4.521122536971234e-05
21,0.0
22,0.0
23,-4.521122536971234e-05
24,0.0
25,-4.521122536971234e-05
26,0.0
27,0.0
28,-4.521122536971234e-05
29,0.0
30,-6.78168362355791e-05
31,0.0
32,-4.521122536971234e-05
33,0.0
34,0.0
35,-4.521122536971234e-05
36,0.0
37,0.0
38,-4.521122536971234e-05
39,0.0
40,-4.521122536971234e-05
41,0.0
42,0.0
43,-6.78168362355791e-05
44,0.0
45,-4.521122536971234e-05
46,0.0
47,0.0
48,-6.78168362355791e-05
49,0.0
50,-4.521122536971234e-05
51,0.0
52,-4.521122536971234e-05
53,0.0
54,0.0
55,0.0
56,-6.78168362355791e-05
57,0.0
58,-4.521122536971234e-05
59,0.0
60,0.0
61,-4.521122536971234e-05
62,0.0
63,-4.521122536971234e-05
64,0.0
65,0.0
66,-4.521122536971234e-05
67,0.0
68,-4.521122536971234e-05
69,0.0
70,0.0
71,-6.78168362355791e-05
72,0.0
73,0.0
74,-6.78168362355791e-05
75,0.0
76,-0.007392035331577063
77,0.0
78,-2.260561268485617e-05
79,0.0
80,0.0
81,-2.260561268485617e-05
82,0.0
83,0.0
84,-2.260561268485617e-05
85,0.0
86,0.0
87,-2.260561268485617e-05
88,0.0
89,0.0
90,-2.260561268485617e-05
91,0.0
92,0.0
93,-2.260561268485617e-05
94,0.0
95,0.0
96,-2.260561268485617e-05
97,0.0
98,0.0
99,-2.260561268485617e-05
100,0.0
101,0.0
102,-2.260561268485617e-05
103,0.0
104,0.0
105,-2.260561268485617e-05
106,0.0
107,0.0
108,-2.260561268485617e-05
109,0.0
110,0.0
111,-2.260561268485617e-05
112,0.0
113,0.0
114,-0.0534396693110466
115,-0.17982764542102814
116,-0.23638689517974854
117,-0.1998562216758728
118,-0.14101381599903107
119,-0.1047092005610466
120,-0.060063112527132034
121,0.0
122,0.0
123,0.0
124,0.0
125,-0.013405128382146358
126,-0.01919216476380825
127,-0.07109465450048447
128,-0.11669017374515533
129,-0.20964445173740387
130,-0.3366428017616272
131,-0.3214518129825592
132,-0.40681061148643494
133,-0.3680645823478699
134,-0.121934674680233
135,-0.15114112198352814
136,-0.0364176407456398
137,0.0
138,0.0
139,-6.78168362355791e-05
140,-0.5193639397621155
141,-0.9265588521957397
142,-0.6337031722068787
143,-0.5057101845741272
144,-0.6100124716758728
145,-0.6345621347427368
146,-1.6330294609069824
147,-1.1862295866012573
148,-0.1389567106962204
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,-4.521122536971234e-05
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,-0.0001356336724711582
174,-0.0006103515625
175,0.0
176,-2.260561268485617e-05
177,-0.00011302806524327025
178,-9.042245073942468e-05
179,-0.00011302806524327025
180,-0.0014015480410307646
181,-0.0902642160654068
182,-0.15304000675678253
183,-0.07102683931589127
184,-0.11036060005426407
185,-0.04575376212596893
186,0.0
187,-0.36508065462112427
188,-0.352851003408432
189,-0.07041648775339127
190,-0.2361382395029068
191,-0.18204300105571747
192,-0.03298158943653107
193,-0.00011302806524327025
194,0.0
195,-4.521122536971234e-05
196,0.0
197,-6.78168362355791e-05
198,0.0
