step,obs/extra/left_tcp_pose_6d_from_bimanual_center_0,obs/extra/left_tcp_pose_6d_from_bimanual_center_1,obs/extra/left_tcp_pose_6d_from_bimanual_center_2,obs/extra/left_tcp_pose_6d_from_bimanual_center_3,obs/extra/left_tcp_pose_6d_from_bimanual_center_4,obs/extra/left_tcp_pose_6d_from_bimanual_center_5,obs/extra/left_tcp_pose_6d_from_bimanual_center_6,obs/extra/left_tcp_pose_6d_from_bimanual_center_7,obs/extra/left_tcp_pose_6d_from_bimanual_center_8
13,0.4646313190460205,0.15908193588256836,-0.005108557641506195,-0.04256999492645264,-0.9902775883674622,0.13243182003498077,0.13241131603717804,-0.13697493076324463,-0.9816849231719971
14,0.4660460948944092,0.14512348175048828,-0.011862188577651978,-0.03419506549835205,-0.9897401928901672,0.1387265920639038,0.12842148542404175,-0.14200842380523682,-0.9814996123313904
15,0.46640610694885254,0.13944196701049805,-0.018394172191619873,0.0018607378005981445,-0.9884940385818481,0.151248961687088,0.11657124757766724,-0.15000367164611816,-0.981789231300354
16,0.4700181484222412,0.13495826721191406,-0.02160346508026123,0.03648698329925537,-0.9853779077529907,0.1664305478334427,0.1094982773065567,-0.1615966558456421,-0.98076331615448
17,0.4758799076080322,0.13138866424560547,-0.021558687090873718,0.05705738067626953,-0.982012927532196,0.1799861490726471,0.10793417692184448,-0.1731557846069336,-0.9789623022079468
18,0.4825747013092041,0.1284322738647461,-0.02140165865421295,0.0682748556137085,-0.9793754816055298,0.19016379117965698,0.10969105362892151,-0.18208396434783936,-0.9771455526351929
19,0.4905064105987549,0.125,-0.02122195065021515,0.0695638656616211,-0.9779320955276489,0.19700202345848083,0.11657820641994476,-0.18815815448760986,-0.9751954674720764
20,0.5002920627593994,0.12014627456665039,-0.020320124924182892,0.0578266978263855,-0.9775381088256836,0.20267057418823242,0.13232503831386566,-0.19371390342712402,-0.9720931053161621
21,0.5086615085601807,0.11420822143554688,-0.01934872567653656,0.02799302339553833,-0.978975236415863,0.20204895734786987,0.1476725935935974,-0.19586026668548584,-0.9694490432739258
22,0.5147068500518799,0.1074223518371582,-0.020450621843338013,-0.018900632858276367,-0.980801522731781,0.19409048557281494,0.15772183239459991,-0.1946192979812622,-0.9681152105331421
23,0.5175387859344482,0.10248851776123047,-0.021544277667999268,-0.07167994976043701,-0.9806927442550659,0.18194417655467987,0.16246019303798676,-0.19145679473876953,-0.9679623246192932
24,0.517401933670044,0.09983205795288086,-0.0219561830163002,-0.12553751468658447,-0.9780585765838623,0.16625846922397614,0.1643252819776535,-0.18576884269714355,-0.9687554836273193
25,0.5198953151702881,0.09940624237060547,-0.02079387754201889,-0.1749511957168579,-0.9731903076171875,0.14930735528469086,0.17011795938014984,-0.17924439907073975,-0.9689847230911255
26,0.5266978740692139,0.10152912139892578,-0.0203634575009346,-0.21313953399658203,-0.9676586985588074,0.1349380910396576,0.17741423845291138,-0.17414796352386475,-0.9686055183410645
27,0.5367715358734131,0.09887170791625977,-0.018374040722846985,-0.24740827083587646,-0.9604159593582153,0.12802499532699585,0.1913868635892868,-0.1779710054397583,-0.9652447700500488
28,0.5471498966217041,0.09150266647338867,-0.014762736856937408,-0.27495241165161133,-0.9525914192199707,0.13027268648147583,0.20496661961078644,-0.19045495986938477,-0.9600602388381958
29,0.553673505783081,0.07374811172485352,-0.012084528803825378,-0.303544282913208,-0.9417116641998291,0.1450514793395996,0.21790727972984314,-0.2168104648590088,-0.951582670211792
30,0.549567461013794,0.0575261116027832,-0.016908392310142517,-0.35491275787353516,-0.9243049621582031,0.1403474062681198,0.21858489513397217,-0.22799980640411377,-0.9488081932067871
31,0.5526111125946045,0.04874706268310547,-0.01172202080488205,-0.34789884090423584,-0.9267534017562866,0.14175580441951752,0.2300550937652588,-0.23096537590026855,-0.9453728199005127
32,0.5498354434967041,0.053768157958984375,-0.017991527915000916,-0.32036399841308594,-0.9364254474639893,0.14308840036392212,0.22386085987091064,-0.22160983085632324,-0.949091911315918
33,0.5556271076202393,0.05186748504638672,-0.01349109411239624,-0.3069474697113037,-0.9403983354568481,0.14640402793884277,0.23946014046669006,-0.22519183158874512,-0.9444296360015869
34,0.5519545078277588,0.04760456085205078,-0.018467091023921967,-0.2983771562576294,-0.9423245191574097,0.1516432911157608,0.23944926261901855,-0.22770464420318604,-0.9438298940658569
35,0.5532405376434326,0.054811954498291016,-0.019212976098060608,-0.2785838842391968,-0.9483766555786133,0.1515679508447647,0.2417406439781189,-0.2219768762588501,-0.9446098804473877
36,0.5439927577972412,0.058854103088378906,-0.02161804586648941,-0.26779913902282715,-0.951350212097168,0.15236937999725342,0.23174884915351868,-0.21710693836212158,-0.9482389092445374
37,0.5380251407623291,0.06183195114135742,-0.020143553614616394,-0.2651160955429077,-0.9531012773513794,0.14598417282104492,0.23321688175201416,-0.21029138565063477,-0.9494142532348633
38,0.5422184467315674,0.06136035919189453,-0.012259826064109802,-0.2829371690750122,-0.9504451155662537,0.12884311378002167,0.26424917578697205,-0.20637786388397217,-0.9421148300170898
39,0.5549428462982178,0.061933040618896484,0.003905288875102997,-0.31097710132598877,-0.945044755935669,0.10091422498226166,0.31244611740112305,-0.20193183422088623,-0.9282246828079224
40,0.5603010654449463,0.06312274932861328,0.016437232494354248,-0.3162662982940674,-0.9450733661651611,0.08253494650125504,0.350849449634552,-0.19735431671142578,-0.9153993129730225
41,0.5579259395599365,0.05730104446411133,0.023454196751117706,-0.33428144454956055,-0.9399794340133667,0.06851951777935028,0.3752526044845581,-0.19943499565124512,-0.905213475227356
42,0.5533626079559326,0.0501255989074707,0.01888517290353775,-0.3776826858520508,-0.9247503280639648,0.04682517051696777,0.38297414779663086,-0.20205509662628174,-0.9013903141021729
43,0.5562007427215576,0.05412626266479492,0.01523543894290924,-0.3938032388687134,-0.9187225699424744,0.02945784106850624,0.39551079273223877,-0.19828760623931885,-0.8968015909194946
44,0.5572531223297119,0.06255960464477539,0.007379412651062012,-0.4162946939468384,-0.9092065095901489,0.006492764689028263,0.3998859226703644,-0.18949806690216064,-0.8967617750167847
45,0.5528242588043213,0.0663599967956543,-0.0014335066080093384,-0.45287811756134033,-0.8913522958755493,-0.019806714728474617,0.3926253616809845,-0.17944109439849854,-0.9020233750343323
46,0.5552656650543213,0.07574129104614258,-0.0026864856481552124,-0.4680558443069458,-0.8826016187667847,-0.044027041643857956,0.3900490701198578,-0.16162943840026855,-0.906497597694397
47,0.5447671413421631,0.08348321914672852,-0.013537421822547913,-0.48438751697540283,-0.8728810548782349,-0.05871472507715225,0.370159775018692,-0.14367711544036865,-0.9177901148796082
48,0.5477526187896729,0.09075069427490234,-0.007048942148685455,-0.5081918239593506,-0.8565603494644165,-0.0896959900856018,0.3752967119216919,-0.12650728225708008,-0.9182310104370117
49,0.5423657894134521,0.09917354583740234,-0.006490662693977356,-0.5400311946868896,-0.8334450721740723,-0.11719916760921478,0.36852705478668213,-0.10896563529968262,-0.9232087135314941
50,0.5412147045135498,0.09598016738891602,-0.007187768816947937,-0.5601363182067871,-0.8185631632804871,-0.12728607654571533,0.36307400465011597,-0.10447418689727783,-0.9258847236633301
51,0.5451633930206299,0.08247041702270508,-0.0025595352053642273,-0.5773477554321289,-0.8060791492462158,-0.1300240308046341,0.3728639483451843,-0.11861681938171387,-0.9202731847763062
52,0.5292379856109619,0.08415412902832031,-0.010712996125221252,-0.5866360664367676,-0.8004688620567322,-0.12291432917118073,0.3451405465602875,-0.10981416702270508,-0.9321045279502869
53,0.5364806652069092,0.07886505126953125,0.0029133930802345276,-0.5631585121154785,-0.8187575340270996,-0.11175239086151123,0.3628481924533844,-0.12350845336914062,-0.9236270189285278
54,0.529731035232544,0.0752725601196289,-0.00464455783367157,-0.545324444770813,-0.8339238166809082,-0.08480875939130783,0.351553350687027,-0.13568830490112305,-0.9262823462486267
