step,obs/extra/left_tcp_pose_6d_from_bimanual_center_0,obs/extra/left_tcp_pose_6d_from_bimanual_center_1,obs/extra/left_tcp_pose_6d_from_bimanual_center_2,obs/extra/left_tcp_pose_6d_from_bimanual_center_3,obs/extra/left_tcp_pose_6d_from_bimanual_center_4,obs/extra/left_tcp_pose_6d_from_bimanual_center_5,obs/extra/left_tcp_pose_6d_from_bimanual_center_6,obs/extra/left_tcp_pose_6d_from_bimanual_center_7,obs/extra/left_tcp_pose_6d_from_bimanual_center_8
0,0.24202662706375122,0.3748817443847656,0.02410261332988739,0.958336591720581,-0.25791388750076294,0.12276572734117508,-0.058297209441661835,-0.5973465442657471,-0.79986172914505
1,0.24293839931488037,0.3599739074707031,0.03419975936412811,0.9460397362709045,-0.2877710461616516,0.1489853858947754,-0.06276959180831909,-0.6137865781784058,-0.7869728207588196
2,0.24298545718193054,0.3440208435058594,0.04435686767101288,0.9307321906089783,-0.3200690448284149,0.17689946293830872,-0.06971286982297897,-0.6301404237747192,-0.7733455300331116
3,0.24201756715774536,0.32776594161987305,0.054450973868370056,0.9131093621253967,-0.35283926129341125,0.20429325103759766,-0.0795760378241539,-0.6456630229949951,-0.759465217590332
4,0.23907709121704102,0.3109312057495117,0.06405283510684967,0.8921123147010803,-0.38862693309783936,0.23044458031654358,-0.0947728082537651,-0.6596561670303345,-0.7455682158470154
5,0.23446139693260193,0.2953147888183594,0.0730985552072525,0.8674725890159607,-0.4275505542755127,0.2543458640575409,-0.11475712060928345,-0.6694490909576416,-0.7339404225349426
6,0.23044359683990479,0.28310585021972656,0.08206652104854584,0.8408656120300293,-0.46566706895828247,0.27586081624031067,-0.13419657945632935,-0.6731377840042114,-0.7272392511367798
7,0.22790715098381042,0.27454090118408203,0.09089377522468567,0.8148193955421448,-0.49969881772994995,0.2938884496688843,-0.15049532055854797,-0.6719052791595459,-0.7251858711242676
8,0.22668659687042236,0.2691192626953125,0.09908542037010193,0.7916165590286255,-0.5286383628845215,0.3064061999320984,-0.1645234078168869,-0.6673612594604492,-0.7263340950012207
9,0.2262052595615387,0.26611852645874023,0.10601630806922913,0.7728515863418579,-0.5525362491607666,0.31209635734558105,-0.178279846906662,-0.6610532999038696,-0.7288517355918884
10,0.22569730877876282,0.26433706283569336,0.1112869381904602,0.7595386505126953,-0.570210874080658,0.3129866123199463,-0.19128775596618652,-0.6557056903839111,-0.7303827404975891
11,0.2260204255580902,0.2641482353210449,0.11438903212547302,0.7498895525932312,-0.5844787359237671,0.3099198043346405,-0.2032793164253235,-0.6493740081787109,-0.7327967286109924
12,0.2277257740497589,0.2654705047607422,0.11535289883613586,0.743995726108551,-0.5951170921325684,0.303818941116333,-0.21262821555137634,-0.6419205665588379,-0.736700177192688
13,0.23123019933700562,0.26804018020629883,0.11407865583896637,0.7422667741775513,-0.6014016270637512,0.2955606281757355,-0.21793946623802185,-0.6337460279464722,-0.7422051429748535
14,0.23641201853752136,0.2716331481933594,0.11094847321510315,0.7440536022186279,-0.603568434715271,0.2865124046802521,-0.21868644654750824,-0.6252222061157227,-0.7491819262504578
15,0.2422890067100525,0.2758617401123047,0.10595309734344482,0.7474881410598755,-0.6037228107452393,0.2770925760269165,-0.2169424444437027,-0.6161285638809204,-0.7571800351142883
16,0.24542123079299927,0.27883148193359375,0.09946094453334808,0.7493860721588135,-0.6061690449714661,0.2664199471473694,-0.22043181955814362,-0.6078073978424072,-0.7628762722015381
17,0.24490970373153687,0.27979516983032227,0.091414675116539,0.7477884292602539,-0.6135280728340149,0.2537632882595062,-0.23238840699195862,-0.599898099899292,-0.7655834555625916
18,0.2413814663887024,0.2793140411376953,0.08252879977226257,0.7425107955932617,-0.6255587339401245,0.23948684334754944,-0.25137045979499817,-0.5916272401809692,-0.7660223841667175
19,0.23601582646369934,0.27809572219848633,0.07343599200248718,0.7330223321914673,-0.6418713331222534,0.22512106597423553,-0.27462756633758545,-0.5820608139038086,-0.7653659582138062
20,0.23060539364814758,0.2768821716308594,0.06493639945983887,0.7191044688224792,-0.6615894436836243,0.2125750035047531,-0.2986146807670593,-0.570422887802124,-0.7651450037956238
21,0.2271137535572052,0.27655744552612305,0.057509616017341614,0.7019197344779968,-0.6826297044754028,0.20328634977340698,-0.3192441165447235,-0.55666184425354,-0.766948938369751
22,0.22671747207641602,0.27784061431884766,0.05143624544143677,0.6820276379585266,-0.7039726972579956,0.1981431245803833,-0.33388984203338623,-0.5407869815826416,-0.7720537185668945
23,0.23020857572555542,0.2806100845336914,0.047054409980773926,0.66265469789505,-0.7224470973014832,0.1973801553249359,-0.34037917852401733,-0.5252810716629028,-0.7798857092857361
24,0.23560494184494019,0.2828183174133301,0.04450172185897827,0.6457275748252869,-0.7368288636207581,0.20029740035533905,-0.34164589643478394,-0.5133978128433228,-0.7872106432914734
