step,box_rotation_reward_0
0,0.010855317115783691
1,1.9891446828842163
2,1.9891446828842163
3,1.9891446828842163
4,1.9891446828842163
5,1.9891446828842163
6,1.9891446828842163
7,1.9891446828842163
8,1.9891446828842163
9,1.9891446828842163
10,1.9891446828842163
11,1.9891446828842163
12,1.9891446828842163
13,1.9891446828842163
14,1.9891446828842163
15,1.9891446828842163
16,1.9891446828842163
17,1.9891446828842163
18,1.9891446828842163
19,1.9891446828842163
20,1.9891446828842163
21,1.9891446828842163
22,1.9892781972885132
23,1.992244005203247
24,1.9936648607254028
25,1.9936648607254028
26,1.9936648607254028
27,1.9936648607254028
28,1.9936648607254028
29,1.9936648607254028
30,1.9936648607254028
31,1.9936648607254028
32,1.9936648607254028
33,1.9936648607254028
34,1.9936648607254028
35,1.9936648607254028
36,1.9936648607254028
37,1.9936648607254028
38,1.9936648607254028
39,1.9936648607254028
40,1.9936648607254028
41,1.9936648607254028
42,1.9936648607254028
43,1.9936647415161133
44,1.9936648607254028
45,1.9936648607254028
46,1.9936648607254028
47,1.9936648607254028
48,1.9936648607254028
49,1.9936648607254028
50,1.9936648607254028
51,1.9936648607254028
52,1.9936648607254028
53,1.9936648607254028
54,1.9936648607254028
55,1.9936648607254028
56,1.9936648607254028
57,1.9936648607254028
58,1.9936648607254028
59,1.9936648607254028
60,1.9936648607254028
61,1.9936648607254028
62,1.9880619049072266
63,1.9804949760437012
64,1.9754524230957031
65,1.9738407135009766
66,1.9738404750823975
67,1.9738404750823975
68,1.9738404750823975
69,1.957829475402832
70,1.9213517904281616
71,1.8880181312561035
72,1.8631902933120728
73,1.8434669971466064
74,1.8257510662078857
75,1.8091156482696533
76,1.7981538772583008
77,1.794715166091919
78,1.7860616445541382
79,1.7753262519836426
80,1.7746342420578003
81,1.7589831352233887
82,1.760188102722168
83,1.7526719570159912
84,1.7088292837142944
85,1.708024024963379
86,1.7072901725769043
87,1.706405520439148
88,1.7062716484069824
89,1.7062721252441406
90,1.7062716484069824
91,1.7062716484069824
92,1.7062716484069824
93,1.7062721252441406
94,1.7062716484069824
95,1.7062716484069824
96,1.7062716484069824
97,1.7062716484069824
98,1.7062716484069824
99,1.7062716484069824
100,1.7062721252441406
101,1.7062716484069824
102,1.7062721252441406
103,1.7062716484069824
104,1.706346035003662
105,1.7062969207763672
106,1.706557035446167
107,1.7065386772155762
108,1.7062935829162598
109,1.7062935829162598
110,1.7062935829162598
111,1.7062935829162598
112,1.7062931060791016
113,1.7062935829162598
114,1.7062931060791016
115,1.7062935829162598
116,1.7062935829162598
117,1.7062935829162598
118,1.7062935829162598
119,1.7062935829162598
120,1.7062935829162598
121,1.7062931060791016
122,1.7062935829162598
123,1.7062935829162598
124,1.7062935829162598
125,1.7062935829162598
126,1.7062935829162598
127,1.7062935829162598
128,1.7062935829162598
129,1.7062935829162598
130,1.7062931060791016
131,1.7062935829162598
132,1.7062935829162598
133,1.7062935829162598
134,1.7062935829162598
135,1.7062935829162598
136,1.7062935829162598
137,1.7062935829162598
138,1.7062935829162598
139,1.7062935829162598
140,1.7062935829162598
141,1.7062935829162598
142,1.7062935829162598
143,1.7062935829162598
144,1.7062935829162598
145,1.7062935829162598
146,1.7062935829162598
147,1.7062935829162598
148,1.7062935829162598
149,1.7062935829162598
150,1.7062931060791016
151,1.7062935829162598
152,1.7062931060791016
153,1.7062935829162598
154,1.7062935829162598
155,1.7062935829162598
156,1.7062935829162598
157,1.7062935829162598
158,1.7062935829162598
159,1.7062935829162598
160,1.7062935829162598
161,1.7062935829162598
162,1.7062935829162598
163,1.7062935829162598
164,1.7062935829162598
165,1.7062935829162598
166,1.7062935829162598
167,1.7062935829162598
168,1.7062935829162598
169,1.7062935829162598
170,1.7062935829162598
171,1.7062935829162598
172,1.7062935829162598
173,1.7062935829162598
174,1.7062935829162598
175,1.7062935829162598
176,1.7062935829162598
177,1.7062935829162598
178,1.7062935829162598
179,1.7062935829162598
180,1.7062935829162598
181,1.7062935829162598
182,1.7062935829162598
183,1.7062935829162598
184,1.7062935829162598
185,1.7062935829162598
186,1.7062931060791016
187,1.7062935829162598
188,1.7062935829162598
189,1.7062935829162598
190,1.7062935829162598
191,1.7062935829162598
192,1.7062935829162598
193,1.7062931060791016
194,1.7062935829162598
195,1.7062931060791016
196,1.7062935829162598
197,1.7062935829162598
198,1.7062935829162598
