condition,absolute_change_mean,absolute_change_p95,absolute_change_p99,absolute_change_max,step_max_mean,step_max_p95,step_max_max,fraction_over_0.25,fraction_over_0.5,fraction_over_1.0,penalty_mean,penalty_p95,penalty_max
GPU deterministic,0.031331270933151245,0.12758362293243408,0.22525353729724884,0.40188363194465637,0.08571839332580566,0.2446143478155136,0.40188363194465637,0.006602641056422569,0.0,0.0,0.10196071863174438,0.30870306491851807,0.5156363844871521
CPU deterministic,0.024181699380278587,0.11738027632236481,0.23248161375522614,0.45088741183280945,0.07242607325315475,0.2822072505950928,0.45088741183280945,0.0078031212484993995,0.0,0.0,0.0856398418545723,0.358167439699173,0.580115020275116
GPU stochastic,0.21072889864444733,0.6898905038833618,1.2162177562713623,2.0,0.7801267504692078,1.45246160030365,2.0,0.28031212484994,0.08823529411764706,0.016206482593037214,1.0133247375488281,1.8979756832122803,2.6184210777282715
CPU stochastic,0.2043004035949707,0.6492116451263428,1.1580307483673096,1.8723349571228027,0.7803113460540771,1.4723293781280518,1.8723349571228027,0.2737094837935174,0.09003601440576231,0.019807923169267706,1.013567566871643,1.9241175651550293,2.4504406452178955
