step,rewards_t_0
0,-2.1832058429718018
1,-0.18656066060066223
2,0.03599419817328453
3,0.04985522851347923
4,0.04141223058104515
5,0.03385322913527489
6,0.027890797704458237
7,0.023218240588903427
8,0.0194927416741848
9,0.01654752530157566
10,0.014227651990950108
11,0.01263901311904192
12,0.011587049812078476
13,0.010801549069583416
14,0.010119075886905193
15,0.00933834444731474
16,0.00851946696639061
17,0.0077341459691524506
18,0.00707259401679039
19,0.0064714215695858
20,0.005908068269491196
21,0.005369391292333603
22,0.004849188961088657
23,0.004294926766306162
24,0.003720548003911972
25,0.0031894990243017673
26,0.0027273267041891813
27,0.002343649510294199
28,0.0019922801293432713
29,0.0016810559900477529
30,0.0014077970990911126
31,0.0011614805553108454
32,0.0009148978861048818
33,0.0006827960023656487
34,0.0004756986163556576
35,0.00029846525285393
36,0.00014119979459792376
37,2.03610397875309e-07
38,-0.00012585881631821394
39,-0.0002335051540285349
40,-0.0003247935092076659
41,-0.0004032588331028819
42,-0.0004720141878351569
43,-0.0005329003324732184
44,-0.0005873193731531501
45,-0.0006366104353219271
46,-0.0006807780591771007
47,-0.000714187859557569
48,-0.0007289088098332286
49,-0.0007453302387148142
50,-0.0007626778678968549
51,-0.0007785639027133584
52,-0.0007895565358921885
53,-0.0007991532329469919
54,-0.0008079757681116462
55,-0.0008181369630619884
56,-0.0008269584504887462
57,-0.0008340528002008796
58,-0.0008398632053285837
59,-0.0008457651128992438
60,-0.0008488029707223177
61,-0.0008482674602419138
62,-0.000848000287078321
63,-0.000849371193908155
64,-0.0008528908947482705
65,-0.000858221435919404
66,-0.0008646906353533268
67,-0.0008719315519556403
68,-0.0008790571009740233
69,-0.0008856988279148936
70,-0.0008914798963814974
71,-0.0008968145120888948
72,-0.0009009874192997813
73,-0.0009044191101565957
74,-0.0009073654655367136
75,-0.0009103169431909919
76,-0.0009135653963312507
77,-0.000917348894290626
78,-0.0009216120233759284
79,-0.0009260809747502208
80,-0.0009310907917097211
81,-0.0009370496263727546
82,-0.0009449756471440196
83,-0.000956868170760572
84,-0.0009718587389215827
85,-0.000988844665698707
86,-0.0010072330478578806
87,-0.0010265189921483397
88,-0.0010454392759129405
89,-0.0010614445200189948
90,-0.0010743787279352546
91,-0.0010804272023960948
92,-0.0010768225183710456
93,-0.001065824064426124
94,-0.0010488397674635053
95,-0.0010268468176946044
96,-0.0009987106313928962
97,-0.000965181621722877
98,-0.0009259631624445319
99,-0.0008800363866612315
100,-0.0008288661483675241
101,-0.0007602352416142821
102,-0.0006697511998936534
103,-0.0005500962724909186
104,-0.00039688253309577703
105,-0.0002108564367517829
106,5.063368007540703e-06
107,0.00024285551626235247
108,0.0004852066049352288
109,0.0006891750963404775
110,0.0008041819091886282
111,0.0008028679294511676
112,0.0006998101016506553
113,0.0005093166837468743
114,0.00025465688668191433
115,1.3045617379248142e-05
116,-0.00020209257490932941
117,-0.00039515295065939426
118,-0.0005690803518518806
119,-0.0007298638811334968
120,-0.0008707100059837103
121,-0.0009859538404271007
122,-0.0010805776109918952
123,-0.0011578550329431891
124,-0.001221005106344819
125,-0.0012723869876936078
126,-0.001313779386691749
127,-0.0013462037313729525
128,-0.0013711482752114534
129,-0.001390431309118867
130,-0.0014049464371055365
131,-0.0014158523408696055
132,-0.0014246741775423288
133,-0.001428132294677198
134,-0.0014272696571424603
135,-0.0014237231807783246
136,-0.0014189829817041755
137,-0.0014134979574009776
138,-0.0014085209695622325
139,-0.0014034847263246775
140,-0.001398777007125318
141,-0.0013936797622591257
142,-0.0013870944967493415
143,-0.001378927263431251
144,-0.0013690044870600104
145,-0.001357709406875074
146,-0.0013469535624608397
147,-0.0013367285719141364
148,-0.001328263315372169
149,-0.0013240923872217536
150,-0.0013235837686806917
151,-0.0013265640009194613
152,-0.0013340155128389597
153,-0.0013448348036035895
154,-0.0013590783346444368
155,-0.0013763358583673835
156,-0.0013962129596620798
157,-0.001418419531546533
158,-0.0014265209902077913
159,-0.0014405924594029784
160,-0.0014600784052163363
161,-0.001480613136664033
162,-0.001496646786108613
163,-0.0015153338899835944
164,-0.001534853014163673
165,-0.0015548209194093943
166,-0.001575832604430616
167,-0.0015953517286106944
168,-0.0016131738666445017
169,-0.0016295082168653607
170,-0.0016450037946924567
171,-0.0016588008729740977
172,-0.0016704847803339362
173,-0.0016803175676614046
174,-0.0016881863120943308
175,-0.001694267033599317
176,-0.0016989476280286908
177,-0.0017022838583216071
178,-0.0017044597771018744
179,-0.0017057693330571055
180,-0.0017063359264284372
181,-0.001706365728750825
182,-0.001705711125396192
183,-0.0017045802669599652
184,-0.0017029097070917487
185,-0.0017007639398798347
186,-0.0016977823106572032
187,-0.0016940573696047068
188,-0.0016895582666620612
189,-0.0016842222539708018
190,-0.0016781754093244672
191,-0.0016716758254915476
192,-0.0016647627344354987
193,-0.0016571319429203868
194,-0.0016489675035700202
195,-0.001640383037738502
196,-0.0016314128879457712
197,-0.0016220546094700694
198,-0.001614604378119111
