step,mesured_q_0,mesured_q_1,mesured_q_2,mesured_q_3,mesured_q_4,mesured_q_5,mesured_q_6,mesured_q_7,mesured_q_8,mesured_q_9,mesured_q_10,mesured_q_11,mesured_q_12,mesured_q_13,mesured_q_14,mesured_q_15
0,0.3276534378528595,-0.5370519161224365,0.035164300352334976,0.9161763787269592,-0.04037592560052872,1.4899325370788574,-0.48231446743011475,0.7307053208351135,0.46102413535118103,-0.32202592492103577,0.048470813781023026,0.4805232286453247,0.366693913936615,1.5075324773788452,0.04576209560036659,0.7308537364006042
1,0.3428666293621063,-0.5090760588645935,0.0037841193843632936,0.9225775003433228,-0.06538312137126923,1.5176447629928589,-0.5089775323867798,0.7308202981948853,0.46641668677330017,-0.3378225564956665,0.0313681922852993,0.5098643898963928,0.3762194812297821,1.477736473083496,0.07365544140338898,0.7309302687644958
2,0.3639030158519745,-0.48164254426956177,-0.02519187144935131,0.9330641627311707,-0.08831802010536194,1.5428249835968018,-0.5340405702590942,0.7308309078216553,0.46730682253837585,-0.3562668263912201,0.014822831377387047,0.5380826592445374,0.38711223006248474,1.4481555223464966,0.1018228754401207,0.7308269143104553
3,0.3875460624694824,-0.4529164433479309,-0.053269583731889725,0.9423723816871643,-0.1118210107088089,1.5627875328063965,-0.5560654401779175,0.7308515310287476,0.4669382572174072,-0.37282779812812805,-0.0024478707928210497,0.5644833445549011,0.3956539034843445,1.4190088510513306,0.13005423545837402,0.7308043241500854
4,0.41201451420783997,-0.4237050712108612,-0.07974446564912796,0.9490377306938171,-0.13531985878944397,1.5788371562957764,-0.5747644305229187,0.7308645248413086,0.4644611179828644,-0.38711118698120117,-0.022352907806634903,0.5877771377563477,0.40226295590400696,1.3908450603485107,0.15825387835502625,0.7307404279708862
5,0.4356308579444885,-0.39434874057769775,-0.1040952205657959,0.9533853530883789,-0.15944819152355194,1.5922482013702393,-0.5890784859657288,0.730880856513977,0.460819810628891,-0.3989623785018921,-0.045054804533720016,0.606764554977417,0.40744978189468384,1.3640961647033691,0.18624480068683624,0.7307010889053345
6,0.4578392803668976,-0.36499401926994324,-0.12549041211605072,0.9558590650558472,-0.18431103229522705,1.603869915008545,-0.5977380275726318,0.7309041023254395,0.45670610666275024,-0.4081149697303772,-0.07033729553222656,0.6190842390060425,0.41168975830078125,1.3398011922836304,0.21397066116333008,0.73070228099823
7,0.47891831398010254,-0.33575254678726196,-0.14445875585079193,0.9577811360359192,-0.2089170664548874,1.613340973854065,-0.6017837524414062,0.7309312224388123,0.45348110795021057,-0.41584527492523193,-0.0967348963022232,0.625690758228302,0.4166299104690552,1.3182998895645142,0.24135445058345795,0.730705976486206
8,0.4970954358577728,-0.3070565164089203,-0.1593356430530548,0.9568628668785095,-0.23184096813201904,1.6180343627929688,-0.5999272465705872,0.7309510707855225,0.45386460423469543,-0.41907888650894165,-0.12322631478309631,0.6249442100524902,0.4229435622692108,1.3015695810317993,0.26854875683784485,0.7308005690574646
9,0.5091544985771179,-0.2793550491333008,-0.16449224948883057,0.9491362571716309,-0.25084513425827026,1.6210787296295166,-0.5906503200531006,0.730948805809021,0.4566100537776947,-0.4125449061393738,-0.14868232607841492,0.6166843175888062,0.42957374453544617,1.2894515991210938,0.2947441637516022,0.7309338450431824
