step,box_rotation_delta_0
0,95.69781494140625
1,0.0
2,0.0
3,0.0
4,1.52587890625e-05
5,-1.52587890625e-05
6,0.0
7,0.0
8,1.52587890625e-05
9,-1.52587890625e-05
10,0.0
11,0.0
12,1.52587890625e-05
13,-1.52587890625e-05
14,0.0
15,0.0
16,1.52587890625e-05
17,-1.52587890625e-05
18,0.0
19,0.0
20,1.52587890625e-05
21,-1.52587890625e-05
22,0.0
23,0.0
24,1.52587890625e-05
25,-1.52587890625e-05
26,0.0
27,0.0
28,1.52587890625e-05
29,-1.52587890625e-05
30,0.0
31,0.0
32,1.52587890625e-05
33,-1.52587890625e-05
34,0.0
35,0.0
36,1.52587890625e-05
37,-1.52587890625e-05
38,0.0
39,0.0
40,1.52587890625e-05
41,-1.52587890625e-05
42,0.0
43,0.0
44,1.52587890625e-05
45,-1.52587890625e-05
46,0.0
47,0.0
48,1.52587890625e-05
49,-1.52587890625e-05
50,0.0
51,0.0
52,1.52587890625e-05
53,-1.52587890625e-05
54,0.0
55,0.0
56,1.52587890625e-05
57,-1.52587890625e-05
58,0.0
59,0.0
60,1.52587890625e-05
61,-1.52587890625e-05
62,0.0
63,0.0
64,1.52587890625e-05
65,-1.52587890625e-05
66,0.0
67,0.0
68,1.52587890625e-05
69,-1.52587890625e-05
70,0.0
71,0.0
72,1.52587890625e-05
73,-1.52587890625e-05
74,0.0
75,0.0
76,1.52587890625e-05
77,-1.52587890625e-05
78,0.0
79,0.0
80,1.52587890625e-05
81,-1.52587890625e-05
82,0.0
83,0.0
84,1.52587890625e-05
85,-1.52587890625e-05
86,0.0
87,0.0
88,1.52587890625e-05
89,-1.52587890625e-05
90,0.0
91,0.0
92,1.52587890625e-05
93,-1.52587890625e-05
94,0.0
95,0.0
96,1.52587890625e-05
97,-1.52587890625e-05
98,0.0
99,0.0
100,1.52587890625e-05
101,-1.52587890625e-05
102,0.0
103,0.0
104,1.52587890625e-05
105,-1.52587890625e-05
106,0.0
107,0.0
108,1.52587890625e-05
109,-1.52587890625e-05
110,0.0
111,0.0
112,1.52587890625e-05
113,-1.52587890625e-05
114,0.0
115,0.0
116,1.52587890625e-05
117,-1.52587890625e-05
118,0.0
119,0.0
120,1.52587890625e-05
121,-1.52587890625e-05
122,0.0
123,0.0
124,1.52587890625e-05
125,-1.52587890625e-05
126,0.0
127,0.0
128,1.52587890625e-05
129,-1.52587890625e-05
130,0.0
131,0.0
132,1.52587890625e-05
133,-1.52587890625e-05
134,0.0
135,0.0
136,1.52587890625e-05
137,-1.52587890625e-05
138,0.0
139,0.0
140,1.52587890625e-05
141,-1.52587890625e-05
142,0.0
143,0.0
144,1.52587890625e-05
145,-1.52587890625e-05
146,0.0
147,0.0
148,1.52587890625e-05
149,-1.52587890625e-05
150,0.0
151,0.0
152,1.52587890625e-05
153,-1.52587890625e-05
154,0.0
155,0.0
156,1.52587890625e-05
157,-1.52587890625e-05
158,0.0
159,0.0
160,1.52587890625e-05
161,-1.52587890625e-05
162,0.0
163,0.0
164,1.52587890625e-05
165,-1.52587890625e-05
166,0.0
167,0.0
168,1.52587890625e-05
169,-1.52587890625e-05
170,0.0
171,0.0
172,1.52587890625e-05
173,-1.52587890625e-05
174,0.0
175,0.0
176,1.52587890625e-05
177,-1.52587890625e-05
178,0.0
179,0.0
180,1.52587890625e-05
181,-1.52587890625e-05
182,0.0
183,0.0
184,1.52587890625e-05
185,-1.52587890625e-05
186,0.0
187,0.0
188,1.52587890625e-05
189,-1.52587890625e-05
190,0.0
191,0.0
192,1.52587890625e-05
193,-1.52587890625e-05
194,0.0
195,0.0
196,1.52587890625e-05
197,-1.52587890625e-05
198,0.0
