step,penalty_forward_rotation_stage1_0
0,-2.0
1,-0.0
2,-0.0
3,-0.0
4,-0.0
5,-0.0
6,-0.0
7,-0.0
8,-0.0
9,-0.0
10,-0.0
11,-0.0
12,-0.0
13,-0.0
14,-0.0
15,-0.0
16,-0.0
17,-0.0
18,-0.0
19,-0.0
20,-0.0
21,-0.0
22,-0.0
23,-0.0
24,-0.0
25,-0.0
26,-0.0
27,-0.0
28,-0.0
29,-0.0
30,-0.0
31,-0.0
32,-0.0
33,-0.0
34,-0.0
35,-0.0
36,-0.0
37,-0.0
38,-0.0
39,-0.0
40,-0.0
41,-0.0
42,-0.0
43,-0.0
44,-0.0
45,-0.0
46,-0.0
47,-0.0
48,-0.0
49,-0.0
50,-0.0
51,-0.0
52,-0.0
53,-0.0
54,-0.0
55,-0.0
56,-0.0
57,-0.0
58,-0.0
59,-0.0
60,-0.0
61,-0.0
62,-0.0
63,-0.0
64,-0.0
65,-0.0
66,-0.0
67,-0.0
68,-2.260561268485617e-05
69,-0.0
70,-0.0
71,-2.260561268485617e-05
72,-0.0
73,-0.0
74,-0.0
75,-2.260561268485617e-05
76,-2.260561268485617e-05
77,-0.0
78,-2.260561268485617e-05
79,-0.0
80,-0.0
81,-2.260561268485617e-05
82,-0.0
83,-0.0
84,-2.260561268485617e-05
85,-2.260561268485617e-05
86,-0.0
87,-0.0
88,-0.0
89,-0.0
90,-2.260561268485617e-05
91,-0.0
92,-0.0
93,-0.0
94,-4.521122536971234e-05
95,-0.0
96,-0.0
97,-0.0
98,-2.260561268485617e-05
99,-0.0
100,-0.0
101,-0.0
102,-0.0
103,-0.0
104,-2.260561268485617e-05
105,-0.0
106,-2.260561268485617e-05
107,-0.0
108,-2.260561268485617e-05
109,-0.0
110,-0.0
111,-4.521122536971234e-05
112,-0.0
113,-0.0
114,-2.260561268485617e-05
115,-0.0
116,-4.521122536971234e-05
117,-0.0
118,-0.0
119,-2.260561268485617e-05
120,-0.0
121,-0.0
122,-2.260561268485617e-05
123,-0.0
124,-0.0
125,-0.0
126,-0.0
127,-2.260561268485617e-05
128,-0.0
129,-0.0
130,-0.0
131,-0.0
132,-4.521122536971234e-05
133,-0.0
134,-0.0
135,-2.260561268485617e-05
136,-0.0
137,-0.0
138,-0.0
139,-0.0
140,-4.521122536971234e-05
141,-0.0
142,-0.0
143,-2.260561268485617e-05
144,-0.0
145,-0.0
146,-2.260561268485617e-05
147,-0.0
148,-0.0
149,-0.0
150,-2.260561268485617e-05
151,-0.0
152,-0.0
153,-0.0
154,-0.0
155,-2.260561268485617e-05
156,-0.0
157,-0.0
158,-2.260561268485617e-05
159,-0.0
160,-2.260561268485617e-05
161,-0.0
162,-0.0
163,-0.0
164,-4.521122536971234e-05
165,-0.0
166,-0.0
167,-2.260561268485617e-05
168,-0.0
169,-2.260561268485617e-05
170,-0.0
171,-0.0
172,-2.260561268485617e-05
173,-2.260561268485617e-05
174,-0.0
175,-0.0
176,-0.0
177,-2.260561268485617e-05
178,-0.0
179,-0.0
180,-0.0
181,-2.260561268485617e-05
182,-0.0
183,-2.260561268485617e-05
184,-0.0
185,-2.260561268485617e-05
186,-0.0
187,-0.0
188,-2.260561268485617e-05
189,-0.0
190,-0.0
191,-4.521122536971234e-05
192,-0.0
193,-0.0
194,-2.260561268485617e-05
195,-0.0
196,-4.521122536971234e-05
197,-0.0
198,-0.0
