step,penalty_forward_rotation_stage1_0
0,-2.0
1,-0.0
2,-0.0
3,-1.1302806342428084e-05
4,-0.0
5,-1.1302806342428084e-05
6,-0.0
7,-0.0
8,-1.1302806342428084e-05
9,-0.0
10,-1.1302806342428084e-05
11,-0.0
12,-0.0
13,-0.0
14,-1.1302806342428084e-05
15,-0.0
16,-0.0
17,-1.1302806342428084e-05
18,-0.0
19,-0.0
20,-0.0
21,-1.1302806342428084e-05
22,-0.0
23,-1.1302806342428084e-05
24,-0.0
25,-1.1302806342428084e-05
26,-0.0
27,-0.0
28,-1.1302806342428084e-05
29,-0.0
30,-0.0
31,-0.0
32,-1.1302806342428084e-05
33,-0.0
34,-1.1302806342428084e-05
35,-0.0
36,-0.0
37,-1.1302806342428084e-05
38,-0.0
39,-1.1302806342428084e-05
40,-0.0
41,-0.0
42,-1.1302806342428084e-05
43,-0.0
44,-1.1302806342428084e-05
45,-0.0
46,-0.0
47,-0.0
48,-1.1302806342428084e-05
49,-0.0
50,-1.1302806342428084e-05
51,-0.0
52,-1.1302806342428084e-05
53,-0.0
54,-0.0
55,-0.0
56,-0.0
57,-1.1302806342428084e-05
58,-0.0
59,-1.1302806342428084e-05
60,-0.0
61,-1.1302806342428084e-05
62,-0.0
63,-1.1302806342428084e-05
64,-0.0
65,-0.0
66,-1.1302806342428084e-05
67,-0.0
68,-1.1302806342428084e-05
69,-0.0
70,-1.1302806342428084e-05
71,-0.0
72,-0.0
73,-1.1302806342428084e-05
74,-0.0
75,-1.1302806342428084e-05
76,-0.0
77,-0.0
78,-1.1302806342428084e-05
79,-0.0
80,-1.1302806342428084e-05
81,-0.0
82,-1.1302806342428084e-05
83,-0.0
84,-1.1302806342428084e-05
85,-0.0
86,-0.0
87,-0.0
88,-0.0
89,-1.1302806342428084e-05
90,-0.0
91,-0.0
92,-0.0
93,-1.1302806342428084e-05
94,-0.0
95,-0.0
96,-1.1302806342428084e-05
97,-0.0
98,-1.1302806342428084e-05
99,-0.0
100,-1.1302806342428084e-05
101,-0.0
102,-1.1302806342428084e-05
103,-0.0
104,-1.1302806342428084e-05
105,-0.0
106,-0.0
107,-1.1302806342428084e-05
108,-0.0
109,-1.1302806342428084e-05
110,-0.0
111,-1.1302806342428084e-05
112,-0.0
113,-0.0
114,-1.1302806342428084e-05
115,-0.0
116,-1.1302806342428084e-05
117,-0.0
118,-1.1302806342428084e-05
119,-0.0
120,-0.0
121,-1.1302806342428084e-05
122,-0.0
123,-1.1302806342428084e-05
124,-0.0
125,-1.1302806342428084e-05
126,-0.0
127,-1.1302806342428084e-05
128,-0.0
129,-0.0
130,-1.1302806342428084e-05
131,-0.0
132,-0.0
133,-0.0
134,-0.0
135,-0.0
136,-0.0
137,-0.0
138,-1.1302806342428084e-05
139,-0.0
140,-0.0
141,-1.1302806342428084e-05
142,-0.0
143,-0.0
144,-0.0
145,-0.0
146,-0.0
147,-1.1302806342428084e-05
148,-0.0
149,-0.0
150,-0.0
151,-1.1302806342428084e-05
152,-0.0
153,-1.1302806342428084e-05
154,-0.0
155,-0.0
156,-1.1302806342428084e-05
157,-0.0
158,-1.1302806342428084e-05
159,-0.0
160,-1.1302806342428084e-05
161,-0.0
162,-1.1302806342428084e-05
163,-0.0
164,-0.0
165,-1.1302806342428084e-05
166,-0.0
167,-1.1302806342428084e-05
168,-0.0
169,-1.1302806342428084e-05
170,-0.0
171,-0.0
172,-0.0
173,-0.0
174,-1.1302806342428084e-05
175,-0.0
176,-0.0
177,-1.1302806342428084e-05
178,-0.0
179,-1.1302806342428084e-05
180,-0.0
181,-1.1302806342428084e-05
182,-0.0
183,-1.1302806342428084e-05
184,-0.0
185,-0.0
186,-0.0
187,-0.0
188,-1.1302806342428084e-05
189,-0.0
190,-1.1302806342428084e-05
191,-0.0
192,-0.0
193,-1.1302806342428084e-05
194,-0.0
195,-1.1302806342428084e-05
196,-0.0
197,-0.0
198,-0.0
