step,obs/agent/xarm7_ball_ee-1/qvel_0,obs/agent/xarm7_ball_ee-1/qvel_1,obs/agent/xarm7_ball_ee-1/qvel_2,obs/agent/xarm7_ball_ee-1/qvel_3,obs/agent/xarm7_ball_ee-1/qvel_4,obs/agent/xarm7_ball_ee-1/qvel_5,obs/agent/xarm7_ball_ee-1/qvel_6,obs/agent/xarm7_ball_ee-1/qvel_7
0,0.24474667012691498,0.5016986131668091,0.16223527491092682,-0.419420450925827,0.407227486371994,-0.21526063978672028,0.28413888812065125,0.421047568321228
1,-0.14138318598270416,0.34790176153182983,-0.011301187798380852,-0.2064269334077835,0.40671947598457336,-0.11541498452425003,0.3154500424861908,0.44617959856987
2,-0.3427196145057678,0.41183891892433167,-0.05963987112045288,-0.4189210832118988,0.41316166520118713,0.09386157244443893,0.2854258418083191,0.701759397983551
3,-0.4650060832500458,0.4004572331905365,-0.04926391690969467,-0.4276908338069916,0.41430872678756714,0.16738799214363098,0.25388652086257935,0.7733374834060669
4,-0.48892173171043396,0.43444588780403137,0.14535899460315704,-0.41536787152290344,0.4125882685184479,0.19028598070144653,0.23495350778102875,0.7686727046966553
5,-0.46974799036979675,0.4509860873222351,0.23220551013946533,-0.30780869722366333,0.4113984704017639,0.17464089393615723,0.247976616024971,0.7075659036636353
6,-0.45120376348495483,0.4533120095729828,0.28446370363235474,-0.2513040006160736,0.4121783971786499,0.19233976304531097,0.2394036203622818,0.665078341960907
7,-0.4284904897212982,0.40999165177345276,0.3540019094944,-0.09175648540258408,0.41289079189300537,0.11058659106492996,0.22517812252044678,0.558584988117218
8,-0.4045848548412323,0.3733634352684021,0.3903712034225464,-0.018241720274090767,0.41532033681869507,0.0402585044503212,0.2285478711128235,0.5169840455055237
9,-0.3823789656162262,0.3084891438484192,0.40988829731941223,0.08638481795787811,0.41556018590927124,-0.1548617035150528,0.2817201614379883,0.409026175737381
10,-0.3799399733543396,0.2236023098230362,0.41297197341918945,0.1776306927204132,0.41599446535110474,-0.27166813611984253,0.25280889868736267,0.34670233726501465
11,-0.38646364212036133,0.20535703003406525,0.40354135632514954,0.1547609269618988,0.4148283898830414,-0.1773599088191986,0.26419728994369507,0.3258022665977478
12,-0.38965821266174316,0.3009728491306305,0.37343642115592957,-0.0547466054558754,0.41810423135757446,0.13456960022449493,0.2917104959487915,0.031729865819215775
13,-0.40445709228515625,0.28430479764938354,0.3078358471393585,-0.13573907315731049,0.41715654730796814,0.300982266664505,0.29115384817123413,0.48182612657546997
14,-0.6476605534553528,0.11253053694963455,0.0653916746377945,-0.019872484728693962,0.28640109300613403,0.13280844688415527,0.2688690423965454,0.05633212998509407
15,-0.7173699140548706,0.06672129034996033,0.1402626931667328,-0.04268015921115875,0.2977256178855896,0.16721707582473755,0.350665420293808,0.1431012898683548
16,-0.6409181952476501,-0.09899701178073883,0.22697746753692627,-0.1045307070016861,0.2929304242134094,0.14744804799556732,0.36594298481941223,0.37228724360466003
17,-0.5978490114212036,-0.15749791264533997,0.22162531316280365,-0.17076393961906433,0.3183058500289917,0.1042439267039299,0.3641112148761749,0.33751994371414185
18,-0.4249816834926605,-0.13606081902980804,0.2617095112800598,-0.3374413847923279,0.4383763372898102,0.24570834636688232,0.32928019762039185,0.3478491008281708
19,-0.4007941782474518,-0.04186167195439339,0.003496613120660186,-0.40745580196380615,0.3891477882862091,0.19938963651657104,0.3636108934879303,0.46831104159355164
20,-0.48128676414489746,-0.06300818920135498,-0.2215619534254074,-0.4241596758365631,0.37597155570983887,0.12285997718572617,0.38228264451026917,0.6287522315979004
21,-0.45197468996047974,-0.21291740238666534,-0.24682360887527466,-0.38974520564079285,0.3614979684352875,-0.0240846648812294,0.39656275510787964,0.5858290195465088
22,-0.28839007019996643,-0.3346763253211975,-0.1551254540681839,-0.3677462935447693,0.3364446759223938,-0.2653566896915436,0.4099922478199005,0.4153803586959839
23,-0.232177734375,-0.2669241428375244,-0.1475515514612198,-0.4262421131134033,0.3668569326400757,-0.22876782715320587,0.40481194853782654,0.404930055141449
24,-0.0941372737288475,-0.4510211944580078,-0.11589282751083374,-0.20882178843021393,0.19565019011497498,0.042602211236953735,0.632965087890625,0.5627061724662781
25,-0.0035581188276410103,-0.4498145282268524,-0.07414433360099792,-0.24746939539909363,0.22875535488128662,-0.06722322106361389,0.522677481174469,0.26630687713623047
26,0.11886759847402573,-0.5872816443443298,0.14581523835659027,-0.19204998016357422,0.09846420586109161,-0.12613704800605774,0.3315236568450928,0.4627600312232971
27,0.12769563496112823,-0.5971269011497498,0.22917868196964264,-0.1740398406982422,0.126535564661026,-0.0648500993847847,-0.014521759003400803,0.18753165006637573
28,0.17359793186187744,-0.5958733558654785,0.22984060645103455,-0.15360745787620544,0.05014331638813019,-0.084633469581604,0.009808994829654694,0.5051628947257996
29,0.23092658817768097,-0.5848069787025452,0.20791710913181305,-0.1318720579147339,0.05396534502506256,-0.07096187025308609,-0.08977040648460388,0.39605244994163513
30,0.31464970111846924,-0.5607399940490723,0.18155305087566376,-0.1016998440027237,0.08584823459386826,-0.062018781900405884,-0.24376080930233002,0.055490512400865555
31,0.3823932409286499,-0.5251196026802063,0.15644969046115875,-0.07416101545095444,0.136039137840271,-0.050564855337142944,-0.4135729968547821,-0.2431754320859909
32,0.41573309898376465,-0.4981999695301056,0.14960741996765137,-0.05458725243806839,0.16816562414169312,-0.03727145493030548,-0.5027779340744019,-0.2790834605693817
33,0.4180903732776642,-0.4835236966609955,0.13350559771060944,-0.0531727597117424,0.18855541944503784,-0.02529643476009369,-0.48323196172714233,-0.2717500329017639
34,0.40263134241104126,-0.47091028094291687,0.10188928246498108,-0.06423410028219223,0.21099458634853363,-0.011769996955990791,-0.4082165062427521,-0.24577908217906952
35,0.38317033648490906,-0.45370566844940186,-0.005756516940891743,-0.10552939772605896,0.2627229690551758,0.004545571282505989,-0.28187084197998047,-0.1843881458044052
36,0.36537086963653564,-0.41925930976867676,-0.18379665911197662,-0.16547752916812897,0.2024202048778534,0.02482270449399948,-0.03718192130327225,-0.057954199612140656
37,0.31010451912879944,-0.4033355712890625,-0.3374570310115814,-0.2378063201904297,0.3105180859565735,0.033330176025629044,0.12007090449333191,-0.7221879959106445
38,0.27543196082115173,-0.4109271466732025,-0.366474449634552,-0.2621147632598877,0.2691986560821533,0.030327990651130676,0.20987804234027863,-0.4607081115245819
39,0.2607506513595581,-0.3817996680736542,-0.4140470623970032,-0.27075615525245667,0.2747672200202942,0.051926031708717346,0.1336970329284668,-0.5219423174858093
40,0.15760096907615662,-0.3730250298976898,-0.455112487077713,-0.30571848154067993,0.2959633469581604,0.0645119696855545,0.11750663816928864,-0.4776243269443512
41,0.24087928235530853,-0.39179727435112,-0.34079673886299133,-0.2519790828227997,0.17869235575199127,0.04505959153175354,0.15751370787620544,-0.2091701477766037
42,0.33790674805641174,-0.4333745837211609,0.08073458820581436,-0.08917436748743057,0.19690929353237152,0.03251558169722557,0.19082942605018616,-0.14480555057525635
43,0.36007681488990784,-0.2111762911081314,0.17372700572013855,0.04476521164178848,0.04782337695360184,-0.05628902465105057,0.26838672161102295,-0.24090884625911713
44,0.3722090423107147,-0.05219683423638344,0.1588408350944519,0.10156560689210892,-0.07132454216480255,-0.09675032645463943,0.3255918025970459,-0.33148229122161865
45,0.3399514853954315,0.04060785844922066,0.01507955975830555,0.0725364238023758,-0.15259169042110443,-0.17489475011825562,0.39821556210517883,-0.08021088689565659
