step,obs/agent/xarm7_ball_ee-1/qvel_0,obs/agent/xarm7_ball_ee-1/qvel_1,obs/agent/xarm7_ball_ee-1/qvel_2,obs/agent/xarm7_ball_ee-1/qvel_3,obs/agent/xarm7_ball_ee-1/qvel_4,obs/agent/xarm7_ball_ee-1/qvel_5,obs/agent/xarm7_ball_ee-1/qvel_6,obs/agent/xarm7_ball_ee-1/qvel_7
0,0.4988008439540863,0.45819923281669617,0.44779500365257263,-0.4411471486091614,0.35497426986694336,-0.37570494413375854,0.3381313979625702,-0.026223910972476006
1,0.4333149194717407,0.34372398257255554,0.22480672597885132,-0.4334199130535126,0.28238916397094727,-0.3362942039966583,0.2711050808429718,-0.0019340196158736944
2,0.4441951513290405,0.3074120581150055,0.16844579577445984,-0.4484919607639313,0.2663854956626892,-0.2918647229671478,0.21824578940868378,0.004348416812717915
3,0.43302682042121887,0.28816962242126465,0.05725967139005661,-0.4472953677177429,0.28784555196762085,-0.24637390673160553,0.23210668563842773,0.0035510268062353134
4,0.42531469464302063,0.24022793769836426,0.0009793336503207684,-0.4183063209056854,0.31579941511154175,-0.28490960597991943,0.26680105924606323,0.12472200393676758
5,0.42016300559043884,0.11049262434244156,0.03872331976890564,-0.23482395708560944,0.3324144780635834,-0.35371705889701843,0.31936606764793396,-0.007006034255027771
6,0.3598945438861847,-0.04159159958362579,-0.09287320822477341,0.213341623544693,0.23352110385894775,-0.3790539801120758,0.3418063223361969,0.25735315680503845
7,0.25853145122528076,-0.0485871285200119,-0.30076101422309875,0.3645173907279968,0.004340424668043852,-0.3502924144268036,0.3522894084453583,0.27548661828041077
8,0.2139866203069687,0.016592329367995262,-0.36289605498313904,0.37158462405204773,-0.036413419991731644,-0.3456694483757019,0.36874696612358093,0.2878066301345825
9,0.16266869008541107,0.08223308622837067,-0.39239227771759033,0.3153781592845917,-0.07722797244787216,-0.29842543601989746,0.36930784583091736,0.2437143176794052
10,0.11538040637969971,0.13379676640033722,-0.40674418210983276,0.2970176041126251,-0.11278034001588821,-0.26811134815216064,0.36303436756134033,0.21831588447093964
11,0.011927317827939987,0.10599776357412338,-0.4276694059371948,0.3585240840911865,-0.17512987554073334,-0.26856404542922974,0.3518441915512085,0.2206249237060547
12,-0.14635705947875977,0.09752009809017181,-0.45388853549957275,0.3895471394062042,-0.19493111968040466,-0.27365079522132874,0.3563411831855774,0.014643439091742039
13,-0.262704074382782,0.0727943629026413,-0.46458467841148376,0.42694053053855896,-0.22685116529464722,-0.2917866110801697,0.3620724081993103,0.26226484775543213
