step,next_obs_0,next_obs_1,next_obs_2,next_obs_3,next_obs_4,next_obs_5,next_obs_6,next_obs_7,next_obs_8,next_obs_9,next_obs_10,next_obs_11,next_obs_12,next_obs_13,next_obs_14,next_obs_15,next_obs_16,next_obs_17,next_obs_18,next_obs_19,next_obs_20,next_obs_21,next_obs_22,next_obs_23,next_obs_24,next_obs_25,next_obs_26,next_obs_27,next_obs_28,next_obs_29,next_obs_30,next_obs_31,next_obs_32,next_obs_33,next_obs_34,next_obs_35,next_obs_36,next_obs_37,next_obs_38,next_obs_39,next_obs_40,next_obs_41,next_obs_42,next_obs_43,next_obs_44,next_obs_45,next_obs_46,next_obs_47,next_obs_48,next_obs_49,next_obs_50,next_obs_51,next_obs_52,next_obs_53,next_obs_54,next_obs_55,next_obs_56,next_obs_57,next_obs_58,next_obs_59,next_obs_60,next_obs_61,next_obs_62,next_obs_63,next_obs_64
0,0.2638150751590729,-0.9962660670280457,0.05981330946087837,0.7578227519989014,0.17518818378448486,1.314144492149353,0.037450291216373444,0.7310445308685303,-0.46006372570991516,0.522825300693512,-0.5123911499977112,-0.041995592415332794,-0.2769384980201721,-0.41823410987854004,-0.35885360836982727,0.2230168581008911,0.056872665882110596,-0.8756020665168762,0.29288163781166077,0.4117162525653839,0.14410285651683807,1.1793992519378662,-0.44045355916023254,0.7306782603263855,-0.5006935000419617,0.5348840951919556,-0.45741820335388184,-0.4947480261325836,0.01608266681432724,-0.3974663019180298,0.1986304074525833,0.4226328730583191,0.29943060874938965,0.48485860228538513,0.30574148893356323,0.28705596923828125,-0.9479911923408508,-0.13751953840255737,0.3679272532463074,0.24166345596313477,-0.8979021906852722,0.26189589500427246,-0.2535589635372162,0.10221892595291138,0.597903311252594,-0.7929612398147583,0.11715023219585419,0.10840265452861786,-0.06481754779815674,-0.9919917583465576,0.3424355983734131,-0.015484653413295746,-0.031000100076198578,-0.02549457550048828,0.9996749758720398,1.6711237549316138e-06,-0.9996749758720398,-0.02549457550048828,5.51987909602758e-07,0.23143872618675232,-0.1268506646156311,-0.03100021928548813,0.45343244075775146,0.09588135778903961,-0.030999980866909027
1,0.2466215342283249,-0.9661804437637329,0.03072521649301052,0.7492491006851196,0.1560364067554474,1.2849421501159668,0.014820266515016556,0.7310233116149902,-0.25912660360336304,0.49668288230895996,-0.4404175877571106,-0.18044161796569824,-0.2765892744064331,-0.40206554532051086,-0.3171272575855255,0.05621570348739624,0.03305453062057495,-0.8450238704681396,0.2736450731754303,0.38402560353279114,0.16314975917339325,1.1502801179885864,-0.4223162531852722,0.730591893196106,-0.33988842368125916,0.4796075224876404,-0.26821190118789673,-0.4446426033973694,0.2606372535228729,-0.40061184763908386,0.2514607906341553,0.5265392065048218,0.3149707317352295,0.4692554771900177,0.2982863187789917,0.26722413301467896,-0.9541456699371338,-0.13489778339862823,0.3680436909198761,0.2304326295852661,-0.9008022546768188,0.25830721855163574,-0.25790640711784363,0.08546575903892517,0.548499345779419,-0.8329006433486938,0.07365430146455765,0.07433608919382095,-0.03916501998901367,-0.9964638352394104,0.3424355983734131,-0.015484651550650597,-0.031000100076198578,-0.025494813919067383,0.9996749758720398,1.2734315077977953e-06,-0.9996749758720398,-0.025494813919067383,4.730069917968649e-07,0.2314387559890747,-0.1268506944179535,-0.031000185757875443,0.45343244075775146,0.0958813801407814,-0.031000014394521713
2,0.233735129237175,-0.9362297058105469,0.0030015103984624147,0.7335824966430664,0.1331833153963089,1.2560189962387085,-0.00415341230109334,0.7310442328453064,-0.21100732684135437,0.5067142248153687,-0.43232467770576477,-0.29140257835388184,-0.33131569623947144,-0.39646196365356445,-0.26577523350715637,0.04398278892040253,0.008858072571456432,-0.8149302005767822,0.2506157457828522,0.35557249188423157,0.18099834024906158,1.1214863061904907,-0.40840086340904236,0.7305721044540405,-0.38034072518348694,0.48636987805366516,-0.3485945165157318,-0.477319598197937,0.23824746906757355,-0.3927628695964813,0.19313859939575195,0.5420962572097778,0.32768893241882324,0.45299282670021057,0.2859058082103729,0.2478620409965515,-0.9602918028831482,-0.12807893753051758,0.3612211048603058,0.21427661180496216,-0.9075268507003784,0.2537100315093994,-0.26279085874557495,0.06905081868171692,0.49500125646591187,-0.8683634996414185,0.030310366302728653,0.04180494323372841,-0.011041998863220215,-0.9990648031234741,0.3424355983734131,-0.01548465620726347,-0.031000100076198578,-0.025494694709777832,0.9996749758720398,1.661784381212783e-06,-0.9996749758720398,-0.025494694709777832,4.916654461339931e-07,0.2314387559890747,-0.1268506795167923,-0.031000223010778427,0.45343244075775146,0.09588136523962021,-0.03099997714161873
3,0.2206387221813202,-0.9062724113464355,-0.023768780753016472,0.7097892761230469,0.10606631636619568,1.2272289991378784,-0.021971317008137703,0.7310707569122314,-0.21754196286201477,0.5162675380706787,-0.4198130965232849,-0.4234713613986969,-0.3908109664916992,-0.3900274634361267,-0.24921409785747528,0.0283510684967041,-0.0130518339574337,-0.7846454977989197,0.22329561412334442,0.32629919052124023,0.1975398063659668,1.0930683612823486,-0.4061383605003357,0.730568528175354,-0.3386816084384918,0.48354214429855347,-0.4038138687610626,-0.48367658257484436,0.2227182537317276,-0.3872191905975342,0.030449125915765762,0.5408284068107605,0.33748936653137207,0.4348090887069702,0.26811689138412476,0.22766703367233276,-0.9667997360229492,-0.11604365706443787,0.3468303382396698,0.19187074899673462,-0.9180928468704224,0.24771428108215332,-0.26740458607673645,0.05281771719455719,0.44659197330474854,-0.8946421146392822,-0.01308375597000122,0.010388612747192383,0.019806742668151855,-0.9997498989105225,0.3424355983734131,-0.015484691597521305,-0.0310000479221344,-0.02549457550048828,0.999674916267395,1.4507440937450156e-06,-0.999674916267395,-0.02549457550048828,5.11670066316583e-07,0.2314387559890747,-0.12685070931911469,-0.031000148504972458,0.45343244075775146,0.09588131308555603,-0.03099994733929634
4,0.21234850585460663,-0.8757705092430115,-0.049815841019153595,0.6833407878875732,0.07729368656873703,1.1990195512771606,-0.036063410341739655,0.7310659885406494,-0.13715854287147522,0.5134740471839905,-0.39807406067848206,-0.4481545686721802,-0.4094691872596741,-0.3831211030483246,-0.19676584005355835,-0.06534169614315033,-0.030986923724412918,-0.75435870885849,0.19430461525917053,0.2969118654727936,0.21130342781543732,1.0657126903533936,-0.4169071912765503,0.7305864691734314,-0.275928258895874,0.48186957836151123,-0.4220356345176697,-0.4848300814628601,0.1845591813325882,-0.37160155177116394,-0.15177536010742188,0.5172160267829895,0.3441636562347412,0.41774627566337585,0.24795523285865784,0.2106892466545105,-0.972152829170227,-0.10261005163192749,0.32680341601371765,0.16897284984588623,-0.9298643469810486,0.24016118049621582,-0.27145057916641235,0.03694537281990051,0.40966665744781494,-0.9106483459472656,-0.0537860170006752,-0.019783945754170418,0.05007767677307129,-0.9985493421554565,0.3424355983734131,-0.015484659001231194,-0.031000100076198578,-0.025494694709777832,0.9996749758720398,1.645786483095435e-06,-0.9996749758720398,-0.025494694709777832,4.2965234570147004e-07,0.2314387559890747,-0.1268506795167923,-0.031000230461359024,0.45343244075775146,0.09588135778903961,-0.03099996969103813
5,0.2125946432352066,-0.845343291759491,-0.07361742854118347,0.6556417942047119,0.04839717596769333,1.1719205379486084,-0.03996271640062332,0.7310584187507629,-0.0004409926477819681,0.5142285823822021,-0.34967145323753357,-0.4688202440738678,-0.4083503484725952,-0.36600130796432495,-0.054386913776397705,0.023175295442342758,-0.048805687576532364,-0.7240810394287109,0.16489890217781067,0.2675870954990387,0.22344955801963806,1.0399506092071533,-0.4328843951225281,0.7305957674980164,-0.27608197927474976,0.4805436134338379,-0.4279313385486603,-0.48475590348243713,0.1599792093038559,-0.3497389853000641,-0.22473983466625214,0.5111538171768188,0.3474853038787842,0.4041861295700073,0.22656384110450745,0.1961483359336853,-0.9764090776443481,-0.09028414636850357,0.3019193708896637,0.14773738384246826,-0.9418165683746338,0.23105692863464355,-0.27533450722694397,0.021457701921463013,0.37508684396743774,-0.9223573803901672,-0.09255699068307877,-0.04931313544511795,0.07985162734985352,-0.9955862760543823,0.3424355983734131,-0.015484691597521305,-0.0310000479221344,-0.02549457550048828,0.999674916267395,1.4277450191002572e-06,-0.999674916267395,-0.02549457550048828,4.5543248461399344e-07,0.2314387559890747,-0.12685070931911469,-0.031000152230262756,0.45343244075775146,0.09588131308555603,-0.030999943614006042
6,0.21838532388210297,-0.8148809671401978,-0.0960591733455658,0.6268875598907471,0.019655263051390648,1.1462326049804688,-0.040445514023303986,0.7310524582862854,0.07754938304424286,0.5140823125839233,-0.33004510402679443,-0.48554378747940063,-0.4059120714664459,-0.3453511893749237,-0.0065977382473647594,0.020714668557047844,-0.06398839503526688,-0.6937964558601379,0.135336771607399,0.2384197860956192,0.2372743934392929,1.013974905014038,-0.45259058475494385,0.7305988073348999,-0.23131297528743744,0.4777710437774658,-0.4259971082210541,-0.47883597016334534,0.1848444640636444,-0.35311800241470337,-0.2767947018146515,0.5048645734786987,0.34792399406433105,0.39313095808029175,0.20420458912849426,0.1869691014289856,-0.9793035387992859,-0.07750562578439713,0.2728656232357025,0.12756359577178955,-0.9535574913024902,0.22105956077575684,-0.27748042345046997,0.006622128188610077,0.34280967712402344,-0.9302076101303101,-0.131130650639534,-0.07645914703607559,0.11149752140045166,-0.990818977355957,0.3424355983734131,-0.015484655275940895,-0.031000100076198578,-0.025494813919067383,0.9996749758720398,1.2985750572624966e-06,-0.9996749758720398,-0.025494813919067383,5.02423461057333e-07,0.2314387559890747,-0.1268506944179535,-0.031000182032585144,0.45343244075775146,0.0958813801407814,-0.03100001811981201
7,0.2292863428592682,-0.7843313813209534,-0.1209060400724411,0.5977334976196289,-0.008699202910065651,1.1199300289154053,-0.04847282916307449,0.7310272455215454,0.14796988666057587,0.511925458908081,-0.3671499192714691,-0.48861852288246155,-0.3999251425266266,-0.35436078906059265,-0.11213044822216034,-0.03464420139789581,-0.07406715303659439,-0.6635733842849731,0.10576315224170685,0.2096671164035797,0.2555058002471924,0.9870455861091614,-0.4747394919395447,0.7305966019630432,-0.15204469859600067,0.4744986891746521,-0.422199010848999,-0.469542920589447,0.24753355979919434,-0.3668816387653351,-0.31088921427726746,0.5061822533607483,0.3466145992279053,0.3838859796524048,0.18170779943466187,0.19055604934692383,-0.9795723557472229,-0.06423729658126831,0.24231964349746704,0.11034798622131348,-0.9639006853103638,0.21073079109191895,-0.2767968773841858,-0.00728181004524231,0.3126577138900757,-0.9344013333320618,-0.17070235311985016,-0.1001795083284378,0.14627158641815186,-0.9841588735580444,0.3424355983734131,-0.015484650619328022,-0.031000100076198578,-0.025494813919067383,0.9996749758720398,1.6595294027865748e-06,-0.9996749758720398,-0.025494813919067383,5.292174591886578e-07,0.2314387559890747,-0.1268506944179535,-0.03100021928548813,0.45343244075775146,0.0958813801407814,-0.030999980866909027
8,0.24470460414886475,-0.7537842988967896,-0.1454809010028839,0.5688725113868713,-0.03659018874168396,1.0929019451141357,-0.0648161917924881,0.7310119867324829,0.22189466655254364,0.5097449421882629,-0.35226085782051086,-0.4823783040046692,-0.3917939364910126,-0.36465123295783997,-0.22861936688423157,-0.01787034422159195,-0.08054850995540619,-0.6337372064590454,0.07636548578739166,0.18261007964611053,0.2778014540672302,0.9616386890411377,-0.4977073669433594,0.7305955290794373,-0.09952787309885025,0.46454349160194397,-0.41864636540412903,-0.43935948610305786,0.30502474308013916,-0.3465242087841034,-0.32218432426452637,0.492583304643631,0.34391283988952637,0.37678810954093933,0.15958738327026367,0.20892858505249023,-0.9766852855682373,-0.0493430495262146,0.21172979474067688,0.0944368839263916,-0.9727548956871033,0.20023226737976074,-0.27383655309677124,-0.019783668220043182,0.2821280360221863,-0.9358999729156494,-0.21093891561031342,-0.12113708257675171,0.18335938453674316,-0.9755538105964661,0.3424355983734131,-0.015484679490327835,-0.0310000479221344,-0.02549457550048828,0.999674916267395,1.4757935105080833e-06,-0.999674916267395,-0.02549457550048828,5.436758101495798e-07,0.2314387559890747,-0.1268506944179535,-0.03100014477968216,0.45343244075775146,0.09588132798671722,-0.03099995106458664
9,0.2651338279247284,-0.723323404788971,-0.16381122171878815,0.5401172637939453,-0.06513909250497818,1.065867304801941,-0.08435675501823425,0.7310309410095215,0.31355172395706177,0.5094930529594421,-0.24376839399337769,-0.4821307361125946,-0.3977694511413574,-0.36430397629737854,-0.27337220311164856,-0.04645562171936035,-0.08202385902404785,-0.6049719452857971,0.04733555391430855,0.15878377854824066,0.30265387892723083,0.9377450942993164,-0.5174157619476318,0.7306180000305176,-0.02446041628718376,0.44183221459388733,-0.4111274778842926,-0.3810202181339264,0.3420378565788269,-0.3276447057723999,-0.276414155960083,0.4638655185699463,0.33963561058044434,0.3726135194301605,0.13792216777801514,0.2422846555709839,-0.9697443246841431,-0.02990052103996277,0.1814468801021576,0.07556533813476562,-0.9804931879043579,0.1907055377960205,-0.2690255045890808,-0.03033129870891571,0.25028085708618164,-0.9355068206787109,-0.24937188625335693,-0.13778208196163177,0.2205318808555603,-0.9655990600585938,0.3424355983734131,-0.015484653413295746,-0.031000100076198578,-0.025494813919067383,0.9996749758720398,1.3446339153233566e-06,-0.9996749758720398,-0.025494813919067383,5.690501438948559e-07,0.2314387559890747,-0.1268506944179535,-0.031000182032585144,0.45343244075775146,0.0958813801407814,-0.03100001811981201
