step,penalty_inverse_rotation_0
0,0.0
1,0.0
2,-4.521122536971234e-05
3,0.0
4,0.0
5,0.0
6,0.0
7,-4.521122536971234e-05
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,-4.521122536971234e-05
15,0.0
16,0.0
17,-4.521122536971234e-05
18,0.0
19,0.0
20,-2.260561268485617e-05
21,0.0
22,-4.521122536971234e-05
23,0.0
24,0.0
25,-4.521122536971234e-05
26,0.0
27,0.0
28,0.0
29,0.0
30,-4.521122536971234e-05
31,0.0
32,0.0
33,-4.521122536971234e-05
34,0.0
35,0.0
36,-6.78168362355791e-05
37,0.0
38,0.0
39,-6.78168362355791e-05
40,0.0
41,0.0
42,-2.260561268485617e-05
43,0.0
44,-4.521122536971234e-05
45,0.0
46,0.0
47,-6.78168362355791e-05
48,0.0
49,0.0
50,-2.260561268485617e-05
51,0.0
52,-6.78168362355791e-05
53,0.0
54,0.0
55,-6.78168362355791e-05
56,0.0
57,0.0
58,-2.260561268485617e-05
59,0.0
60,-6.78168362355791e-05
61,0.0
62,0.0
63,-6.78168362355791e-05
64,0.0
65,0.0
66,-6.78168362355791e-05
67,0.0
68,0.0
69,-4.521122536971234e-05
70,0.0
71,-2.260561268485617e-05
72,0.0
73,0.0
74,-6.78168362355791e-05
75,0.0
76,0.0
77,-6.78168362355791e-05
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,-4.521122536971234e-05
92,0.0
93,0.0
94,-4.521122536971234e-05
95,0.0
96,0.0
97,0.0
98,-4.521122536971234e-05
99,0.0
100,0.0
101,0.0
102,-4.521122536971234e-05
103,0.0
104,0.0
105,-4.521122536971234e-05
106,0.0
107,0.0
108,0.0
109,0.0
110,-4.521122536971234e-05
111,0.0
112,0.0
113,0.0
114,-2.260561268485617e-05
115,0.0
116,0.0
117,0.0
118,-2.260561268485617e-05
119,0.0
120,0.0
121,-4.521122536971234e-05
122,0.0
123,0.0
124,0.0
125,-4.521122536971234e-05
126,0.0
127,0.0
128,0.0
129,-4.521122536971234e-05
130,0.0
131,0.0
132,0.0
133,-4.521122536971234e-05
134,0.0
135,0.0
136,-4.521122536971234e-05
137,0.0
138,0.0
139,0.0
140,-4.521122536971234e-05
141,0.0
142,-4.521122536971234e-05
143,0.0
144,0.0
145,-4.521122536971234e-05
146,0.0
147,0.0
148,0.0
149,-2.260561268485617e-05
150,0.0
151,0.0
152,-4.521122536971234e-05
153,0.0
154,0.0
155,0.0
156,-4.521122536971234e-05
157,0.0
158,0.0
159,0.0
160,-2.260561268485617e-05
161,0.0
162,0.0
163,-4.521122536971234e-05
164,0.0
165,0.0
166,0.0
167,0.0
168,-2.260561268485617e-05
169,0.0
170,0.0
171,-4.521122536971234e-05
172,0.0
173,0.0
174,0.0
175,-4.521122536971234e-05
176,0.0
177,0.0
178,0.0
179,-2.260561268485617e-05
180,0.0
181,0.0
182,-4.521122536971234e-05
183,0.0
184,0.0
185,0.0
186,-4.521122536971234e-05
187,0.0
188,0.0
189,0.0
190,-4.521122536971234e-05
191,0.0
192,0.0
193,0.0
194,-4.521122536971234e-05
195,0.0
196,0.0
197,0.0
198,-2.260561268485617e-05
