step,penalty_forward_rotation_stage1_0
0,-0.0
1,-0.0
2,-2.260561268485617e-05
3,-2.260561268485617e-05
4,-0.0
5,-0.0
6,-0.0
7,-0.0
8,-2.260561268485617e-05
9,-0.0
10,-0.0
11,-0.0
12,-2.260561268485617e-05
13,-2.260561268485617e-05
14,-0.0
15,-0.0
16,-0.0
17,-2.260561268485617e-05
18,-0.0
19,-0.0
20,-0.0
21,-2.260561268485617e-05
22,-2.260561268485617e-05
23,-0.0
24,-0.0
25,-2.260561268485617e-05
26,-0.0
27,-0.0
28,-2.260561268485617e-05
29,-0.0
30,-2.260561268485617e-05
31,-0.0
32,-2.260561268485617e-05
33,-0.0
34,-0.0
35,-0.0
36,-2.260561268485617e-05
37,-2.260561268485617e-05
38,-0.0
39,-0.0
40,-0.0
41,-0.0
42,-0.0
43,-0.0
44,-2.260561268485617e-05
45,-0.0
46,-0.0
47,-0.0
48,-0.0
49,-0.0
50,-0.0
51,-2.260561268485617e-05
52,-0.0
53,-0.0
54,-0.0
55,-0.0
56,-2.260561268485617e-05
57,-2.260561268485617e-05
58,-0.0
59,-0.0
60,-2.260561268485617e-05
61,-0.0
62,-0.0
63,-0.0
64,-0.0
65,-0.0
66,-0.0
67,-0.0
68,-0.0
69,-0.0
70,-0.0
71,-0.0
72,-0.0
73,-0.0
74,-0.0
75,-0.0
76,-2.260561268485617e-05
77,-0.0
78,-0.7883707284927368
79,-1.5455683469772339
80,-2.0
81,-2.0
82,-2.0
83,-1.5060311555862427
84,-0.7262731194496155
85,-0.004769784398376942
86,-4.521122536971234e-05
87,-0.0
88,-2.260561268485617e-05
89,-6.78168362355791e-05
90,-0.0
91,-2.260561268485617e-05
92,-0.0
93,-2.260561268485617e-05
94,-0.0
95,-0.0
96,-2.260561268485617e-05
97,-0.0
98,-0.0
99,-0.0
100,-0.0
101,-0.0
102,-0.0
103,-0.0
104,-2.260561268485617e-05
105,-0.0
106,-0.0
107,-4.521122536971234e-05
108,-0.0
109,-0.0
110,-2.260561268485617e-05
111,-2.260561268485617e-05
112,-0.0
113,-0.0
114,-2.260561268485617e-05
115,-4.521122536971234e-05
116,-0.0
117,-2.260561268485617e-05
118,-0.0
119,-2.260561268485617e-05
120,-0.0
121,-0.0
122,-0.0
123,-4.521122536971234e-05
124,-0.0
125,-0.0
126,-0.0
127,-2.260561268485617e-05
128,-0.0
129,-2.260561268485617e-05
130,-0.0
131,-2.260561268485617e-05
132,-0.0
133,-0.0
134,-2.260561268485617e-05
135,-0.0
136,-6.78168362355791e-05
137,-0.0
138,-0.0
139,-0.0
140,-0.0
141,-2.260561268485617e-05
142,-0.0
143,-4.521122536971234e-05
144,-0.0
145,-0.0
146,-2.260561268485617e-05
147,-0.0
148,-2.260561268485617e-05
149,-4.521122536971234e-05
150,-0.0
151,-2.260561268485617e-05
152,-4.521122536971234e-05
153,-0.0
154,-4.521122536971234e-05
155,-0.0
156,-0.0
157,-2.260561268485617e-05
158,-0.0
159,-2.260561268485617e-05
160,-0.0
161,-0.0
162,-0.0
163,-0.0
164,-0.0
165,-0.0
166,-0.0
167,-0.0
168,-0.0
169,-0.0
170,-6.78168362355791e-05
171,-0.0
172,-0.0
173,-0.0
174,-0.0
175,-2.260561268485617e-05
176,-0.0
177,-2.260561268485617e-05
178,-0.0
179,-2.260561268485617e-05
180,-6.78168362355791e-05
181,-0.0
182,-0.0
183,-2.260561268485617e-05
184,-0.0
185,-0.0
186,-2.260561268485617e-05
187,-2.260561268485617e-05
188,-0.0
189,-2.260561268485617e-05
190,-4.521122536971234e-05
191,-0.0
192,-0.0
193,-2.260561268485617e-05
194,-0.0
195,-0.0
196,-6.78168362355791e-05
197,-2.260561268485617e-05
198,-0.0
