step,box_rotation_step_score_0
0,-2.0
1,-4.521122536971234e-05
2,2.260561268485617e-05
3,2.260561268485617e-05
4,0.0
5,0.0
6,-2.260561268485617e-05
7,0.0
8,2.260561268485617e-05
9,-2.260561268485617e-05
10,0.0
11,-2.260561268485617e-05
12,2.260561268485617e-05
13,2.260561268485617e-05
14,-2.260561268485617e-05
15,0.0
16,0.0
17,2.260561268485617e-05
18,-2.260561268485617e-05
19,0.0
20,-2.260561268485617e-05
21,2.260561268485617e-05
22,2.260561268485617e-05
23,-2.260561268485617e-05
24,0.0
25,2.260561268485617e-05
26,-2.260561268485617e-05
27,0.0
28,2.260561268485617e-05
29,-4.521122536971234e-05
30,2.260561268485617e-05
31,0.0
32,2.260561268485617e-05
33,-2.260561268485617e-05
34,0.0
35,0.0
36,2.260561268485617e-05
37,2.260561268485617e-05
38,-4.521122536971234e-05
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,2.260561268485617e-05
45,-2.260561268485617e-05
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,2.260561268485617e-05
52,-2.260561268485617e-05
53,0.0
54,0.0
55,0.0
56,2.260561268485617e-05
57,2.260561268485617e-05
58,-4.521122536971234e-05
59,-2.260561268485617e-05
60,2.260561268485617e-05
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,2.260561268485617e-05
77,-2.260561268485617e-05
78,0.7883707284927368
79,1.5455683469772339
80,2.0
81,2.0
82,2.0
83,1.5060311555862427
84,0.7262731194496155
85,0.004769784398376942
86,4.521122536971234e-05
87,-6.78168362355791e-05
88,2.260561268485617e-05
89,6.78168362355791e-05
90,-6.78168362355791e-05
91,2.260561268485617e-05
92,-2.260561268485617e-05
93,2.260561268485617e-05
94,-2.260561268485617e-05
95,-2.260561268485617e-05
96,2.260561268485617e-05
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,2.260561268485617e-05
105,-2.260561268485617e-05
106,0.0
107,4.521122536971234e-05
108,-4.521122536971234e-05
109,-2.260561268485617e-05
110,2.260561268485617e-05
111,2.260561268485617e-05
112,0.0
113,-2.260561268485617e-05
114,2.260561268485617e-05
115,4.521122536971234e-05
116,-6.78168362355791e-05
117,2.260561268485617e-05
118,0.0
119,2.260561268485617e-05
120,-4.521122536971234e-05
121,0.0
122,-2.260561268485617e-05
123,4.521122536971234e-05
124,0.0
125,-2.260561268485617e-05
126,0.0
127,2.260561268485617e-05
128,0.0
129,2.260561268485617e-05
130,-2.260561268485617e-05
131,2.260561268485617e-05
132,-2.260561268485617e-05
133,-2.260561268485617e-05
134,2.260561268485617e-05
135,-2.260561268485617e-05
136,6.78168362355791e-05
137,-6.78168362355791e-05
138,0.0
139,0.0
140,0.0
141,2.260561268485617e-05
142,-4.521122536971234e-05
143,4.521122536971234e-05
144,0.0
145,-2.260561268485617e-05
146,2.260561268485617e-05
147,-2.260561268485617e-05
148,2.260561268485617e-05
149,4.521122536971234e-05
150,-6.78168362355791e-05
151,2.260561268485617e-05
152,4.521122536971234e-05
153,-6.78168362355791e-05
154,4.521122536971234e-05
155,-2.260561268485617e-05
156,0.0
157,2.260561268485617e-05
158,-6.78168362355791e-05
159,2.260561268485617e-05
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,-2.260561268485617e-05
170,6.78168362355791e-05
171,-4.521122536971234e-05
172,0.0
173,0.0
174,0.0
175,2.260561268485617e-05
176,0.0
177,2.260561268485617e-05
178,-6.78168362355791e-05
179,2.260561268485617e-05
180,6.78168362355791e-05
181,-4.521122536971234e-05
182,-2.260561268485617e-05
183,2.260561268485617e-05
184,0.0
185,-2.260561268485617e-05
186,2.260561268485617e-05
187,2.260561268485617e-05
188,-6.78168362355791e-05
189,2.260561268485617e-05
190,4.521122536971234e-05
191,-2.260561268485617e-05
192,0.0
193,2.260561268485617e-05
194,-4.521122536971234e-05
195,-2.260561268485617e-05
196,6.78168362355791e-05
197,2.260561268485617e-05
198,-6.78168362355791e-05
