step,actions_0,actions_1,actions_2,actions_3,actions_4,actions_5,actions_6,actions_7,actions_8,actions_9,actions_10,actions_11,actions_12,actions_13,actions_14,actions_15
19,0.7690768241882324,0.44332170486450195,0.2823544144630432,-0.13338935375213623,-1.051792025566101,-0.6196349263191223,0.4379056990146637,0.5732463002204895,0.6122955679893494,1.8604655265808105,0.23839595913887024,-0.8367855548858643,0.17146344482898712,-1.5990592241287231,-0.8848576545715332,-0.22640353441238403
20,0.755282998085022,0.36058592796325684,0.0753885805606842,-0.455039381980896,-0.9720778465270996,-0.3009028434753418,0.5508758425712585,0.5654124617576599,0.552222490310669,1.9001390933990479,0.08850271254777908,-0.8703923225402832,0.1694936603307724,-1.659660816192627,-0.8422017097473145,-0.1393604874610901
21,0.7994503378868103,0.27434876561164856,0.140786275267601,-0.40833762288093567,-0.8584138751029968,-0.41657841205596924,0.5266828536987305,0.5346892476081848,0.5453644394874573,1.8598651885986328,0.10971277207136154,-0.9003924131393433,0.14007329940795898,-1.6211755275726318,-0.8106313347816467,-0.1011543795466423
22,0.7901498675346375,0.182035431265831,0.1457325667142868,-0.43626418709754944,-0.7256942391395569,-0.4408966898918152,0.5110725164413452,0.5229087471961975,0.5146161913871765,1.802498698234558,0.09461017698049545,-0.8715909123420715,0.141462042927742,-1.5969775915145874,-0.7889236211776733,-0.06175888329744339
23,0.7849768400192261,0.12779216468334198,0.1754254400730133,-0.46571654081344604,-0.5869541764259338,-0.46602147817611694,0.4911328852176666,0.5040400624275208,0.4911399185657501,1.7369470596313477,0.07728176563978195,-0.8419523239135742,0.08739836513996124,-1.5508227348327637,-0.7843887209892273,-0.05568487197160721
24,0.7620598077774048,0.05674855783581734,0.18659473955631256,-0.4994942247867584,-0.45216673612594604,-0.4500734806060791,0.4668191075325012,0.4926256537437439,0.47848308086395264,1.6546663045883179,0.06084506958723068,-0.7986271381378174,0.06240414083003998,-1.508953332901001,-0.7722359299659729,-0.03859575837850571
25,0.4539361000061035,0.25262853503227234,0.2240939438343048,-0.2692147493362427,-0.36602258682250977,-0.46109539270401,0.4166167974472046,0.2457132339477539,0.3312023878097534,1.1754939556121826,-0.09436608105897903,-0.9872137308120728,-0.4723094701766968,-1.340410590171814,-1.0320020914077759,-0.05880211666226387
26,0.3168301582336426,-0.07760819792747498,0.2270302027463913,-0.41594555974006653,-0.17270848155021667,-0.3958625793457031,0.5619325637817383,0.2137010544538498,0.390726774930954,0.931244432926178,-0.11832048743963242,-1.3933196067810059,-0.522191047668457,-1.2374300956726074,-0.9923307299613953,0.05641857534646988
27,0.32453495264053345,-0.12676864862442017,0.19135193526744843,-0.5000856518745422,-0.09086444973945618,-0.3729258179664612,0.501554548740387,0.23941409587860107,0.4564315378665924,0.9376765489578247,-0.007425077259540558,-1.3930739164352417,-0.4458284378051758,-1.181579351425171,-0.9576491713523865,0.04644627869129181
28,0.29566478729248047,-0.1210356056690216,0.1980592906475067,-0.47827184200286865,-0.04115532338619232,-0.41307228803634644,0.4621020555496216,0.20870079100131989,0.5055075287818909,0.8812615871429443,0.07974094897508621,-1.4320213794708252,-0.42503809928894043,-1.0817536115646362,-0.9342584013938904,0.032218970358371735
29,0.2408749908208847,-0.17687635123729706,0.19446097314357758,-0.49717003107070923,0.016300030052661896,-0.41747647523880005,0.4739617109298706,0.18835069239139557,0.5091298222541809,0.7789782285690308,0.07616262882947922,-1.5016555786132812,-0.3930072784423828,-0.9856888055801392,-0.9170421361923218,0.044268228113651276
30,0.04367738217115402,-0.14515604078769684,0.22537635266780853,-0.45096656680107117,0.08890160918235779,-0.44087839126586914,0.47554147243499756,0.08994143456220627,0.4213019013404846,0.44748082756996155,-0.08389442414045334,-1.728430986404419,-0.39406460523605347,-0.8330700397491455,-0.8893659710884094,0.03086010366678238
31,0.11016540974378586,-0.2845272719860077,0.19955819845199585,-0.46149739623069763,0.07781748473644257,-0.49147921800613403,0.47514885663986206,0.11893542110919952,0.39075613021850586,0.4824611246585846,-0.08548863977193832,-1.6540186405181885,-0.5012754201889038,-0.7929400205612183,-0.899013102054596,0.08232748508453369
32,0.035871826112270355,-0.3380524516105652,0.18673275411128998,-0.5096407532691956,0.13047386705875397,-0.4984666705131531,0.48717793822288513,0.09539353847503662,0.3496999740600586,0.3780484199523926,-0.1538211703300476,-1.7124593257904053,-0.5212173461914062,-0.73279869556427,-0.9188524484634399,0.10823161154985428
