step,box_rotation_progress_0
0,0.0
1,0.0
2,0.0
3,1.52587890625e-05
4,3.0517578125e-05
5,0.0
6,1.52587890625e-05
7,4.57763671875e-05
8,0.0
9,3.0517578125e-05
10,0.0
11,0.0
12,3.0517578125e-05
13,0.0
14,1.52587890625e-05
15,3.0517578125e-05
16,0.0
17,1.52587890625e-05
18,4.57763671875e-05
19,0.0
20,3.0517578125e-05
21,0.0
22,0.0
23,3.0517578125e-05
24,0.0
25,1.52587890625e-05
26,3.0517578125e-05
27,0.0
28,1.52587890625e-05
29,4.57763671875e-05
30,0.0
31,3.0517578125e-05
32,0.0
33,0.0
34,3.0517578125e-05
35,0.0
36,1.52587890625e-05
37,3.0517578125e-05
38,0.0
39,1.52587890625e-05
40,4.57763671875e-05
41,0.0
42,3.0517578125e-05
43,0.0
44,0.0
45,3.0517578125e-05
46,0.0
47,1.52587890625e-05
48,3.0517578125e-05
49,0.0
50,1.52587890625e-05
51,4.57763671875e-05
52,0.0
53,3.0517578125e-05
54,0.0
55,0.0
56,3.0517578125e-05
57,0.0
58,1.52587890625e-05
59,3.0517578125e-05
60,0.0
61,1.52587890625e-05
62,4.57763671875e-05
63,0.0
64,3.0517578125e-05
65,0.0
66,0.0
67,3.0517578125e-05
68,0.0
69,1.52587890625e-05
70,3.0517578125e-05
71,0.0
72,1.52587890625e-05
73,4.57763671875e-05
74,0.0
75,3.0517578125e-05
76,0.0
77,0.0
78,3.0517578125e-05
79,0.0
80,1.52587890625e-05
81,3.0517578125e-05
82,0.0
83,1.52587890625e-05
84,4.57763671875e-05
85,0.0
86,3.0517578125e-05
87,0.0
88,0.0
89,3.0517578125e-05
90,0.0
91,1.52587890625e-05
92,3.0517578125e-05
93,0.0
94,1.52587890625e-05
95,4.57763671875e-05
96,0.0
97,3.0517578125e-05
98,0.0
99,0.0
100,3.0517578125e-05
101,0.0
102,1.52587890625e-05
103,3.0517578125e-05
104,0.0
105,1.52587890625e-05
106,4.57763671875e-05
107,0.0
108,3.0517578125e-05
109,0.0
110,0.0
111,3.0517578125e-05
112,0.0
113,1.52587890625e-05
114,3.0517578125e-05
115,0.0
116,1.52587890625e-05
117,4.57763671875e-05
118,0.0
119,3.0517578125e-05
120,0.0
121,0.0
122,3.0517578125e-05
123,0.0
124,1.52587890625e-05
125,3.0517578125e-05
126,0.0
127,1.52587890625e-05
128,4.57763671875e-05
129,0.0
130,3.0517578125e-05
131,0.0
132,0.0
133,3.0517578125e-05
134,0.0
135,1.52587890625e-05
136,3.0517578125e-05
137,0.0
138,1.52587890625e-05
139,4.57763671875e-05
140,0.0
141,3.0517578125e-05
142,0.0
143,0.0
144,3.0517578125e-05
145,0.0
146,1.52587890625e-05
147,3.0517578125e-05
148,0.0
149,1.52587890625e-05
150,4.57763671875e-05
151,0.0
152,3.0517578125e-05
153,0.0
154,0.0
155,3.0517578125e-05
156,0.0
157,1.52587890625e-05
158,3.0517578125e-05
159,0.0
160,1.52587890625e-05
161,4.57763671875e-05
162,0.0
163,3.0517578125e-05
164,0.0
165,0.0
166,3.0517578125e-05
167,0.0
168,1.52587890625e-05
169,3.0517578125e-05
170,0.0
171,1.52587890625e-05
172,4.57763671875e-05
173,0.0
174,3.0517578125e-05
175,0.0
176,0.0
177,3.0517578125e-05
178,0.0
179,1.52587890625e-05
180,3.0517578125e-05
181,0.0
182,1.52587890625e-05
183,4.57763671875e-05
184,0.0
185,3.0517578125e-05
186,0.0
187,2.105133056640625
188,3.501983642578125
189,2.7435760498046875
190,2.1483154296875
191,1.94073486328125
192,1.9270172119140625
193,1.9270782470703125
194,1.9270782470703125
195,1.92706298828125
196,1.92706298828125
197,1.9270477294921875
198,1.9270477294921875
