step,pushpoint_left_world_0,pushpoint_left_world_1,pushpoint_left_world_2
0,-0.4321899116039276,-0.03184173256158829,0.05699966102838516
1,-0.4321898818016052,-0.03184182941913605,0.056999605149030685
2,-0.4321899116039276,-0.031841713935136795,0.0569998100399971
3,-0.4321899116039276,-0.03184168040752411,0.0569998137652874
4,-0.4321898818016052,-0.03184172511100769,0.0569998100399971
5,-0.4321898818016052,-0.03184187412261963,0.05699962005019188
6,-0.4321899116039276,-0.03184187412261963,0.05699966475367546
7,-0.4321898818016052,-0.03184187412261963,0.056999675929546356
8,-0.4321899116039276,-0.03184186667203903,0.05699958652257919
9,-0.4321899116039276,-0.03184168040752411,0.05699983611702919
10,-0.4321899116039276,-0.03184174373745918,0.056999824941158295
11,-0.4321898818016052,-0.031841881573200226,0.056999657303094864
12,-0.4321899116039276,-0.03184187412261963,0.05699964240193367
13,-0.4321898818016052,-0.03184189274907112,0.05699959397315979
14,-0.4321898818016052,-0.031841736286878586,0.056999802589416504
15,-0.4321898818016052,-0.0318416953086853,0.05699962377548218
16,-0.4321898818016052,-0.031841814517974854,0.05699959024786949
17,-0.4321899116039276,-0.03184184059500694,0.05699959024786949
18,-0.4321898818016052,-0.03184172511100769,0.056999824941158295
19,-0.4321899116039276,-0.031841784715652466,0.05699962005019188
20,-0.4321898818016052,-0.031841810792684555,0.056999605149030685
21,-0.4321898818016052,-0.03184180334210396,0.056999627500772476
22,-0.4321899116039276,-0.03184184804558754,0.05699960142374039
23,-0.4321898818016052,-0.03184172138571739,0.0569998063147068
24,-0.4321899116039276,-0.03184179961681366,0.05699966475367546
25,-0.4321898818016052,-0.03184185177087784,0.056999579071998596
26,-0.4321898818016052,-0.03184172511100769,0.056999821215867996
27,-0.4321898818016052,-0.03184187412261963,0.05699962005019188
28,-0.4321898818016052,-0.03184186667203903,0.05699964240193367
29,-0.4321899116039276,-0.03184187784790993,0.05699959397315979
30,-0.4321898818016052,-0.03184174373745918,0.056999802589416504
31,-0.4321899116039276,-0.03184179961681366,0.05699962377548218
32,-0.4321898818016052,-0.03184180334210396,0.05699961259961128
33,-0.4321898818016052,-0.03184182196855545,0.05699966102838516
34,-0.4321898818016052,-0.03184184432029724,0.056999579071998596
35,-0.4321898818016052,-0.031841740012168884,0.056999821215867996
36,-0.4321898818016052,-0.0318417027592659,0.056999608874320984
37,-0.4321898818016052,-0.031841814517974854,0.056999605149030685
38,-0.4321899116039276,-0.03184180706739426,0.05699982866644859
39,-0.4321898818016052,-0.031841713935136795,0.05699962005019188
40,-0.4321898818016052,-0.03184182941913605,0.056999579071998596
41,-0.4321898818016052,-0.03184172511100769,0.056999824941158295
42,-0.4321898818016052,-0.03184186667203903,0.056999631226062775
43,-0.4321899116039276,-0.03184187784790993,0.05699959024786949
44,-0.4321898818016052,-0.031841736286878586,0.05699983239173889
45,-0.43218994140625,-0.031841691583395004,0.05699962377548218
46,-0.4321899116039276,-0.03184172138571739,0.056999605149030685
47,-0.4321899116039276,-0.031841736286878586,0.05699958652257919
48,-0.4321898818016052,-0.03184174746274948,0.056999605149030685
49,-0.4321898818016052,-0.03184176981449127,0.056999798864126205
50,-0.4321898818016052,-0.03184184804558754,0.05699966102838516
51,-0.4321898818016052,-0.031841788440942764,0.05699979141354561
52,-0.43218994140625,-0.0318416953086853,0.05699961632490158
53,-0.4321898818016052,-0.03184182569384575,0.056999579071998596
54,-0.43218994140625,-0.03184162825345993,0.05699979141354561
55,-0.4321898818016052,-0.031841740012168884,0.056999821215867996
56,-0.4321898818016052,-0.03184187784790993,0.05699962005019188
57,-0.4321898818016052,-0.03184189274907112,0.056999675929546356
58,-0.4321898818016052,-0.03184189647436142,0.05699959024786949
59,-0.4321898818016052,-0.031841740012168884,0.056999802589416504
60,-0.4321898818016052,-0.0318416953086853,0.056999627500772476
61,-0.4321898818016052,-0.031841814517974854,0.05699959024786949
62,-0.4321898818016052,-0.03184179216623306,0.0569998063147068
63,-0.4321899116039276,-0.03184180706739426,0.05699978768825531
64,-0.4321898818016052,-0.031841717660427094,0.056999608874320984
65,-0.4321899116039276,-0.03184173256158829,0.056999608874320984
66,-0.4321898818016052,-0.03184182196855545,0.05699960142374039
67,-0.4321899116039276,-0.03184160217642784,0.056999750435352325
68,-0.43218994140625,-0.031841620802879333,0.05699975788593292
69,-0.4321898818016052,-0.03184174373745918,0.05699962377548218
70,-0.4321898818016052,-0.03184182196855545,0.05699959024786949
71,-0.4321898818016052,-0.03184172138571739,0.05699982866644859
72,-0.4321898818016052,-0.03184173256158829,0.056999821215867996
73,-0.4321899116039276,-0.03184180706739426,0.05699962005019188
74,-0.4321898818016052,-0.03184180334210396,0.05699961259961128
75,-0.4321899116039276,-0.03184184059500694,0.056999582797288895
76,-0.4321898818016052,-0.03184172511100769,0.056999824941158295
77,-0.4321899116039276,-0.031841669231653214,0.05699961632490158
78,-0.4321899116039276,-0.03184172511100769,0.05699966102838516
79,-0.4321898818016052,-0.031841814517974854,0.056999608874320984
80,-0.4321898818016052,-0.03184172883629799,0.05699976161122322
81,-0.4321898818016052,-0.03184184059500694,0.05699959024786949
82,-0.4321899116039276,-0.03184161335229874,0.05699976533651352
83,-0.4321899116039276,-0.03184160590171814,0.05699978768825531
84,-0.4321899116039276,-0.03184172883629799,0.05699962377548218
85,-0.4321898818016052,-0.03184179216623306,0.056999702006578445
86,-0.4321899116039276,-0.031841836869716644,0.056999582797288895
87,-0.4321899116039276,-0.03184161335229874,0.05699976161122322
88,-0.4321898818016052,-0.03184165060520172,0.05699976533651352
89,-0.4321899116039276,-0.03184174373745918,0.05699960142374039
90,-0.4321898818016052,-0.03184182941913605,0.05699960142374039
91,-0.4321898818016052,-0.031841717660427094,0.0569998063147068
92,-0.4321898818016052,-0.031841859221458435,0.05699961259961128
93,-0.4321898818016052,-0.03184187784790993,0.05699966475367546
94,-0.4321898818016052,-0.03184187784790993,0.05699958652257919
95,-0.4321898818016052,-0.03184173256158829,0.056999824941158295
96,-0.4321899116039276,-0.03184168040752411,0.05699962377548218
97,-0.4321899116039276,-0.03184173256158829,0.056999627500772476
98,-0.4321899116039276,-0.03184173256158829,0.056999608874320984
99,-0.4321899116039276,-0.03184175491333008,0.0569998063147068
100,-0.43218994140625,-0.03184167668223381,0.056999627500772476
101,-0.4321899116039276,-0.03184172511100769,0.05699961259961128
102,-0.4321899116039276,-0.03184175118803978,0.0569998063147068
103,-0.43218994140625,-0.03184168040752411,0.056999627500772476
104,-0.4321899116039276,-0.03184172883629799,0.056999582797288895
105,-0.4321899116039276,-0.03184175863862038,0.0569998100399971
106,-0.43218994140625,-0.03184168040752411,0.05699963495135307
107,-0.4321898818016052,-0.03184182569384575,0.05699959397315979
108,-0.4321899116039276,-0.03184160590171814,0.05699978023767471
109,-0.4321899116039276,-0.03184172511100769,0.05699963495135307
110,-0.4321898818016052,-0.031841836869716644,0.05699960142374039
111,-0.4321899116039276,-0.03184161335229874,0.056999776512384415
112,-0.43218994140625,-0.031841620802879333,0.05699975788593292
113,-0.4321899116039276,-0.03184172511100769,0.056999631226062775
114,-0.4321898818016052,-0.03184178099036217,0.056999679654836655
115,-0.4321898818016052,-0.03184180706739426,0.056999705731868744
116,-0.4321898818016052,-0.03184182196855545,0.056999605149030685
117,-0.4321899116039276,-0.03184172883629799,0.0569998063147068
118,-0.4321898818016052,-0.03184176981449127,0.0569998063147068
119,-0.43218994140625,-0.03184168413281441,0.056999627500772476
120,-0.4321899116039276,-0.031841717660427094,0.056999582797288895
121,-0.4321899116039276,-0.03184175491333008,0.056999802589416504
122,-0.43218994140625,-0.03184168040752411,0.056999631226062775
123,-0.4321899116039276,-0.03184172511100769,0.056999582797288895
124,-0.4321899116039276,-0.03184173256158829,0.056999605149030685
125,-0.4321898818016052,-0.03184187412261963,0.05699958652257919
126,-0.4321899116039276,-0.03184168040752411,0.05699984356760979
127,-0.4321898818016052,-0.031841762363910675,0.05699982866644859
128,-0.43218994140625,-0.031841687858104706,0.05699961259961128
129,-0.4321898818016052,-0.03184181824326515,0.056999579071998596
130,-0.4321899116039276,-0.03184160590171814,0.05699975788593292
131,-0.4321899116039276,-0.031841617077589035,0.05699976161122322
132,-0.4321898818016052,-0.03184173256158829,0.05699963495135307
133,-0.4321898818016052,-0.03184179216623306,0.05699968338012695
134,-0.4321899116039276,-0.03184185177087784,0.05699959397315979
135,-0.4321898818016052,-0.03184172138571739,0.05699983239173889
136,-0.4321898818016052,-0.031841862946748734,0.056999608874320984
137,-0.4321898818016052,-0.031841885298490524,0.05699959397315979
138,-0.4321898818016052,-0.031841736286878586,0.056999802589416504
139,-0.4321899116039276,-0.03184180706739426,0.05699962005019188
140,-0.4321898818016052,-0.03184181824326515,0.05699961259961128
141,-0.4321898818016052,-0.031841814517974854,0.05699959397315979
142,-0.4321899116039276,-0.031841617077589035,0.056999772787094116
143,-0.4321898818016052,-0.03184172138571739,0.056999605149030685
144,-0.4321898818016052,-0.031841833144426346,0.05699960142374039
145,-0.4321898818016052,-0.03184172138571739,0.0569998063147068
146,-0.4321898818016052,-0.03184185549616814,0.05699961259961128
147,-0.4321898818016052,-0.031841881573200226,0.05699969828128815
148,-0.4321898818016052,-0.03184184432029724,0.05699968338012695
149,-0.4321899116039276,-0.03184185177087784,0.056999579071998596
150,-0.4321898818016052,-0.03184172511100769,0.056999824941158295
151,-0.4321899116039276,-0.031841691583395004,0.05699961259961128
152,-0.4321899116039276,-0.031841740012168884,0.056999608874320984
153,-0.4321898818016052,-0.031841833144426346,0.056999605149030685
154,-0.4321899116039276,-0.03184180334210396,0.05699982866644859
155,-0.4321898818016052,-0.0318417102098465,0.05699962005019188
156,-0.4321898818016052,-0.03184182569384575,0.056999579071998596
157,-0.4321899116039276,-0.03184160962700844,0.05699976161122322
158,-0.43218994140625,-0.03184161335229874,0.05699976533651352
159,-0.4321898818016052,-0.03184175491333008,0.056999605149030685
160,-0.4321898818016052,-0.03184182196855545,0.05699960142374039
161,-0.4321898818016052,-0.03184173256158829,0.0569998063147068
162,-0.4321899116039276,-0.03184180334210396,0.05699966475367546
163,-0.4321898818016052,-0.03184185177087784,0.056999579071998596
164,-0.4321898818016052,-0.03184174373745918,0.0569998174905777
165,-0.4321898818016052,-0.03184187784790993,0.05699962377548218
166,-0.4321898818016052,-0.03184187039732933,0.056999582797288895
167,-0.4321898818016052,-0.03184173256158829,0.056999824941158295
168,-0.4321898818016052,-0.031841881573200226,0.05699962377548218
169,-0.4321898818016052,-0.03184186667203903,0.05699958652257919
170,-0.4321898818016052,-0.03184174746274948,0.056999821215867996
171,-0.4321898818016052,-0.03184187039732933,0.056999627500772476
172,-0.4321899116039276,-0.031841881573200226,0.05699959024786949
173,-0.4321899116039276,-0.031841687858104706,0.056999847292900085
174,-0.4321898818016052,-0.03184177726507187,0.056999824941158295
