step,reward_pushpoint_0
0,0.03682932257652283
1,0.1681841015815735
2,0.18706005811691284
3,0.19797199964523315
4,0.2023318111896515
5,0.20358321070671082
6,0.20130038261413574
7,0.2024272382259369
8,0.20756009221076965
9,0.22213783860206604
10,0.24776232242584229
11,0.27687060832977295
12,0.2886815369129181
13,0.29134199023246765
14,0.30981752276420593
15,0.3402923345565796
16,0.36257582902908325
17,0.3757235109806061
18,0.37244904041290283
19,0.35733330249786377
20,0.3445059657096863
21,0.34373536705970764
22,0.3438303768634796
23,0.34232258796691895
24,0.33927762508392334
25,0.3401460647583008
26,0.33897000551223755
27,0.3386304974555969
28,0.33801522850990295
29,0.33783745765686035
30,0.33770447969436646
31,0.3373737931251526
32,0.33685725927352905
33,0.33637747168540955
34,0.3358917236328125
35,0.33549296855926514
36,0.33475708961486816
37,0.3377382755279541
38,0.3405463695526123
39,0.346091091632843
40,0.34617042541503906
41,0.3434865176677704
42,0.3500079810619354
43,0.35490524768829346
44,0.34208065271377563
45,0.3275071084499359
46,0.3127250075340271
47,0.30005162954330444
48,0.2955847978591919
49,0.29074957966804504
50,0.2827024459838867
51,0.2707907557487488
52,0.2583197355270386
53,0.24993151426315308
54,0.24273675680160522
55,0.2308436632156372
56,0.2096702754497528
57,0.1864575743675232
58,0.16261360049247742
59,0.14298376441001892
60,0.1263427734375
61,0.11301562190055847
62,0.1036907434463501
63,0.096006840467453
64,0.08779439330101013
65,0.0803992748260498
66,0.07490789890289307
67,0.07216930389404297
68,0.06981161236763
69,0.06624007225036621
70,0.06205296516418457
71,0.05764833092689514
72,0.053407907485961914
73,0.04829549789428711
74,0.04274746775627136
75,0.037862420082092285
76,0.033792853355407715
77,0.030499368906021118
78,0.02753216028213501
79,0.02465534210205078
80,0.022027283906936646
81,0.0196225643157959
82,0.017345845699310303
83,0.015247195959091187
84,0.013253092765808105
85,0.011518776416778564
86,0.009988844394683838
87,0.008573949337005615
88,0.007290065288543701
89,0.00636705756187439
90,0.005695939064025879
91,0.005244612693786621
92,0.004837632179260254
93,0.0042362213134765625
94,0.003484368324279785
95,0.0026644766330718994
96,0.0019161403179168701
97,0.0013540089130401611
98,0.0009605288505554199
99,0.0006847381591796875
100,0.000491023063659668
101,0.0003535747528076172
102,0.0002568066120147705
103,0.00018936395645141602
104,0.0001437366008758545
105,0.00011429190635681152
106,9.468197822570801e-05
107,8.049607276916504e-05
108,6.896257400512695e-05
109,5.9217214584350586e-05
110,5.120038986206055e-05
111,4.461407661437988e-05
112,3.954768180847168e-05
113,3.597140312194824e-05
114,3.355741500854492e-05
115,3.197789192199707e-05
116,3.108382225036621e-05
117,3.0666589736938477e-05
118,3.039836883544922e-05
119,3.0279159545898438e-05
120,3.001093864440918e-05
121,2.950429916381836e-05
122,2.8461217880249023e-05
123,2.6851892471313477e-05
124,2.5153160095214844e-05
125,2.339482307434082e-05
126,2.142786979675293e-05
127,1.9311904907226562e-05
128,1.722574234008789e-05
129,1.5497207641601562e-05
130,1.3947486877441406e-05
131,1.245737075805664e-05
132,1.099705696105957e-05
133,9.655952453613281e-06
134,8.434057235717773e-06
135,7.450580596923828e-06
136,6.616115570068359e-06
137,5.900859832763672e-06
138,5.304813385009766e-06
139,4.827976226806641e-06
140,4.470348358154297e-06
141,4.1425228118896484e-06
142,3.874301910400391e-06
143,3.635883331298828e-06
144,3.516674041748047e-06
145,3.4570693969726562e-06
146,3.427267074584961e-06
147,3.4570693969726562e-06
148,3.516674041748047e-06
149,3.635883331298828e-06
150,3.7848949432373047e-06
151,3.9637088775634766e-06
152,4.202127456665039e-06
153,4.500150680541992e-06
154,4.827976226806641e-06
155,5.21540641784668e-06
156,5.692243576049805e-06
157,6.258487701416016e-06
158,6.884336471557617e-06
159,7.569789886474609e-06
160,8.374452590942383e-06
161,9.208917617797852e-06
162,1.0073184967041016e-05
163,1.0848045349121094e-05
164,1.1533498764038086e-05
165,1.2159347534179688e-05
166,1.2755393981933594e-05
167,1.33514404296875e-05
168,1.3977289199829102e-05
169,1.4692544937133789e-05
170,1.5467405319213867e-05
171,1.633167266845703e-05
172,1.7255544662475586e-05
173,1.8268823623657227e-05
174,1.9371509552001953e-05
175,2.0563602447509766e-05
176,2.187490463256836e-05
177,2.333521842956543e-05
178,2.4974346160888672e-05
179,2.6732683181762695e-05
180,2.866983413696289e-05
181,3.072619438171387e-05
182,3.2901763916015625e-05
183,3.504753112792969e-05
184,3.740191459655762e-05
185,3.978610038757324e-05
186,4.214048385620117e-05
187,4.4465065002441406e-05
188,4.673004150390625e-05
189,4.8786401748657227e-05
190,5.02467155456543e-05
191,5.048513412475586e-05
192,4.9561262130737305e-05
193,4.756450653076172e-05
194,4.461407661437988e-05
195,4.118680953979492e-05
196,3.865361213684082e-05
197,3.781914710998535e-05
198,3.853440284729004e-05
