step,obs/extra/pushpoint_left_from_bimanual_center_0,obs/extra/pushpoint_left_from_bimanual_center_1,obs/extra/pushpoint_left_from_bimanual_center_2
0,0.4018573760986328,-0.13572582602500916,-0.030999690294265747
1,0.4018573760986328,-0.13572582602500916,-0.03099968656897545
2,0.4018573760986328,-0.13572582602500916,-0.03099968656897545
3,0.4018573462963104,-0.13572581112384796,-0.030999675393104553
4,0.4018573760986328,-0.13572581112384796,-0.03099970892071724
5,0.4018573760986328,-0.13572582602500916,-0.030999701470136642
6,0.4018573760986328,-0.13572582602500916,-0.030999645590782166
7,0.4018573760986328,-0.13572581112384796,-0.030999641865491867
8,0.4018573760986328,-0.13572581112384796,-0.030999690294265747
9,0.4018573760986328,-0.13572581112384796,-0.03099968656897545
10,0.4018573760986328,-0.13572581112384796,-0.03099968656897545
11,0.4018573760986328,-0.13572579622268677,-0.03099968656897545
12,0.4018573760986328,-0.13572579622268677,-0.03099968656897545
13,0.4018573760986328,-0.13572581112384796,-0.03099968284368515
14,0.4018573462963104,-0.13572581112384796,-0.03099970519542694
15,0.4018573462963104,-0.13572581112384796,-0.030999701470136642
16,0.4018573760986328,-0.13572581112384796,-0.030999649316072464
17,0.4018573760986328,-0.13572581112384796,-0.030999697744846344
18,0.4018573760986328,-0.13572581112384796,-0.030999694019556046
19,0.4018573760986328,-0.13572581112384796,-0.030999690294265747
20,0.4018573760986328,-0.13572581112384796,-0.03099968656897545
21,0.4018573760986328,-0.13572581112384796,-0.03099968656897545
22,0.4018573760986328,-0.13572581112384796,-0.03099967911839485
23,0.4018573760986328,-0.13572581112384796,-0.03099970519542694
24,0.4018573462963104,-0.13572582602500916,-0.030999701470136642
25,0.4018573760986328,-0.13572581112384796,-0.030999649316072464
26,0.4018573760986328,-0.13572581112384796,-0.030999645590782166
27,0.4018573760986328,-0.13572581112384796,-0.030999694019556046
28,0.4018573760986328,-0.13572582602500916,-0.030999690294265747
29,0.4018573760986328,-0.13572582602500916,-0.03099968656897545
30,0.4018573760986328,-0.13572582602500916,-0.03099968656897545
31,0.4018573760986328,-0.13572581112384796,-0.03099968284368515
32,0.4018573462963104,-0.13572581112384796,-0.03099970519542694
33,0.4018573462963104,-0.13572581112384796,-0.030999701470136642
34,0.4018573760986328,-0.13572581112384796,-0.030999645590782166
35,0.4018573760986328,-0.13572582602500916,-0.030999649316072464
36,0.4018573760986328,-0.13572582602500916,-0.030999697744846344
37,0.4018573760986328,-0.13572581112384796,-0.030999690294265747
38,0.4018573760986328,-0.13572581112384796,-0.03099968656897545
39,0.4018573760986328,-0.13572582602500916,-0.03099965676665306
40,0.4018573760986328,-0.13572581112384796,-0.03099967911839485
41,0.4018573462963104,-0.13572582602500916,-0.03099970519542694
42,0.4018573462963104,-0.13572582602500916,-0.030999701470136642
43,0.4018573760986328,-0.13572581112384796,-0.030999701470136642
44,0.4018573760986328,-0.13572581112384796,-0.030999645590782166
45,0.4018573760986328,-0.13572581112384796,-0.030999690294265747
46,0.4018573760986328,-0.13572581112384796,-0.030999690294265747
47,0.4018573760986328,-0.13572582602500916,-0.03099968656897545
48,0.4018573760986328,-0.13572581112384796,-0.03099967911839485
49,0.4018573760986328,-0.13572579622268677,-0.03099967911839485
50,0.4018573760986328,-0.13572579622268677,-0.03099970519542694
51,0.4018573462963104,-0.13572582602500916,-0.030999701470136642
52,0.4018573760986328,-0.13572581112384796,-0.030999649316072464
53,0.4018573760986328,-0.13572582602500916,-0.030999645590782166
54,0.4018573760986328,-0.13572581112384796,-0.030999694019556046
55,0.4018573760986328,-0.13572581112384796,-0.03099968656897545
56,0.4018573760986328,-0.13572582602500916,-0.030999690294265747
57,0.4018573760986328,-0.13572582602500916,-0.03099968656897545
58,0.4018573760986328,-0.13572581112384796,-0.03099968284368515
59,0.4018573462963104,-0.13572581112384796,-0.03099970519542694
60,0.4018573462963104,-0.13572581112384796,-0.030999701470136642
61,0.4018573760986328,-0.13572582602500916,-0.030999649316072464
