step,initial_forward_side_center_0,initial_forward_side_center_1,initial_forward_side_center_2
0,-0.34637895226478577,0.07266007363796234,0.05700000002980232
1,-0.34637895226478577,0.07266007363796234,0.05700000002980232
2,-0.34637895226478577,0.07266007363796234,0.05700000002980232
3,-0.34637895226478577,0.07266007363796234,0.05700000002980232
4,-0.34637895226478577,0.07266007363796234,0.05700000002980232
5,-0.34637895226478577,0.07266007363796234,0.05700000002980232
6,-0.34637895226478577,0.07266007363796234,0.05700000002980232
7,-0.34637895226478577,0.07266007363796234,0.05700000002980232
8,-0.34637895226478577,0.07266007363796234,0.05700000002980232
9,-0.34637895226478577,0.07266007363796234,0.05700000002980232
10,-0.34637895226478577,0.07266007363796234,0.05700000002980232
11,-0.34637895226478577,0.07266007363796234,0.05700000002980232
12,-0.34637895226478577,0.07266007363796234,0.05700000002980232
13,-0.34637895226478577,0.07266007363796234,0.05700000002980232
14,-0.34637895226478577,0.07266007363796234,0.05700000002980232
15,-0.34637895226478577,0.07266007363796234,0.05700000002980232
16,-0.34637895226478577,0.07266007363796234,0.05700000002980232
17,-0.34637895226478577,0.07266007363796234,0.05700000002980232
18,-0.34637895226478577,0.07266007363796234,0.05700000002980232
19,-0.34637895226478577,0.07266007363796234,0.05700000002980232
20,-0.34637895226478577,0.07266007363796234,0.05700000002980232
21,-0.34637895226478577,0.07266007363796234,0.05700000002980232
22,-0.34637895226478577,0.07266007363796234,0.05700000002980232
23,-0.34637895226478577,0.07266007363796234,0.05700000002980232
24,-0.34637895226478577,0.07266007363796234,0.05700000002980232
25,-0.34637895226478577,0.07266007363796234,0.05700000002980232
26,-0.34637895226478577,0.07266007363796234,0.05700000002980232
27,-0.34637895226478577,0.07266007363796234,0.05700000002980232
28,-0.34637895226478577,0.07266007363796234,0.05700000002980232
29,-0.34637895226478577,0.07266007363796234,0.05700000002980232
30,-0.34637895226478577,0.07266007363796234,0.05700000002980232
31,-0.34637895226478577,0.07266007363796234,0.05700000002980232
32,-0.34637895226478577,0.07266007363796234,0.05700000002980232
33,-0.34637895226478577,0.07266007363796234,0.05700000002980232
34,-0.34637895226478577,0.07266007363796234,0.05700000002980232
35,-0.34637895226478577,0.07266007363796234,0.05700000002980232
36,-0.34637895226478577,0.07266007363796234,0.05700000002980232
37,-0.34637895226478577,0.07266007363796234,0.05700000002980232
38,-0.34637895226478577,0.07266007363796234,0.05700000002980232
39,-0.34637895226478577,0.07266007363796234,0.05700000002980232
40,-0.34637895226478577,0.07266007363796234,0.05700000002980232
41,-0.34637895226478577,0.07266007363796234,0.05700000002980232
42,-0.34637895226478577,0.07266007363796234,0.05700000002980232
43,-0.34637895226478577,0.07266007363796234,0.05700000002980232
