step,actions_0,actions_1,actions_2,actions_3,actions_4,actions_5,actions_6,actions_7,actions_8,actions_9,actions_10,actions_11,actions_12,actions_13,actions_14,actions_15
0,-0.98845374584198,0.9981486797332764,0.7126091718673706,-0.8904309868812561,-0.9951004981994629,-0.9750683307647705,0.23834021389484406,0.10223348438739777,0.5403875112533569,0.7148832678794861,0.7258217334747314,-0.9039204120635986,0.9835284948348999,-0.7748567461967468,0.821802020072937,-0.1703273057937622
1,-0.9912168979644775,0.9987321496009827,0.6835627555847168,-0.8422226905822754,-0.9967689514160156,-0.9643262624740601,-0.1955355405807495,-0.058107826858758926,0.4362233877182007,0.23895211517810822,0.49604856967926025,-0.701408863067627,0.9509228467941284,-0.5899611711502075,0.8151609897613525,-0.08454957604408264
2,-0.9974939823150635,0.9984833002090454,0.4644297957420349,-0.8113404512405396,-0.9973199963569641,-0.9880067110061646,-0.42426520586013794,-0.2953583002090454,0.5348434448242188,0.037147585302591324,0.2653943598270416,-0.8126429319381714,0.9365328550338745,-0.566542387008667,0.8426392674446106,-0.29551205039024353
3,-0.9990143179893494,0.9979091882705688,0.5578253865242004,-0.846347451210022,-0.9975112676620483,-0.9934825301170349,-0.4797404110431671,-0.4491385221481323,0.41265392303466797,-0.23201990127563477,-0.0808214545249939,-0.849151611328125,0.9158810973167419,-0.526796817779541,0.8266452550888062,-0.49263033270835876
4,-0.99785315990448,0.9958246350288391,0.8268465995788574,-0.8928941488265991,-0.9953435659408569,-0.9835084080696106,-0.04464740678668022,-0.531072199344635,0.6181268692016602,-0.6099246740341187,-0.22051399946212769,-0.8159928917884827,0.8924984931945801,-0.4250485599040985,0.925418496131897,-0.5718004703521729
5,-0.9950213432312012,0.9958304166793823,0.9224390983581543,-0.9477077722549438,-0.992289125919342,-0.9497746825218201,0.5929996967315674,-0.5123005509376526,0.8309930562973022,-0.8059698939323425,0.24894240498542786,-0.6689563989639282,0.8116697072982788,-0.5543858408927917,0.9432490468025208,-0.6376539468765259
6,-0.9811657071113586,0.9974918961524963,0.9698161482810974,-0.9810833930969238,-0.9904621243476868,-0.7088353633880615,0.9561645984649658,-0.47890594601631165,0.9211825728416443,-0.8658958077430725,0.3132477402687073,-0.30409687757492065,0.37048354744911194,-0.8059672117233276,0.864581823348999,-0.5403729677200317
7,-0.9197867512702942,0.9976862072944641,0.9615392684936523,-0.9943019151687622,-0.981587290763855,0.17421960830688477,0.9961179494857788,-0.3047340214252472,0.986750602722168,-0.8491318821907043,0.0041832085698843,-0.3207467794418335,0.2647302746772766,-0.936429500579834,0.7009198665618896,-0.37950605154037476
8,-0.8508445620536804,0.9978939294815063,0.9230564832687378,-0.9971664547920227,-0.9719533920288086,0.3683636486530304,0.9986730813980103,-0.2057410329580307,0.989722728729248,-0.8576638698577881,-0.3707214593887329,-0.011155231855809689,0.0910392552614212,-0.9827587008476257,0.4183501899242401,-0.4123707413673401
9,-0.7898914217948914,0.9977706074714661,0.7316546440124512,-0.9980342388153076,-0.9525126814842224,0.48469847440719604,0.9979256391525269,-0.1535966694355011,0.9369730949401855,-0.8579537868499756,-0.6842061281204224,0.17666596174240112,-0.30398714542388916,-0.9875771403312683,-0.03267073631286621,-0.47673299908638
10,-0.7591825723648071,0.9955412149429321,-0.13064706325531006,-0.9926680326461792,-0.8872432112693787,0.6915262937545776,0.9763339757919312,-0.15280908346176147,0.35692301392555237,-0.7820496559143066,-0.8441291451454163,0.3343949317932129,-0.7744259238243103,-0.9862287640571594,-0.3621653914451599,-0.3530218303203583
11,-0.6158095002174377,0.9945796132087708,-0.6089363098144531,-0.9781546592712402,-0.7229523658752441,0.6278573274612427,0.6639915704727173,-0.08970679342746735,-0.5378109812736511,-0.49929681420326233,-0.8116208910942078,0.14379838109016418,-0.8349950909614563,-0.9793519973754883,-0.3538888096809387,-0.09583625942468643
12,-0.4581184387207031,0.994361937046051,-0.7467129230499268,-0.9577766060829163,-0.58048415184021,0.23907873034477234,-0.08212156593799591,0.04148568585515022,-0.3295327126979828,-0.33603137731552124,-0.5523238778114319,-0.3636973798274994,-0.5667281150817871,-0.9527248740196228,0.24439960718154907,0.17225801944732666
13,0.4037792682647705,0.9842930436134338,-0.24351337552070618,-0.8864644765853882,-0.22292503714561462,0.13310861587524414,-0.03877444192767143,0.06700403243303299,0.38938575983047485,-0.2535789906978607,-0.14514969289302826,-0.5620703101158142,-0.2961248457431793,-0.8813779950141907,0.5561383962631226,0.13358929753303528
14,0.3704882264137268,0.9498745799064636,-0.20332381129264832,-0.6447988748550415,-0.04317256808280945,-0.28194931149482727,0.48374104499816895,0.17131879925727844,0.6128780245780945,-0.026684265583753586,0.02221183106303215,-0.7115737199783325,0.1472960114479065,-0.7999228239059448,0.39243412017822266,0.12854628264904022
15,0.16840435564517975,0.8901548981666565,-0.2940714657306671,-0.304073303937912,0.17433907091617584,-0.542070746421814,-0.12218663841485977,0.08293169736862183,-0.030731773003935814,-0.2029719054698944,-0.09208215773105621,-0.47322624921798706,-0.09303304553031921,-0.49973639845848083,0.36852917075157166,0.07919636368751526
16,-0.3091389536857605,0.8533618450164795,-0.5219186544418335,-0.16251365840435028,0.435140997171402,-0.45113638043403625,-0.43995773792266846,-0.019352881237864494,-0.01004697848111391,-0.04435761645436287,0.034468043595552444,-0.4793825149536133,-0.08728480339050293,-0.5166633129119873,0.10798579454421997,0.23483674228191376
17,-0.2951633930206299,0.6416974663734436,-0.6485639214515686,0.27840888500213623,0.6654831171035767,-0.557545006275177,-0.7825350761413574,-0.09464290738105774,-0.36436179280281067,-0.13499566912651062,0.14088545739650726,-0.07541503757238388,-0.13737039268016815,-0.32964977622032166,-0.05225411802530289,0.20530612766742706
18,-0.35189634561538696,0.4803064465522766,-0.8014451265335083,0.4613204896450043,0.7807557582855225,-0.7949986457824707,-0.7850298881530762,-0.30643582344055176,-0.45439091324806213,0.15450052917003632,0.5330073833465576,-0.31638896465301514,0.08018314093351364,-0.37195512652397156,-0.2818596661090851,0.12662509083747864
19,-0.3669523298740387,0.26884278655052185,-0.8393344283103943,0.608437180519104,0.843382716178894,-0.9263725876808167,-0.8696120381355286,-0.6196885704994202,-0.6650126576423645,-0.07154890149831772,0.8202646970748901,-0.07402560114860535,0.22286687791347504,-0.49180322885513306,-0.3740917146205902,-0.1240660771727562
20,-0.48522451519966125,0.06857090443372726,-0.829474687576294,0.49332067370414734,0.7612382173538208,-0.9692683815956116,-0.8363810777664185,-0.8038508296012878,-0.7573145627975464,0.04478532448410988,0.9295172095298767,-0.4647270739078522,0.10387947410345078,-0.5501092672348022,-0.4466303288936615,-0.34473419189453125
21,-0.3243524432182312,-0.22255949676036835,-0.7816171646118164,0.5353323221206665,0.8489223718643188,-0.9850630760192871,-0.8007413148880005,-0.8929638266563416,-0.7404054403305054,-0.3568136692047119,0.9752081036567688,-0.27723783254623413,0.061169929802417755,-0.7264050841331482,-0.4866114556789398,-0.5650203824043274
