step,penalty_box_min_x_0
0,-0.0
1,-0.0
2,-0.0
3,-0.0
4,-0.0
5,-0.0
6,-0.0
7,-0.0
8,-0.0
9,-0.0
10,-0.0
11,-0.0
12,-0.0
13,-0.0
14,-0.0
15,-0.0
16,-0.0
17,-0.0
18,-0.0
19,-0.0
20,-0.0
21,-0.0
22,-0.0
23,-0.0
24,-0.0
25,-0.0
26,-0.0
27,-0.0
28,-0.0
29,-0.0
30,-0.0
31,-0.0
32,-0.0
33,-0.0
34,-0.0
35,-0.0
36,-0.0
37,-0.0
38,-0.0
39,-0.0
40,-0.0
41,-0.0
42,-0.0
43,-0.0
44,-0.0
45,-0.0
46,-0.0
47,-0.0
48,-0.0
49,-0.0
50,-0.0
51,-0.0
52,-0.0
53,-0.0
54,-0.0
55,-0.0
56,-0.0
57,-0.0
58,-0.0
59,-0.0
60,-0.0
61,-0.0
62,-0.0
63,-0.0
64,-0.0
65,-0.0
66,-0.0
67,-0.0
68,-0.0
69,-0.0
70,-0.0
71,-0.0
72,-0.0
73,-0.0
74,-0.0
75,-0.0
76,-0.0
77,-0.0
78,-0.0
79,-0.0
80,-0.0
81,-0.0
82,-0.0
83,-0.0
84,-0.0
85,-0.0
86,-0.0
87,-0.0
88,-0.0
89,-0.0
90,-0.0
91,-0.0
92,-0.0
93,-0.0
94,-0.0
95,-0.0
96,-0.0
97,-0.0
98,-0.0
99,-0.0
100,-0.0
101,-0.0
102,-0.0
103,-0.0
104,-0.0
105,-0.0
106,-0.0
107,-0.0
108,-0.0
109,-0.0
110,-0.0
111,-0.0
112,-0.0
113,-0.0
114,-0.0
115,-0.0
116,-0.0
117,-0.0
118,-0.0
119,-0.0
120,-0.0
121,-0.0
122,-0.0
123,-0.0
124,-0.0
125,-0.0
126,-0.0
127,-0.0
128,-0.0
129,-0.0
130,-0.0
131,-0.0
132,-0.0
133,-0.010903924703598022
134,-0.02877207286655903
135,-0.038401536643505096
136,-0.040520813316106796
137,-0.04051418974995613
138,-0.04051418974995613
139,-0.040520813316106796
140,-0.06771377474069595
141,-0.09869495034217834
142,-0.11010592430830002
143,-0.10836414247751236
144,-0.09874793142080307
145,-0.09493985027074814
146,-0.13861681520938873
147,-0.20420178771018982
148,-0.21991093456745148
149,-0.21990430355072021
150,-0.21991093456745148
151,-0.21991093456745148
152,-0.21990430355072021
153,-0.21991093456745148
154,-0.21991093456745148
155,-0.21991093456745148
156,-0.21991093456745148
157,-0.21990430355072021
158,-0.21990430355072021
159,-0.21991093456745148
160,-0.21991093456745148
161,-0.21990430355072021
162,-0.21991093456745148
163,-0.21990430355072021
164,-0.21991093456745148
165,-0.21991093456745148
166,-0.21990430355072021
167,-0.21991093456745148
168,-0.22167257964611053
169,-0.22148051857948303
170,-0.22095069289207458
171,-0.22014935314655304
172,-0.21927514672279358
173,-0.21922215819358826
174,-0.21927514672279358
175,-0.2191758006811142
176,-0.2191956788301468
177,-0.2191956788301468
178,-0.21922215819358826
179,-0.21922215819358826
180,-0.21884466707706451
181,-0.2142021358013153
182,-0.21609623730182648
183,-0.21475844085216522
184,-0.21110931038856506
185,-0.20555946230888367
186,-0.19840027391910553
187,-0.1993870586156845
188,-0.19297625124454498
189,-0.18385674059391022
190,-0.18104207515716553
191,-0.1843004673719406
192,-0.1863667517900467
193,-0.18642635643482208
194,-0.18637338280677795
195,-0.18637338280677795
196,-0.18637338280677795
197,-0.18637338280677795
198,-0.18637338280677795
