step,obs/extra/right_tcp_pose_6d_from_bimanual_center_0,obs/extra/right_tcp_pose_6d_from_bimanual_center_1,obs/extra/right_tcp_pose_6d_from_bimanual_center_2,obs/extra/right_tcp_pose_6d_from_bimanual_center_3,obs/extra/right_tcp_pose_6d_from_bimanual_center_4,obs/extra/right_tcp_pose_6d_from_bimanual_center_5,obs/extra/right_tcp_pose_6d_from_bimanual_center_6,obs/extra/right_tcp_pose_6d_from_bimanual_center_7,obs/extra/right_tcp_pose_6d_from_bimanual_center_8
0,0.2951827347278595,-0.19161701202392578,0.08745938539505005,0.942266047000885,-0.302762508392334,0.14307202398777008,-0.004367844667285681,-0.4383286237716675,-0.8988043665885925
1,0.2801456153392792,-0.18897676467895508,0.07283590734004974,0.9362347722053528,-0.33385956287384033,0.10955480486154556,-0.048832014203071594,-0.432389497756958,-0.900363564491272
2,0.26146548986434937,-0.19778871536254883,0.05882014334201813,0.921040415763855,-0.38309091329574585,0.07018537074327469,-0.11378201842308044,-0.43702173233032227,-0.8922252655029297
3,0.2401791512966156,-0.21091794967651367,0.045708879828453064,0.8978217244148254,-0.43946823477745056,0.02799694612622261,-0.18954724073410034,-0.4430609941482544,-0.8762242794036865
4,0.21710196137428284,-0.22260475158691406,0.03440752625465393,0.8707855939865112,-0.49148643016815186,-0.01317124255001545,-0.265143483877182,-0.44686806201934814,-0.8544049859046936
5,0.19457465410232544,-0.22966670989990234,0.025449246168136597,0.8420871496200562,-0.5369426608085632,-0.05081237852573395,-0.33414381742477417,-0.44543349742889404,-0.8306244611740112
6,0.17251592874526978,-0.23377132415771484,0.018967196345329285,0.8122329115867615,-0.5769628882408142,-0.08597353845834732,-0.3981446623802185,-0.4406067132949829,-0.8045785427093506
7,0.1549587845802307,-0.232147216796875,0.01433613896369934,0.7832364439964294,-0.6106952428817749,-0.11658482253551483,-0.4499469995498657,-0.4273722171783447,-0.7841560244560242
8,0.14114239811897278,-0.2261824607849121,0.010831117630004883,0.7553288340568542,-0.6395729184150696,-0.14291563630104065,-0.49114617705345154,-0.40807223320007324,-0.7695795297622681
9,0.1336544156074524,-0.21449661254882812,0.006629183888435364,0.727871298789978,-0.6663404703140259,-0.16184471547603607,-0.5173227787017822,-0.37869179248809814,-0.7674434781074524
10,0.13190782070159912,-0.1984882354736328,0.002790704369544983,0.702434241771698,-0.6891643404960632,-0.1778724193572998,-0.531059205532074,-0.34109044075012207,-0.7756503224372864
11,0.12978342175483704,-0.18337249755859375,0.0010425746440887451,0.6748651266098022,-0.7121126651763916,-0.19352677464485168,-0.5456008911132812,-0.3049226999282837,-0.7806034088134766
12,0.11759302020072937,-0.17596817016601562,0.002080976963043213,0.6403515338897705,-0.737870454788208,-0.21330052614212036,-0.580318033695221,-0.2828575372695923,-0.7636902332305908
13,0.09982883930206299,-0.1735067367553711,0.005376443266868591,0.5997262001037598,-0.7654547095298767,-0.23325416445732117,-0.626194179058075,-0.2674473524093628,-0.7323610782623291
14,0.09063416719436646,-0.17315959930419922,0.007273279130458832,0.5593929290771484,-0.7929233312606812,-0.2415618896484375,-0.6577914357185364,-0.247322678565979,-0.7114364504814148
15,0.08987921476364136,-0.17358922958374023,0.008971378207206726,0.5096462965011597,-0.826950192451477,-0.23751623928546906,-0.678743839263916,-0.21677947044372559,-0.7016505599021912
16,0.08790963888168335,-0.1734609603881836,0.012139268219470978,0.4592483639717102,-0.8581603169441223,-0.22945991158485413,-0.6960320472717285,-0.1871340274810791,-0.6931957006454468
17,0.08497250080108643,-0.17300796508789062,0.015236340463161469,0.41013848781585693,-0.8853837847709656,-0.2188195437192917,-0.709834635257721,-0.15924346446990967,-0.686131477355957
18,0.07762610912322998,-0.1719369888305664,0.019540153443813324,0.361611545085907,-0.9082657098770142,-0.2104530781507492,-0.727730929851532,-0.13387072086334229,-0.6726710200309753
19,0.06306719779968262,-0.17293119430541992,0.023630104959011078,0.30541640520095825,-0.9309561848640442,-0.20010368525981903,-0.7574120163917542,-0.11014842987060547,-0.6435793042182922
20,0.0515628457069397,-0.17457914352416992,0.026506051421165466,0.23340284824371338,-0.9548982977867126,-0.1835547685623169,-0.7845970988273621,-0.07343530654907227,-0.6156415939331055
21,0.04615074396133423,-0.1750197410583496,0.027252279222011566,0.156017005443573,-0.9746147394180298,-0.16057616472244263,-0.7982954978942871,-0.02867567539215088,-0.6015828251838684
22,0.04666697978973389,-0.17341995239257812,0.0239344984292984,0.08769804239273071,-0.987073540687561,-0.13414515554904938,-0.7937963008880615,0.01211094856262207,-0.6080631613731384
23,0.04468941688537598,-0.1711139678955078,0.021123498678207397,0.022856593132019043,-0.9937562942504883,-0.10920670628547668,-0.7905701398849487,0.04889702796936035,-0.6104162931442261
24,0.04006528854370117,-0.16881418228149414,0.019954249262809753,-0.029561519622802734,-0.9961646795272827,-0.0823536217212677,-0.7886226177215576,0.07386678457260132,-0.6104245185852051
25,0.03961610794067383,-0.16790771484375,0.019892677664756775,-0.07519137859344482,-0.9959459900856018,-0.049373358488082886,-0.7800840735435486,0.08959215879440308,-0.6192269325256348
26,0.03884851932525635,-0.1672968864440918,0.019878782331943512,-0.09346508979797363,-0.9951621294021606,-0.03027692437171936,-0.7682080268859863,0.09142744541168213,-0.633638322353363
