step,box_rotation_step_score_0
0,-2.0
1,0.0
2,-2.260561268485617e-05
3,1.1302806342428084e-05
4,1.1302806342428084e-05
5,-2.260561268485617e-05
6,1.1302806342428084e-05
7,2.260561268485617e-05
8,-3.390841811778955e-05
9,2.260561268485617e-05
10,-2.260561268485617e-05
11,0.0
12,2.260561268485617e-05
13,-2.260561268485617e-05
14,1.1302806342428084e-05
15,1.1302806342428084e-05
16,-2.260561268485617e-05
17,1.1302806342428084e-05
18,2.260561268485617e-05
19,-3.390841811778955e-05
20,2.260561268485617e-05
21,-2.260561268485617e-05
22,0.0
23,2.260561268485617e-05
24,-2.260561268485617e-05
25,1.1302806342428084e-05
26,1.1302806342428084e-05
27,-2.260561268485617e-05
28,1.1302806342428084e-05
29,2.260561268485617e-05
30,-3.390841811778955e-05
31,2.260561268485617e-05
32,-2.260561268485617e-05
33,0.0
34,2.260561268485617e-05
35,-2.260561268485617e-05
36,1.1302806342428084e-05
37,1.1302806342428084e-05
38,-2.260561268485617e-05
39,1.1302806342428084e-05
40,2.260561268485617e-05
41,-3.390841811778955e-05
42,2.260561268485617e-05
43,-2.260561268485617e-05
44,0.0
45,2.260561268485617e-05
46,-2.260561268485617e-05
47,1.1302806342428084e-05
48,1.1302806342428084e-05
49,-2.260561268485617e-05
50,1.1302806342428084e-05
51,2.260561268485617e-05
52,-3.390841811778955e-05
53,2.260561268485617e-05
54,-2.260561268485617e-05
55,0.0
56,2.260561268485617e-05
57,-2.260561268485617e-05
58,1.1302806342428084e-05
59,1.1302806342428084e-05
60,-2.260561268485617e-05
61,1.1302806342428084e-05
62,2.260561268485617e-05
63,-3.390841811778955e-05
64,2.260561268485617e-05
65,-2.260561268485617e-05
66,0.0
67,2.260561268485617e-05
68,-2.260561268485617e-05
69,1.1302806342428084e-05
70,1.1302806342428084e-05
71,-2.260561268485617e-05
72,1.1302806342428084e-05
73,2.260561268485617e-05
74,-3.390841811778955e-05
75,2.260561268485617e-05
76,-2.260561268485617e-05
77,0.0
78,2.260561268485617e-05
79,-2.260561268485617e-05
80,1.1302806342428084e-05
81,1.1302806342428084e-05
82,-2.260561268485617e-05
83,1.1302806342428084e-05
84,2.260561268485617e-05
85,-3.390841811778955e-05
86,2.260561268485617e-05
87,-2.260561268485617e-05
88,0.0
89,2.260561268485617e-05
90,-2.260561268485617e-05
91,1.1302806342428084e-05
92,1.1302806342428084e-05
93,-2.260561268485617e-05
94,1.1302806342428084e-05
95,2.260561268485617e-05
96,-3.390841811778955e-05
97,2.260561268485617e-05
98,-2.260561268485617e-05
99,0.0
100,2.260561268485617e-05
101,-2.260561268485617e-05
102,1.1302806342428084e-05
103,1.1302806342428084e-05
104,-2.260561268485617e-05
105,1.1302806342428084e-05
106,2.260561268485617e-05
107,-3.390841811778955e-05
108,2.260561268485617e-05
109,-2.260561268485617e-05
110,0.0
111,2.260561268485617e-05
112,-2.260561268485617e-05
113,1.1302806342428084e-05
114,1.1302806342428084e-05
115,-2.260561268485617e-05
116,1.1302806342428084e-05
117,2.260561268485617e-05
118,-3.390841811778955e-05
119,2.260561268485617e-05
120,-2.260561268485617e-05
121,0.0
122,2.260561268485617e-05
123,-2.260561268485617e-05
124,1.1302806342428084e-05
125,1.1302806342428084e-05
126,-2.260561268485617e-05
127,1.1302806342428084e-05
128,2.260561268485617e-05
129,-3.390841811778955e-05
130,2.260561268485617e-05
131,-2.260561268485617e-05
132,0.0
133,2.260561268485617e-05
134,-2.260561268485617e-05
135,1.1302806342428084e-05
136,1.1302806342428084e-05
137,-2.260561268485617e-05
138,1.1302806342428084e-05
139,2.260561268485617e-05
140,-3.390841811778955e-05
141,2.260561268485617e-05
142,-2.260561268485617e-05
143,0.0
144,2.260561268485617e-05
145,-2.260561268485617e-05
146,1.1302806342428084e-05
147,1.1302806342428084e-05
148,-2.260561268485617e-05
149,1.1302806342428084e-05
150,2.260561268485617e-05
151,-3.390841811778955e-05
152,2.260561268485617e-05
153,-2.260561268485617e-05
154,0.0
155,2.260561268485617e-05
156,-2.260561268485617e-05
157,1.1302806342428084e-05
158,1.1302806342428084e-05
159,-2.260561268485617e-05
160,1.1302806342428084e-05
161,2.260561268485617e-05
162,-3.390841811778955e-05
163,2.260561268485617e-05
164,-2.260561268485617e-05
165,0.0
166,2.260561268485617e-05
167,-2.260561268485617e-05
168,1.1302806342428084e-05
169,1.1302806342428084e-05
170,-2.260561268485617e-05
171,1.1302806342428084e-05
172,2.260561268485617e-05
173,-3.390841811778955e-05
174,2.260561268485617e-05
175,-2.260561268485617e-05
176,0.0
177,2.260561268485617e-05
178,-2.260561268485617e-05
179,1.1302806342428084e-05
180,1.1302806342428084e-05
181,-2.260561268485617e-05
182,1.1302806342428084e-05
183,2.260561268485617e-05
184,-3.390841811778955e-05
185,2.260561268485617e-05
186,-2.260561268485617e-05
187,1.559357762336731
188,1.0347040891647339
189,-0.5617833733558655
190,-0.44093379378318787
191,-0.15376338362693787
192,-0.010161222890019417
193,4.521122536971234e-05
194,0.0
195,-1.1302806342428084e-05
196,0.0
197,-1.1302806342428084e-05
198,0.0
