step,obs/agent/xarm7_ball_ee-0/qpos_0,obs/agent/xarm7_ball_ee-0/qpos_1,obs/agent/xarm7_ball_ee-0/qpos_2,obs/agent/xarm7_ball_ee-0/qpos_3,obs/agent/xarm7_ball_ee-0/qpos_4,obs/agent/xarm7_ball_ee-0/qpos_5,obs/agent/xarm7_ball_ee-0/qpos_6,obs/agent/xarm7_ball_ee-0/qpos_7
0,0.4496211111545563,-0.2399885505437851,0.2969464957714081,1.1096433401107788,0.433610737323761,1.3441497087478638,-0.09913228452205658,0.7312676310539246
1,0.43318620324134827,-0.241117462515831,0.32884204387664795,1.1390115022659302,0.40417635440826416,1.3147199153900146,-0.06947861611843109,0.7313476800918579
2,0.4120970368385315,-0.24175547063350677,0.3575759828090668,1.1690949201583862,0.3742271959781647,1.2848188877105713,-0.03981645405292511,0.7312973141670227
3,0.39473700523376465,-0.24256227910518646,0.3865630030632019,1.198707103729248,0.344255656003952,1.2549498081207275,-0.010142812505364418,0.7312728762626648
4,0.38229045271873474,-0.24601496756076813,0.415510356426239,1.2278121709823608,0.314248263835907,1.2250950336456299,0.019541501998901367,0.7312480211257935
5,0.37793415784835815,-0.2538563013076782,0.44408950209617615,1.256754755973816,0.28417786955833435,1.19520902633667,0.04923519492149353,0.7312118411064148
6,0.37989047169685364,-0.26449936628341675,0.4731631875038147,1.2862590551376343,0.25424015522003174,1.1653025150299072,0.07893654704093933,0.7311791181564331
7,0.3881244361400604,-0.2772638201713562,0.502125084400177,1.3159983158111572,0.22433079779148102,1.1353868246078491,0.10864905267953873,0.7311263680458069
8,0.3978150486946106,-0.2851405441761017,0.5321637988090515,1.3469953536987305,0.1946849822998047,1.1053606271743774,0.1383676379919052,0.7310579419136047
9,0.40114864706993103,-0.2834210693836212,0.5629588961601257,1.3784198760986328,0.16533604264259338,1.0753141641616821,0.1680818647146225,0.7310458421707153
10,0.38946181535720825,-0.2777940630912781,0.5933471322059631,1.4089127779006958,0.1362854391336441,1.0454241037368774,0.19777873158454895,0.7310736775398254
11,0.36801835894584656,-0.2714077830314636,0.6190299391746521,1.438910961151123,0.10739310830831528,1.0155718326568604,0.2274344265460968,0.7310894131660461
12,0.3440062999725342,-0.2651212513446808,0.6358252763748169,1.4684855937957764,0.07885707169771194,0.9857537746429443,0.25689631700515747,0.7311235666275024
13,0.3182978332042694,-0.2629692554473877,0.6441925168037415,1.4968875646591187,0.050808925181627274,0.9560667872428894,0.2856024205684662,0.7311940789222717
14,0.2929477095603943,-0.2649567723274231,0.6451283097267151,1.524612545967102,0.024875029921531677,0.9263821244239807,0.3117581605911255,0.7312116026878357
15,0.2686503231525421,-0.2710760533809662,0.6379072070121765,1.5509026050567627,0.0036071734502911568,0.896747887134552,0.3298504948616028,0.7312319278717041
16,0.2443680316209793,-0.2789369523525238,0.628767728805542,1.5758682489395142,-0.012207606807351112,0.8670510053634644,0.33512720465660095,0.7311915755271912
17,0.2219189554452896,-0.28709614276885986,0.6182644963264465,1.5984761714935303,-0.021664878353476524,0.8373587131500244,0.32768571376800537,0.7311769723892212
18,0.20229794085025787,-0.28709569573402405,0.6058871150016785,1.6219666004180908,-0.035482585430145264,0.807450532913208,0.3119566738605499,0.7312389612197876
19,0.18454685807228088,-0.28159207105636597,0.5952996015548706,1.6461561918258667,-0.04839422553777695,0.7777419090270996,0.28977084159851074,0.7311549186706543
20,0.17767687141895294,-0.27309903502464294,0.5915711522102356,1.6663169860839844,-0.054620206356048584,0.7481881976127625,0.2624628245830536,0.7309339642524719
21,0.17763882875442505,-0.26944470405578613,0.5870363116264343,1.676844596862793,-0.05026321858167648,0.7207132577896118,0.2342236340045929,0.7309743762016296
22,0.1775464415550232,-0.27033576369285583,0.5829241275787354,1.680788516998291,-0.042817581444978714,0.6976679563522339,0.20574721693992615,0.7309808731079102
23,0.17944520711898804,-0.27552348375320435,0.5779094696044922,1.681212067604065,-0.037791766226291656,0.6806868314743042,0.1777144819498062,0.7309974431991577
24,0.1825953871011734,-0.28604403138160706,0.5727536082267761,1.6787339448928833,-0.03746736794710159,0.6738834977149963,0.15067116916179657,0.7310023307800293
25,0.18962010741233826,-0.2991922199726105,0.5680959820747375,1.6707346439361572,-0.040159065276384354,0.6813327670097351,0.12476400285959244,0.7310039401054382
26,0.20058013498783112,-0.31065377593040466,0.5627319812774658,1.6569353342056274,-0.043054621666669846,0.698702871799469,0.10029507428407669,0.7310094237327576
