step,obs/extra/pushpoint_right_from_bimanual_center_0,obs/extra/pushpoint_right_from_bimanual_center_1,obs/extra/pushpoint_right_from_bimanual_center_2
70,0.4693697690963745,0.08438307046890259,-0.031000211834907532
71,0.4693697690963745,0.08438307046890259,-0.031000208109617233
72,0.4693697690963745,0.08438306301832199,-0.031000200659036636
73,0.4693697690963745,0.08438306301832199,-0.031000196933746338
74,0.4693697690963745,0.08438307046890259,-0.031000196933746338
75,0.4693697690963745,0.0843830555677414,-0.031000185757875443
76,0.4693697690963745,0.08438308537006378,-0.031000211834907532
77,0.4693697690963745,0.08438307046890259,-0.031000208109617233
78,0.4693697690963745,0.08438307046890259,-0.031000204384326935
79,0.4693697690963745,0.08438307046890259,-0.031000200659036636
80,0.4693697690963745,0.08438306301832199,-0.031000196933746338
81,0.4693697690963745,0.08438307791948318,-0.03100019320845604
82,0.4693697690963745,0.08438307791948318,-0.03100018948316574
83,0.4693697690963745,0.08438306301832199,-0.031000211834907532
84,0.4693697690963745,0.08438307046890259,-0.031000204384326935
85,0.4693697690963745,0.0843830555677414,-0.031000200659036636
86,0.4693697690963745,0.08438306301832199,-0.031000196933746338
87,0.4693697690963745,0.08438307046890259,-0.03100019320845604
88,0.4693697690963745,0.08438306301832199,-0.03100018948316574
89,0.4693697690963745,0.08438308537006378,-0.03100021556019783
90,0.4693697690963745,0.08438307046890259,-0.031000208109617233
91,0.4693697690963745,0.08438307046890259,-0.031000208109617233
92,0.4693697690963745,0.08438306301832199,-0.031000200659036636
93,0.4693697690963745,0.08438307046890259,-0.031000196933746338
94,0.4693697690963745,0.0843830555677414,-0.03100018948316574
95,0.4693697690963745,0.08438307046890259,-0.03100021556019783
96,0.4693697690963745,0.08438306301832199,-0.031000211834907532
97,0.4693697690963745,0.08438307046890259,-0.031000208109617233
98,0.4693697690963745,0.08438307046890259,-0.031000200659036636
99,0.4693697690963745,0.0843830555677414,-0.031000196933746338
100,0.4693697690963745,0.08438307046890259,-0.03100019320845604
101,0.4693697690963745,0.0843830555677414,-0.03100018948316574
102,0.4693697690963745,0.08438307791948318,-0.031000211834907532
103,0.4693697690963745,0.0843830555677414,-0.031000208109617233
104,0.4693697690963745,0.08438307791948318,-0.031000204384326935
105,0.4693697690963745,0.08438306301832199,-0.031000200659036636
106,0.4693697690963745,0.08438308537006378,-0.031000196933746338
107,0.4693697690963745,0.08438307046890259,-0.03100019320845604
108,0.4693697690963745,0.08438307791948318,-0.03100018948316574
109,0.4693697690963745,0.08438306301832199,-0.031000211834907532
110,0.4693697690963745,0.08438307046890259,-0.031000208109617233
111,0.4693697690963745,0.08438306301832199,-0.031000200659036636
112,0.4693697690963745,0.08438306301832199,-0.031000196933746338
113,0.4693697690963745,0.08438307046890259,-0.031000196933746338
114,0.4693697690963745,0.0843830555677414,-0.03100018948316574
115,0.4693697690963745,0.08438308537006378,-0.03100021556019783
116,0.4693697690963745,0.0843830555677414,-0.031000208109617233
117,0.4693697690963745,0.08438307046890259,-0.031000208109617233
118,0.4693697690963745,0.08438306301832199,-0.031000200659036636
119,0.4693697690963745,0.08438307046890259,-0.031000196933746338
120,0.4693697690963745,0.08438307791948318,-0.03100019320845604
121,0.4693697690963745,0.08438307791948318,-0.03100018948316574
122,0.4693697690963745,0.08438306301832199,-0.031000211834907532
123,0.4693697690963745,0.08438307046890259,-0.031000204384326935
124,0.4693697690963745,0.08438306301832199,-0.031000204384326935
125,0.4693697690963745,0.0843830555677414,-0.031000196933746338
126,0.4693697690963745,0.08438306301832199,-0.03100019320845604
127,0.4693697690963745,0.08438306301832199,-0.03100018948316574
128,0.4693697690963745,0.08438307791948318,-0.031000211834907532
129,0.4693697690963745,0.08438306301832199,-0.031000208109617233
130,0.4693697690963745,0.08438307791948318,-0.031000204384326935
131,0.4693697690963745,0.08438307046890259,-0.031000200659036636
132,0.4693697690963745,0.08438307046890259,-0.031000196933746338
133,0.4693697690963745,0.08438307046890259,-0.03100019320845604
134,0.4693697690963745,0.08438307791948318,-0.03100018948316574
135,0.4693697690963745,0.08438306301832199,-0.031000211834907532
136,0.4693697690963745,0.08438307046890259,-0.031000208109617233
137,0.4693697690963745,0.0843830555677414,-0.031000204384326935
138,0.4693697690963745,0.08438306301832199,-0.031000196933746338
139,0.4693697690963745,0.08438306301832199,-0.03100019320845604
140,0.4693697690963745,0.0843830555677414,-0.03100018948316574
141,0.4693697690963745,0.08438307046890259,-0.03100021556019783
142,0.4693697690963745,0.08438307046890259,-0.031000211834907532
143,0.4693697690963745,0.0843830555677414,-0.031000204384326935
144,0.4693697690963745,0.08438307046890259,-0.031000200659036636
145,0.4693697690963745,0.08438307046890259,-0.031000196933746338
146,0.4693697690963745,0.08438306301832199,-0.03100019320845604
147,0.4693697690963745,0.08438306301832199,-0.031000185757875443
148,0.4693697690963745,0.08438307046890259,-0.031000211834907532
149,0.4693697690963745,0.08438307046890259,-0.031000208109617233
150,0.4693697690963745,0.08438307046890259,-0.031000204384326935
151,0.4693697690963745,0.08438307046890259,-0.031000200659036636
152,0.4693697690963745,0.08438307046890259,-0.031000196933746338
153,0.4693697690963745,0.0843830555677414,-0.03100018948316574
154,0.4693697690963745,0.08438308537006378,-0.03100021556019783
155,0.4693697690963745,0.08438307046890259,-0.031000208109617233
156,0.4693697690963745,0.08438306301832199,-0.031000204384326935
157,0.4693697690963745,0.08438306301832199,-0.031000200659036636
158,0.4693697690963745,0.08438306301832199,-0.03100019320845604
159,0.4693697690963745,0.08438306301832199,-0.03100018948316574
160,0.4693697690963745,0.08438307791948318,-0.031000185757875443
161,0.4693697690963745,0.0843830555677414,-0.031000211834907532
162,0.4693697690963745,0.08438307791948318,-0.031000208109617233
163,0.4693697690963745,0.0843830555677414,-0.031000200659036636
164,0.4693697690963745,0.08438307046890259,-0.031000196933746338
165,0.4693697690963745,0.08438310027122498,-0.03100019320845604
166,0.4693697690963745,0.08438306301832199,-0.03100018948316574
167,0.4693697690963745,0.08438307046890259,-0.03100021556019783
168,0.4693697690963745,0.08438307046890259,-0.031000211834907532
169,0.4693697690963745,0.08438307046890259,-0.031000204384326935
170,0.4693697690963745,0.08438306301832199,-0.031000200659036636
171,0.4693697690963745,0.08438307046890259,-0.031000196933746338
172,0.4693697690963745,0.08438307046890259,-0.03100019320845604
173,0.4693697690963745,0.08438308537006378,-0.03100018948316574
174,0.4693697690963745,0.08438306301832199,-0.031000211834907532
175,0.4693697690963745,0.08438307046890259,-0.031000208109617233
176,0.4693697690963745,0.08438307791948318,-0.031000204384326935
177,0.4693697690963745,0.08438306301832199,-0.031000196933746338
178,0.4693697690963745,0.08438306301832199,-0.03100019320845604
179,0.4693697690963745,0.0843830555677414,-0.03100018948316574
180,0.4693697690963745,0.08438307791948318,-0.031000211834907532
181,0.4693697690963745,0.08438307046890259,-0.031000208109617233
182,0.4693697690963745,0.08438307046890259,-0.031000204384326935
183,0.4693697690963745,0.08438306301832199,-0.031000200659036636
184,0.4693697690963745,0.08438307046890259,-0.03100019320845604
185,0.4693697690963745,0.0843830555677414,-0.03100018948316574
186,0.4693697690963745,0.08438308537006378,-0.03100018948316574
187,0.4693697690963745,0.08438307046890259,-0.031000211834907532
188,0.4693697690963745,0.08438307046890259,-0.031000208109617233
189,0.4693697690963745,0.08438306301832199,-0.031000200659036636
190,0.4693697690963745,0.08438307046890259,-0.031000200659036636
191,0.4693697690963745,0.08438310027122498,-0.03100019320845604
192,0.4693697690963745,0.08438306301832199,-0.03100018948316574
193,0.4693697690963745,0.08438307791948318,-0.03100021556019783
194,0.4693697690963745,0.08438307046890259,-0.031000211834907532
195,0.4693697690963745,0.08438307046890259,-0.031000204384326935
196,0.4693697690963745,0.08438306301832199,-0.031000200659036636
197,0.4693697690963745,0.08438307046890259,-0.03100019320845604
198,0.4693697690963745,0.08438307791948318,-0.03100019320845604
