step,current_pushpoint_by_right_0,current_pushpoint_by_right_1,current_pushpoint_by_right_2
0,-0.21314263343811035,-0.13572582602500916,0.057000309228897095
1,-0.21314263343811035,-0.13572582602500916,0.05700031295418739
2,-0.21314263343811035,-0.13572582602500916,0.05700031295418739
3,-0.21314266324043274,-0.13572581112384796,0.05700032413005829
4,-0.21314263343811035,-0.13572581112384796,0.0570002906024456
5,-0.21314263343811035,-0.13572582602500916,0.0570002980530262
6,-0.21314263343811035,-0.13572582602500916,0.057000353932380676
7,-0.21314263343811035,-0.13572581112384796,0.057000357657670975
8,-0.21314263343811035,-0.13572581112384796,0.057000309228897095
9,-0.21314263343811035,-0.13572581112384796,0.05700031295418739
10,-0.21314261853694916,-0.13572581112384796,0.05700031295418739
11,-0.21314261853694916,-0.13572579622268677,0.05700031295418739
12,-0.21314261853694916,-0.13572579622268677,0.05700031295418739
13,-0.21314263343811035,-0.13572581112384796,0.05700031667947769
14,-0.21314266324043274,-0.13572581112384796,0.0570002943277359
15,-0.21314266324043274,-0.13572581112384796,0.0570002980530262
16,-0.21314263343811035,-0.13572581112384796,0.05700035020709038
17,-0.21314263343811035,-0.13572581112384796,0.0570003017783165
18,-0.21314263343811035,-0.13572581112384796,0.057000305503606796
19,-0.21314263343811035,-0.13572581112384796,0.057000309228897095
20,-0.21314263343811035,-0.13572581112384796,0.05700031295418739
21,-0.21314263343811035,-0.13572581112384796,0.05700031295418739
22,-0.21314263343811035,-0.13572581112384796,0.05700032040476799
23,-0.21314263343811035,-0.13572581112384796,0.0570002943277359
24,-0.21314266324043274,-0.13572582602500916,0.0570002980530262
25,-0.21314263343811035,-0.13572581112384796,0.05700035020709038
26,-0.21314263343811035,-0.13572581112384796,0.057000353932380676
27,-0.21314263343811035,-0.13572581112384796,0.057000305503606796
28,-0.21314263343811035,-0.13572582602500916,0.057000309228897095
29,-0.21314263343811035,-0.13572582602500916,0.05700031295418739
30,-0.21314263343811035,-0.13572582602500916,0.05700031295418739
31,-0.21314263343811035,-0.13572581112384796,0.05700031667947769
32,-0.21314266324043274,-0.13572581112384796,0.0570002943277359
33,-0.21314266324043274,-0.13572581112384796,0.0570002980530262
34,-0.21314263343811035,-0.13572581112384796,0.057000353932380676
35,-0.21314263343811035,-0.13572582602500916,0.05700035020709038
36,-0.21314263343811035,-0.13572582602500916,0.0570003017783165
37,-0.21314263343811035,-0.13572581112384796,0.057000309228897095
38,-0.21314263343811035,-0.13572581112384796,0.05700031295418739
39,-0.21314263343811035,-0.13572582602500916,0.05700034275650978
40,-0.21314263343811035,-0.13572581112384796,0.05700032040476799
41,-0.21314266324043274,-0.13572582602500916,0.0570002943277359
42,-0.21314266324043274,-0.13572582602500916,0.0570002980530262
43,-0.21314263343811035,-0.13572581112384796,0.0570002980530262
44,-0.21314263343811035,-0.13572581112384796,0.057000353932380676
45,-0.21314263343811035,-0.13572581112384796,0.057000309228897095
46,-0.21314263343811035,-0.13572581112384796,0.057000309228897095
47,-0.21314263343811035,-0.13572582602500916,0.05700031295418739
48,-0.21314263343811035,-0.13572581112384796,0.05700032040476799
49,-0.21314261853694916,-0.13572579622268677,0.05700032040476799
50,-0.21314264833927155,-0.13572579622268677,0.0570002943277359
51,-0.21314266324043274,-0.13572582602500916,0.0570002980530262
52,-0.21314263343811035,-0.13572581112384796,0.05700035020709038
53,-0.21314263343811035,-0.13572582602500916,0.057000353932380676
54,-0.21314263343811035,-0.13572581112384796,0.057000305503606796
55,-0.21314263343811035,-0.13572581112384796,0.05700031295418739
56,-0.21314263343811035,-0.13572582602500916,0.057000309228897095
57,-0.21314263343811035,-0.13572582602500916,0.05700031295418739
58,-0.21314263343811035,-0.13572581112384796,0.05700031667947769
59,-0.21314266324043274,-0.13572581112384796,0.0570002943277359
60,-0.21314266324043274,-0.13572581112384796,0.0570002980530262
61,-0.21314263343811035,-0.13572582602500916,0.05700035020709038
62,-0.21314263343811035,-0.13572581112384796,0.057000353932380676
63,-0.21314263343811035,-0.13572581112384796,0.057000357657670975
64,-0.21314263343811035,-0.13572581112384796,0.057000309228897095
65,-0.21314263343811035,-0.13572581112384796,0.057000309228897095
66,-0.21314263343811035,-0.13572582602500916,0.05700031295418739
67,-0.21314263343811035,-0.13572582602500916,0.05700031667947769
68,-0.21314263343811035,-0.13572581112384796,0.05700032040476799
69,-0.21314264833927155,-0.13572581112384796,0.0570002943277359
70,-0.21314266324043274,-0.13572581112384796,0.0570003017783165
71,-0.21314263343811035,-0.13572582602500916,0.05700035020709038
72,-0.21314263343811035,-0.13572582602500916,0.057000353932380676
73,-0.21314263343811035,-0.13572582602500916,0.057000305503606796
74,-0.21314263343811035,-0.13572581112384796,0.057000309228897095
75,-0.21314263343811035,-0.13572582602500916,0.05700031295418739
76,-0.21314263343811035,-0.13572582602500916,0.05700031667947769
77,-0.21314263343811035,-0.13572582602500916,0.05700031667947769
78,-0.21314266324043274,-0.13572581112384796,0.0570002980530262
79,-0.21314266324043274,-0.13572582602500916,0.0570002980530262
80,-0.21314263343811035,-0.13572582602500916,0.05700035020709038
81,-0.21314263343811035,-0.13572582602500916,0.057000353932380676
82,-0.21314263343811035,-0.13572582602500916,0.057000305503606796
83,-0.21314263343811035,-0.13572581112384796,0.057000309228897095
