step,env_index,observation,action,clipped_action,direct_joint_command
51,0,"[0.5597989559173584, -0.23144002258777618, -0.5509578585624695, 0.35524845123291016, 0.2349293828010559, 0.16230444610118866, -0.0780344307422638, 0.00010749147622846067, -2.8695616722106934, -1.5855318307876587, 0.3448343276977539, -1.453680157661438, 0.7403092384338379, -1.9984604120254517, -0.15638431906700134, -0.1612393707036972, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.49251726269721985, -0.3403174579143524, 0.7808312177658081, 0.9132761359214783, 0.23398075997829437, -0.3673047125339508, -0.0380171462893486, -1.2887858152389526]","[0.49251726269721985, -0.3403174579143524, 0.7808312177658081, 0.9132761359214783, 0.23398075997829437, -0.3673047125339508, -0.0380171462893486, -1.0]","[0.6090506911277771, -0.26547175645828247, -0.4728747308254242, 0.4465760588645935, 0.258327454328537, 0.12557397782802582, -0.08183614909648895, 790.0]"
52,0,"[0.5870095491409302, -0.27390360832214355, -0.6011465191841125, 0.3622477650642395, 0.26404058933258057, 0.12617675960063934, -0.08117988705635071, -0.00011741488560801372, 2.1907639503479004, 0.5372512340545654, -1.327754259109497, 1.3293346166610718, -1.1826536655426025, -1.3818674087524414, 0.07294163852930069, 0.0679539367556572, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.469250351190567, 0.43551191687583923, 0.017917891964316368, 0.2754988968372345, 0.22474952042102814, 0.5344331860542297, -0.08487758785486221, -1.4842108488082886]","[0.469250351190567, 0.43551191687583923, 0.017917891964316368, 0.2754988968372345, 0.22474952042102814, 0.5344331860542297, -0.08487758785486221, -1.0]","[0.6339345574378967, -0.23035241663455963, -0.5993547439575195, 0.3897976577281952, 0.2865155339241028, 0.17962008714675903, -0.08966764807701111, 790.0]"
53,0,"[0.6406668424606323, -0.21155956387519836, -0.5924391150474548, 0.41146284341812134, 0.2842942178249359, 0.17977428436279297, -0.08971091359853745, -0.00016028904065024108, 0.7019411325454712, -0.031306322664022446, 0.48821693658828735, -0.6632363200187683, -0.15700043737888336, 1.1168819665908813, -0.019396284595131874, 0.1393394023180008, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.6072161793708801, -0.32803839445114136, -0.7272997498512268, 1.1241912841796875, -0.2237657755613327, -0.5027598738670349, -0.021247349679470062, -1.53989839553833]","[-0.6072161793708801, -0.32803839445114136, -0.7272997498512268, 1.0, -0.2237657755613327, -0.5027598738670349, -0.021247349679470062, -1.0]","[0.5799452066421509, -0.24436339735984802, -0.6651691198348999, 0.5114628672599792, 0.2619176506996155, 0.12949830293655396, -0.09183564782142639, 790.0]"
54,0,"[0.6086328029632568, -0.24027730524539948, -0.6098516583442688, 0.38608914613723755, 0.25505027174949646, 0.14081642031669617, -0.09232058376073837, 0.000491064041852951, -2.650869607925415, -0.3383014500141144, 0.02668023854494095, 0.004265041556209326, 0.828665554523468, -1.4167379140853882, -0.12356937676668167, -0.6550002098083496, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.7309379577636719, 0.1595996916294098, 0.9655202627182007, 0.4734288156032562, 0.17302154004573822, 0.4759676456451416, -0.05970904976129532, -1.2357995510101318]","[0.7309379577636719, 0.1595996916294098, 0.9655202627182007, 0.4734288156032562, 0.17302154004573822, 0.4759676456451416, -0.05970904976129532, -1.0]","[0.6817265748977661, -0.22431734204292297, -0.5132996439933777, 0.43343204259872437, 0.2723524272441864, 0.18841318786144257, -0.09829148650169373, 790.0]"
55,0,"[0.6593804359436035, -0.21422523260116577, -0.6912432312965393, 0.43912094831466675, 0.2774621844291687, 0.18367579579353333, -0.09765967726707458, -0.0002448336163070053, 2.7265193462371826, 0.0584498830139637, -2.010068893432617, 0.5969921946525574, -1.2393956184387207, 0.601645827293396, 0.02136855199933052, 0.2781599760055542, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.4686793386936188, 0.04405011236667633, 0.15830814838409424, 0.4603388011455536, 0.2947067320346832, 0.4326857924461365, -0.014980361796915531, -1.4261950254440308]","[0.4686793386936188, 0.04405011236667633, 0.15830814838409424, 0.4603388011455536, 0.2947067320346832, 0.4326857924461365, -0.014980361796915531, -1.0]","[0.7062483429908752, -0.2098202258348465, -0.6754124164581299, 0.4851548373699188, 0.30693286657333374, 0.22694437205791473, -0.09915771335363388, 790.0]"
56,0,"[0.7141366004943848, -0.19680097699165344, -0.667844295501709, 0.48036500811576843, 0.30454155802726746, 0.23303037881851196, -0.09935498237609863, -0.00030098267598077655, 0.8535181879997253, -0.13320210576057434, 0.6633065938949585, 0.49762997031211853, -0.15899427235126495, 0.5211869478225708, -0.012000026181340218, 0.2891528308391571, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.6409763097763062, 0.22884628176689148, -0.6629015207290649, 0.23699674010276794, -0.30714908242225647, 0.32855451107025146, 0.07636111229658127, -1.3060948848724365]","[-0.6409763097763062, 0.22884628176689148, -0.6629015207290649, 0.23699674010276794, -0.30714908242225647, 0.32855451107025146, 0.07636111229658127, -1.0]","[0.6500389575958252, -0.17391635477542877, -0.7341344356536865, 0.504064679145813, 0.2738266587257385, 0.2658858299255371, -0.09171886742115021, 790.0]"
57,0,"[0.678410530090332, -0.15642113983631134, -0.6672927737236023, 0.5055217146873474, 0.2693013846874237, 0.2731221914291382, -0.09219332784414291, 0.00025326668401248753, -3.123983383178711, 0.259456604719162, 1.1663827896118164, -0.2239648550748825, 0.8246287107467651, 0.6952943801879883, -0.10903249680995941, -0.2758748531341553, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.2466503381729126, -0.29429489374160767, 0.6171591877937317, 0.5946030616760254, -0.011665651574730873, 0.25650137662887573, -0.033299632370471954, -1.0945708751678467]","[0.2466503381729126, -0.29429489374160767, 0.6171591877937317, 0.5946030616760254, -0.011665651574730873, 0.25650137662887573, -0.033299632370471954, -1.0]","[0.7030755877494812, -0.18585063517093658, -0.6055768728256226, 0.564981997013092, 0.26813483238220215, 0.29877233505249023, -0.09552329033613205, 790.0]"
58,0,"[0.6780143976211548, -0.18559874594211578, -0.6738372445106506, 0.519179105758667, 0.2724793553352356, 0.3060590922832489, -0.09518774598836899, -0.000450561085017398, 2.935961961746216, -0.5260100364685059, -1.7357814311981201, 1.0310183763504028, -0.8668355345726013, -0.10219911485910416, 0.12724044919013977, 0.3716277778148651, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.08351978659629822, 0.4095241129398346, -0.17861728370189667, -0.2576970160007477, 0.06406111270189285, 0.4975737929344177, 0.03617051616311073, -1.311422348022461]","[0.08351978659629822, 0.4095241129398346, -0.17861728370189667, -0.2576970160007477, 0.06406111270189285, 0.4975737929344177, 0.03617051616311073, -1.0]","[0.6863663792610168, -0.14464633166790009, -0.6916989684104919, 0.4934093952178955, 0.27888545393943787, 0.35581648349761963, -0.09157069772481918, 790.0]"
59,0,"[0.6972928047180176, -0.13548514246940613, -0.684233546257019, 0.5188950896263123, 0.27759572863578796, 0.35214313864707947, -0.091496542096138, 0.0003148922696709633, -0.17526808381080627, 0.7344352602958679, -0.2324449121952057, -1.4931893348693848, 0.07670556753873825, 1.0287859439849854, -0.015343519859015942, -0.3785172700881958, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.07620060443878174, -0.8093805313110352, -0.022735537961125374, 1.2200534343719482, 0.01693168841302395, -0.7769928574562073, -0.08782909065485, -1.3291034698486328]","[-0.07620060443878174, -0.8093805313110352, -0.022735537961125374, 1.0, 0.01693168841302395, -0.7769928574562073, -0.08782909065485, -1.0]","[0.6896727681159973, -0.21642319858074188, -0.6865071058273315, 0.6188951134681702, 0.2792888879776001, 0.2744438648223877, -0.10027945041656494, 790.0]"
60,0,"[0.6905611753463745, -0.19255931675434113, -0.6883585453033447, 0.4197843372821808, 0.28006380796432495, 0.28011372685432434, -0.10025576502084732, -0.000607650144957006, -0.23577670753002167, -2.4874167442321777, 0.16474571824073792, -2.134453058242798, -0.07271067053079605, -2.403090715408325, 0.011587542481720448, 0.709464967250824, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.1808096170425415, -0.5579476356506348, 0.15715241432189941, 0.852744460105896, 0.044371023774147034, -0.9473304152488708, 0.06409045308828354, -1.2620049715042114]","[-0.1808096170425415, -0.5579476356506348, 0.15715241432189941, 0.852744460105896, 0.044371023774147034, -0.9473304152488708, 0.06409045308828354, -1.0]","[0.6724802255630493, -0.24835407733917236, -0.6726433038711548, 0.505058765411377, 0.2845008969306946, 0.18538068234920502, -0.09384672343730927, 790.0]"
61,0,"[0.6671968698501587, -0.2654412090778351, -0.678619384765625, 0.37790173292160034, 0.2858238220214844, 0.18563100695610046, -0.09373803436756134, 0.00028418542933650315, -0.3860863149166107, 0.7887132167816162, 0.037948403507471085, 0.6036497354507446, 0.08813531696796417, -2.139580726623535, 0.021906638517975807, -0.28477174043655396, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.4440193474292755, 0.18547454476356506, 0.44755691289901733, 0.6499536037445068, 0.1509833037853241, 0.09107264131307602, -0.06355977803468704, -1.3499398231506348]","[0.4440193474292755, 0.18547454476356506, 0.44755691289901733, 0.6499536037445068, 0.1509833037853241, 0.09107264131307602, -0.06355977803468704, -1.0]","[0.711598813533783, -0.2468937486410141, -0.6338636875152588, 0.44289708137512207, 0.300922155380249, 0.1947382688522339, -0.1000940129160881, 790.0]"
62,0,"[0.6977115869522095, -0.22942997515201569, -0.6423988938331604, 0.4440304636955261, 0.30338379740715027, 0.1912948489189148, -0.09995641559362411, -0.0006407143082469702, 1.167425513267517, -0.4560421407222748, 1.2630724906921387, 0.8073168992996216, -0.47880101203918457, 0.3693130612373352, -0.035937752574682236, 0.7656250596046448, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.8161449432373047, 0.465532511472702, -0.9224218726158142, 0.1014796569943428, -0.367069810628891, 0.316738486289978, 0.11678054183721542, -1.3946126699447632]","[-0.8161449432373047, 0.465532511472702, -0.9224218726158142, 0.1014796569943428, -0.367069810628891, 0.316738486289978, 0.11678054183721542, -1.0]","[0.616097092628479, -0.18287672102451324, -0.7346410751342773, 0.45417842268943787, 0.26667681336402893, 0.2229686975479126, -0.08827836066484451, 790.0]"
63,0,"[0.6407520771026611, -0.16599078476428986, -0.5888093113899231, 0.47272196412086487, 0.2624369263648987, 0.22684472799301147, -0.08881250768899918, 0.0003406860923860222, -2.990535259246826, 0.6326829791069031, 1.7451640367507935, -0.7139710783958435, 1.1617838144302368, 0.6318792104721069, -0.051235489547252655, -0.3642125725746155, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.16780996322631836, -0.592197060585022, 0.0444130003452301, 1.0217547416687012, -0.16288621723651886, -0.1251845359802246, -0.04349065572023392, -1.1442673206329346]","[-0.16780996322631836, -0.592197060585022, 0.0444130003452301, 1.0, -0.16288621723651886, -0.1251845359802246, -0.04349065572023392, -1.0]","[0.6239711046218872, -0.22521048784255981, -0.5843679904937744, 0.5727219581604004, 0.24614830315113068, 0.21432627737522125, -0.09316157549619675, 790.0]"
64,0,"[0.6110430955886841, -0.21817022562026978, -0.5961450338363647, 0.4357091188430786, 0.24885669350624084, 0.2211580127477646, -0.09306346625089645, -0.000465079618152231, -0.14757172763347626, -1.6601707935333252, 0.17778199911117554, -0.6157031059265137, -0.14949172735214233, -1.3481260538101196, 0.008211634121835232, 0.5596432685852051, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.11365316808223724, 0.2089177966117859, 0.008687136694788933, 0.27877601981163025, 0.09172571450471878, 0.0910625010728836, 0.0801100954413414, -1.4225757122039795]","[0.11365316808223724, 0.2089177966117859, 0.008687136694788933, 0.27877601981163025, 0.09172571450471878, 0.0910625010728836, 0.0801100954413414, -1.0]","[0.622408390045166, -0.1972784399986267, -0.5952762961387634, 0.4635867178440094, 0.2580292522907257, 0.23026426136493683, -0.08505246043205261, 790.0]"
65,0,"[0.615776538848877, -0.18622122704982758, -0.600780189037323, 0.46847420930862427, 0.2596973180770874, 0.22886784374713898, -0.08495516330003738, 4.7060009819688275e-05, 0.13172130286693573, 0.8511004447937012, 0.13658937811851501, 0.4753537178039551, 0.006795869674533606, 0.3548777401447296, 0.0010298495180904865, -0.02469559572637081, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.16497674584388733, -0.207017719745636, -0.08955629169940948, 0.6981735229492188, 0.12640663981437683, 0.31129541993141174, -0.025591347366571426, -1.266080617904663]","[0.16497674584388733, -0.207017719745636, -0.08955629169940948, 0.6981735229492188, 0.12640663981437683, 0.31129541993141174, -0.025591347366571426, -1.0]","[0.6322742104530334, -0.2069229930639267, -0.6097358465194702, 0.5382915735244751, 0.27233797311782837, 0.2599973976612091, -0.08751429617404938, 790.0]"
66,0,"[0.638211727142334, -0.19357572495937347, -0.6067908406257629, 0.5055054426193237, 0.2716691195964813, 0.2716177701950073, -0.08773864060640335, -0.00037646249984391034, 0.09690752625465393, -0.6633618474006653, 0.11192633956670761, 1.0400400161743164, -0.03904983401298523, 0.47239449620246887, 0.0027430765330791473, 0.40362274646759033, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.11376294493675232, 0.5233335494995117, -0.18157610297203064, -0.30881062150001526, -0.11241596192121506, 0.5316422581672668, 0.14155583083629608, -1.24442458152771]","[-0.11376294493675232, 0.5233335494995117, -0.18157610297203064, -0.30881062150001526, -0.11241596192121506, 0.5316422581672668, 0.14155583083629608, -1.0]","[0.6268354058265686, -0.1412423700094223, -0.6249484419822693, 0.4746243953704834, 0.2604275345802307, 0.32478198409080505, -0.07358305901288986, 790.0]"
67,0,"[0.624103844165802, -0.13546395301818848, -0.6279195547103882, 0.5130533576011658, 0.2611483931541443, 0.318330317735672, -0.07335193455219269, 0.0004639777762349695, -0.42797228693962097, 1.165762186050415, -0.3931872546672821, -1.3160480260849, 0.12047944217920303, 0.8603590726852417, -0.0426018051803112, -0.45965978503227234, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.3621571958065033, -0.8603110313415527, 0.23901048302650452, 1.1996567249298096, 0.22569257020950317, -0.48340263962745667, -0.11833251267671585, -1.2900413274765015]","[0.3621571958065033, -0.8603110313415527, 0.23901048302650452, 1.0, 0.22569257020950317, -0.48340263962745667, -0.11833251267671585, -1.0]","[0.6603195667266846, -0.22149506211280823, -0.60401850938797, 0.6130533814430237, 0.28371766209602356, 0.26999005675315857, -0.08518518507480621, 790.0]"
68,0,"[0.6516919732093811, -0.18128934502601624, -0.609373927116394, 0.4244738519191742, 0.28531596064567566, 0.276948481798172, -0.0851127952337265, -0.0009101029136218131, 1.0227360725402832, -2.719625949859619, 0.9922306537628174, -2.150259494781494, -0.24643410742282867, -1.8541362285614014, 0.012864417396485806, 1.065253734588623, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.7948285341262817, -0.5097581148147583, -0.7861393690109253, 0.8802655935287476, -0.19274447858333588, -1.0567224025726318, 0.07999800890684128, -1.3234186172485352]","[-0.7948285341262817, -0.5097581148147583, -0.7861393690109253, 0.8802655935287476, -0.19274447858333588, -1.0, 0.07999800890684128, -1.0]","[0.5722091197967529, -0.2322651594877243, -0.6879878640174866, 0.5125004053115845, 0.26604151725769043, 0.17694848775863647, -0.07711299508810043, 790.0]"
69,0,"[0.5971882939338684, -0.246896430850029, -0.5753421783447266, 0.38393232226371765, 0.26012298464775085, 0.18505452573299408, -0.0777130201458931, 0.0007895046728663146, -2.685192346572876, 0.9399269223213196, 0.4514336884021759, 0.7040565013885498, 1.1741544008255005, -1.7619860172271729, -0.03315875679254532, -0.9902210831642151, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.6265240907669067, 0.016934841871261597, 0.7725489735603333, 0.5739914774894714, 0.07666141539812088, 0.33064305782318115, -0.08682198077440262, -1.1647236347198486]","[0.6265240907669067, 0.016934841871261597, 0.7725489735603333, 0.5739914774894714, 0.07666141539812088, 0.33064305782318115, -0.08682198077440262, -1.0]","[0.6598407030105591, -0.2452029436826706, -0.4980872869491577, 0.4413314759731293, 0.2677891254425049, 0.2181188315153122, -0.08639521896839142, 790.0]"
70,0,"[0.6370427012443542, -0.23671245574951172, -0.62045818567276, 0.44257205724716187, 0.2728025019168854, 0.21390901505947113, -0.08583778142929077, -0.0005582559970207512, 2.563593626022339, -0.7148316502571106, -1.2205774784088135, 0.6632776260375977, -1.1098487377166748, 0.4169076383113861, 0.05022280663251877, 0.5388752818107605, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.1397559940814972, 0.5235565900802612, -0.4591595530509949, 0.03465772420167923, -0.08830516785383224, 0.3359067440032959, 0.03606567904353142, -1.4970452785491943]","[-0.1397559940814972, 0.5235565900802612, -0.4591595530509949, 0.03465772420167923, -0.08830516785383224, 0.3359067440032959, 0.03606567904353142, -1.0]","[0.6230670809745789, -0.18435679376125336, -0.666374146938324, 0.44603782892227173, 0.2639719843864441, 0.24749968945980072, -0.08223121613264084, 790.0]"
71,0,"[0.6384416818618774, -0.16564853489398956, -0.6584011912345886, 0.46276867389678955, 0.2629671096801758, 0.24875080585479736, -0.08215969800949097, 0.0005549685447476804, -0.9103362560272217, 0.9897969365119934, -0.8488155007362366, -0.8236362934112549, 0.28302690386772156, 0.6218738555908203, 0.0005001509562134743, -0.6734404563903809, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.5691538453102112, -0.6834589242935181, 0.7041508555412292, 1.0966380834579468, 0.2378605157136917, -0.27654197812080383, -0.10013993829488754, -1.2436034679412842]","[0.5691538453102112, -0.6834589242935181, 0.7041508555412292, 1.0, 0.2378605157136917, -0.27654197812080383, -0.10013993829488754, -1.0]","[0.695357084274292, -0.23399442434310913, -0.5879861116409302, 0.5627686977386475, 0.2867531478404999, 0.22109660506248474, -0.09217369556427002, 790.0]"
72,0,"[0.6725792288780212, -0.22561396658420563, -0.6713058948516846, 0.40987083315849304, 0.29155826568603516, 0.2239685356616974, -0.09159433096647263, -0.000842700304929167, 2.5882890224456787, -2.262652635574341, -0.669856607913971, -0.9927955865859985, -1.1852935552597046, -1.9310870170593262, 0.07245951145887375, 0.9212000370025635, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.38786736130714417, -0.018367066979408264, -0.46689775586128235, 0.548087477684021, -0.09999284893274307, -0.418783575296402, 0.01970551535487175, -1.5249230861663818]","[-0.38786736130714417, -0.018367066979408264, -0.46689775586128235, 0.548087477684021, -0.09999284893274307, -0.418783575296402, 0.01970551535487175, -1.0]","[0.633792519569397, -0.2274506688117981, -0.7179956436157227, 0.4646795690059662, 0.2815589904785156, 0.1820901781320572, -0.08962377905845642, 790.0]"
73,0,"[0.6635767817497253, -0.21738271415233612, -0.6905778050422668, 0.4459216892719269, 0.2763809263706207, 0.18944674730300903, -0.0897967666387558, 0.0007298911223188043, -1.324432134628296, 1.069290280342102, -1.014635443687439, 1.5300546884536743, 0.2640063762664795, -0.49848902225494385, -0.08539696037769318, -1.0254368782043457, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.923203706741333, 0.18208160996437073, 1.0998096466064453, -0.015306735411286354, 0.23443259298801422, 1.0484533309936523, -0.13282902538776398, -1.0421466827392578]","[0.923203706741333, 0.18208160996437073, 1.0, -0.015306735411286354, 0.23443259298801422, 1.0, -0.13282902538776398, -1.0]","[0.7558971643447876, -0.19917455315589905, -0.5905777812004089, 0.44439101219177246, 0.29982417821884155, 0.28944674134254456, -0.1030796691775322, 790.0]"
74,0,"[0.7317728996276855, -0.19863897562026978, -0.7721568942070007, 0.45953959226608276, 0.3034329116344452, 0.28162747621536255, -0.10249858349561691, -0.0001807344233384356, 2.896162271499634, -0.3015526533126831, -1.887929916381836, -1.091352939605713, -1.1154658794403076, 1.526453971862793, -0.015568802133202553, 0.09976604580879211, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.0041032470762729645, -0.4748259484767914, 0.03909558802843094, 1.0198979377746582, 0.08336823433637619, -0.8331350684165955, -0.01106258388608694, -1.5710771083831787]","[-0.0041032470762729645, -0.4748259484767914, 0.03909558802843094, 1.0, 0.08336823433637619, -0.8331350684165955, -0.01106258388608694, -1.0]","[0.7313625812530518, -0.2461215704679489, -0.7682473063468933, 0.5595396161079407, 0.3117697238922119, 0.19831396639347076, -0.10360483825206757, 790.0]"
75,0,"[0.7485557794570923, -0.2501901090145111, -0.7568190097808838, 0.39474689960479736, 0.3080417215824127, 0.20783768594264984, -0.10375805199146271, 0.00011129916674690321, -0.3691842555999756, -0.42483755946159363, 0.012279669754207134, -0.6842018961906433, 0.019650068134069443, -2.3452060222625732, 0.009273399598896503, -0.1669563502073288, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.06714329123497009, 0.004837691783905029, 0.44984835386276245, 0.7862521409988403, 0.007782680913805962, -0.38502174615859985, -0.009511112235486507, -1.355722188949585]","[0.06714329123497009, 0.004837691783905029, 0.44984835386276245, 0.7862521409988403, 0.007782680913805962, -0.38502174615859985, -0.009511112235486507, -1.0]","[0.7552701234817505, -0.24970634281635284, -0.711834192276001, 0.47337210178375244, 0.308819979429245, 0.1693355143070221, -0.10470916330814362, 790.0]"
76,0,"[0.749871551990509, -0.23901699483394623, -0.7165474891662598, 0.42364445328712463, 0.3107236921787262, 0.17648327350616455, -0.1046910285949707, -0.00025381252635270357, 0.693830132484436, 0.2859792709350586, 0.8275859951972961, 1.2645691633224487, -0.20328214764595032, -0.7920510172843933, 0.07569773495197296, 0.2922418415546417, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.5063028931617737, 0.3991258442401886, -0.4404105544090271, 0.12995478510856628, -0.2684161365032196, 0.4694066643714905, 0.04515974596142769, -1.3130053281784058]","[-0.5063028931617737, 0.3991258442401886, -0.4404105544090271, 0.12995478510856628, -0.2684161365032196, 0.4694066643714905, 0.04515974596142769, -1.0]","[0.6992412805557251, -0.1991044133901596, -0.760588526725769, 0.4366399347782135, 0.2838820815086365, 0.22342394292354584, -0.10017505288124084, 790.0]"
77,0,"[0.7275757789611816, -0.18278199434280396, -0.7374218106269836, 0.4568447470664978, 0.2791846692562103, 0.22524426877498627, -0.10018675774335861, 0.00034437558497302234, -0.4410945177078247, 0.05420279502868652, -1.77182936668396, -0.8394432663917542, 0.004613382741808891, 0.980338990688324, -0.046347565948963165, -0.5017016530036926, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.32083970308303833, -0.40959855914115906, 0.7907593846321106, 0.8413252830505371, 0.061706893146038055, -0.26513588428497314, -0.05358320474624634, -1.2979806661605835]","[0.32083970308303833, -0.40959855914115906, 0.7907593846321106, 0.8413252830505371, 0.061706893146038055, -0.26513588428497314, -0.05358320474624634, -1.0]","[0.7596597671508789, -0.22374185919761658, -0.6583458781242371, 0.5409772992134094, 0.2853553593158722, 0.1987306773662567, -0.10554508119821548, 790.0]"
78,0,"[0.7368261814117432, -0.2314479798078537, -0.7576303482055664, 0.4251602590084076, 0.2897067070007324, 0.20154167711734772, -0.10495281219482422, -0.000281800574157387, 2.452199697494507, -0.5622881650924683, -1.3669281005859375, 0.11841442435979843, -1.1403816938400269, -1.697587251663208, 0.06123042479157448, 0.28570011258125305, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.07978297770023346, 0.15097706019878387, 0.0378117710351944, 0.39516255259513855, 0.10366206616163254, 0.2002526819705963, -0.017620276659727097, -1.4267797470092773]","[0.07978297770023346, 0.15097706019878387, 0.0378117710351944, 0.39516255259513855, 0.10366206616163254, 0.2002526819705963, -0.017620276659727097, -1.0]","[0.7448045015335083, -0.2163502722978592, -0.7538491487503052, 0.46467649936676025, 0.30007290840148926, 0.22156694531440735, -0.10671483725309372, 790.0]"
79,0,"[0.7547085285186768, -0.20210000872612, -0.7469618916511536, 0.46572116017341614, 0.29869726300239563, 0.2236320674419403, -0.1067856028676033, -3.387724791537039e-05, 0.05947496369481087, 0.1483263224363327, 0.04931512475013733, 0.39742207527160645, 0.0037137011531740427, 0.4522850513458252, -0.0018154616700485349, 0.017297422513365746, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.1157885193824768, 0.08964553475379944, 0.07546548545360565, 0.4233730435371399, -0.08945859223604202, 0.2983475625514984, 0.0333043672144413, -1.260866403579712]","[-0.1157885193824768, 0.08964553475379944, 0.07546548545360565, 0.4233730435371399, -0.08945859223604202, 0.2983475625514984, 0.0333043672144413, -1.0]","[0.7431296706199646, -0.19313545525074005, -0.7394153475761414, 0.508058488368988, 0.28975141048431396, 0.25346681475639343, -0.10345516353845596, 790.0]"
