step,env_index,observation,action,clipped_action,direct_joint_command
10,0,"[0.4723780155181885, -0.14935195446014404, -0.46724095940589905, 0.4496217668056488, 0.21021568775177002, 0.31565946340560913, -0.2450961470603943, 3.511397517286241e-05, -0.9137660264968872, -1.8345065116882324, -0.37798887491226196, -1.995448112487793, 0.009572258219122887, -2.5240817070007324, 0.017053063958883286, -0.05267157405614853, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.7453745007514954, -0.7823892831802368, 0.5844083428382874, 0.9610921740531921, 0.5326400995254517, -0.745101273059845, 0.15345540642738342, -1.3201146125793457]","[0.7453745007514954, -0.7823892831802368, 0.5844083428382874, 0.9610921740531921, 0.5326400995254517, -0.745101273059845, 0.15345540642738342, -1.0]","[0.5469154715538025, -0.2275908887386322, -0.4088001251220703, 0.5457310080528259, 0.26347970962524414, 0.24114933609962463, -0.2297506034374237, 790.0]"
11,0,"[0.521605372428894, -0.2525264024734497, -0.48034295439720154, 0.40049418807029724, 0.26795870065689087, 0.23693965375423431, -0.2292814403772354, -9.997301094699651e-05, 2.3100874423980713, -0.21161922812461853, -0.3162650465965271, 0.5088724493980408, -0.8381884694099426, -2.01619815826416, 0.09477188438177109, 0.0881873369216919, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.1294606328010559, 0.38259366154670715, -0.7574084401130676, 0.4635376036167145, -0.04251997917890549, -0.16283807158470154, 0.048098124563694, -1.621227502822876]","[-0.1294606328010559, 0.38259366154670715, -0.7574084401130676, 0.4635376036167145, -0.04251997917890549, -0.16283807158470154, 0.048098124563694, -1.0]","[0.508659303188324, -0.21426703035831451, -0.5560837984085083, 0.44684794545173645, 0.2637067139148712, 0.22065584361553192, -0.22447162866592407, 790.0]"
12,0,"[0.5385009050369263, -0.19056440889835358, -0.5206303596496582, 0.4651370942592621, 0.2584571838378906, 0.21922476589679718, -0.224546417593956, 0.0003742749395314604, -2.2756507396698, 0.21598583459854126, 0.26647356152534485, 0.16472682356834412, 0.34465381503105164, 0.4647572636604309, -0.14412537217140198, -0.5256036520004272, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.6320793032646179, 0.020980477333068848, 0.6410422325134277, 0.43313243985176086, 0.06435820460319519, 0.5072853565216064, 0.0788574069738388, -1.2128825187683105]","[0.6320793032646179, 0.020980477333068848, 0.6410422325134277, 0.43313243985176086, 0.06435820460319519, 0.5072853565216064, 0.0788574069738388, -1.0]","[0.6017088294029236, -0.18846635520458221, -0.45652613043785095, 0.5084503293037415, 0.2648929953575134, 0.26995331048965454, -0.21666067838668823, 790.0]"
13,0,"[0.5782868266105652, -0.1776188164949417, -0.5656843185424805, 0.4976969063282013, 0.2691619396209717, 0.2723183035850525, -0.21621394157409668, -0.0003853750822599977, 3.0894131660461426, -0.2288673222064972, -1.8571217060089111, 0.5454398393630981, -1.0180526971817017, 0.5350452661514282, 0.05705142393708229, 0.3161473870277405, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.14909756183624268, 0.10600730776786804, -0.3897874355316162, 0.19137611985206604, 0.0857880562543869, 0.33503901958465576, 0.09712082892656326, -1.397899866104126]","[0.14909756183624268, 0.10600730776786804, -0.3897874355316162, 0.19137611985206604, 0.0857880562543869, 0.33503901958465576, 0.09712082892656326, -1.0]","[0.5931965708732605, -0.1670180857181549, -0.604663074016571, 0.5168344974517822, 0.2777407467365265, 0.3058221936225891, -0.20650185644626617, 790.0]"
14,0,"[0.609001100063324, -0.1537991315126419, -0.5953526496887207, 0.5140632390975952, 0.27601155638694763, 0.31099769473075867, -0.2066030204296112, 5.548735134652816e-05, -0.43880707025527954, 0.1731109619140625, -0.37205156683921814, -0.253898024559021, 0.09005865454673767, 0.5138534307479858, -0.003145202063024044, -0.08323359489440918, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.3316350281238556, -0.36586490273475647, 0.2583222985267639, 0.6908878087997437, 0.11899735033512115, -0.003023593220859766, 0.13888348639011383, -1.2396223545074463]","[0.3316350281238556, -0.36586490273475647, 0.2583222985267639, 0.6908878087997437, 0.11899735033512115, -0.003023593220859766, 0.13888348639011383, -1.0]","[0.6421645879745483, -0.1903856247663498, -0.5695204138755798, 0.5831519961357117, 0.2879112958908081, 0.3106953501701355, -0.19271467626094818, 790.0]"
15,0,"[0.6288428902626038, -0.18945591151714325, -0.5780431032180786, 0.5133494138717651, 0.28904861211776733, 0.31929829716682434, -0.19274942576885223, -0.0003235953045077622, 0.8402481079101562, -0.5291802287101746, 0.8127633929252625, 0.5661550164222717, -0.25399258732795715, -0.634702205657959, 0.02320760488510132, 0.35424932837486267, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.49464622139930725, 0.45989105105400085, -0.7340604662895203, -0.08087446540594101, -0.2266455739736557, 0.2334330677986145, 0.18469184637069702, -1.3190016746520996]","[-0.49464622139930725, 0.45989105105400085, -0.7340604662895203, -0.08087446540594101, -0.2266455739736557, 0.2334330677986145, 0.18469184637069702, -1.0]","[0.5793782472610474, -0.1434668004512787, -0.6514491438865662, 0.5052619576454163, 0.2663840651512146, 0.34264159202575684, -0.17428024113178253, 790.0]"
16,0,"[0.6069602966308594, -0.13092435896396637, -0.5837023854255676, 0.5244359970092773, 0.2625516951084137, 0.3431790769100189, -0.17460180819034576, 0.0003984181385021657, -3.2464439868927, 0.9584442973136902, 1.4066722393035889, -1.026922345161438, 0.7500991225242615, 0.7935889363288879, -0.0783306136727333, -0.43018433451652527, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.20507237315177917, -0.8740127086639404, 0.33079272508621216, 1.0915091037750244, 0.07029283791780472, -0.4652150571346283, 0.010709934867918491, -1.0905466079711914]","[0.20507237315177917, -0.8740127086639404, 0.33079272508621216, 1.0, 0.07029283791780472, -0.4652150571346283, 0.010709934867918491, -1.0]","[0.6274675130844116, -0.2183256298303604, -0.5506231188774109, 0.6244360208511353, 0.26958099007606506, 0.2966575622558594, -0.17353081703186035, 790.0]"
17,0,"[0.6002914905548096, -0.1872749626636505, -0.5728064179420471, 0.4546457529067993, 0.27422118186950684, 0.3009962737560272, -0.17336024343967438, -0.0009162049391306937, 0.45903918147087097, -2.714174270629883, 1.300491452217102, -1.6873465776443481, -0.12063566595315933, -1.8962552547454834, 0.03785809874534607, 1.1109766960144043, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.43969497084617615, -0.20031821727752686, -0.6427517533302307, 0.5323174595832825, -0.035307638347148895, -0.669236421585083, 0.18544350564479828, -1.3465162515640259]","[-0.43969497084617615, -0.20031821727752686, -0.6427517533302307, 0.5323174595832825, -0.035307638347148895, -0.669236421585083, 0.18544350564479828, -1.0]","[0.5563219785690308, -0.20730678737163544, -0.6370816230773926, 0.5078774690628052, 0.2706904113292694, 0.23407262563705444, -0.1548158973455429, 790.0]"
18,0,"[0.5844382047653198, -0.20659469068050385, -0.5865944623947144, 0.46506908535957336, 0.26592057943344116, 0.243150994181633, -0.1552594155073166, 0.0008395087206736207, -2.5764946937561035, 1.3361029624938965, 0.20086899399757385, 1.6481488943099976, 0.7516906261444092, -0.5054998397827148, -0.05454998463392258, -1.0842628479003906, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.9147038459777832, 0.10469406843185425, 1.0259805917739868, -0.0936179980635643, 0.1890525370836258, 0.9748861193656921, -0.0344095304608345, -1.0108394622802734]","[0.9147038459777832, 0.10469406843185425, 1.0, -0.0936179980635643, 0.1890525370836258, 0.9748861193656921, -0.0344095304608345, -1.0]","[0.6759085655212402, -0.19612528383731842, -0.48659446835517883, 0.45570728182792664, 0.2848258316516876, 0.340639591217041, -0.1587003618478775, 790.0]"
19,0,"[0.6516737341880798, -0.19896593689918518, -0.6673413515090942, 0.4706622362136841, 0.2880015969276428, 0.3330298662185669, -0.15818698704242706, -0.0002951587666757405, 2.9366066455841064, -0.4573460519313812, -1.9160900115966797, -1.2342146635055542, -1.0145841836929321, 1.5634585618972778, -0.019751008599996567, 0.22220435738563538, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.04753581061959267, -0.39812028408050537, -0.2393975853919983, 1.0404670238494873, 0.03409150242805481, -1.060184359550476, 0.06180938333272934, -1.6010229587554932]","[-0.04753581061959267, -0.39812028408050537, -0.2393975853919983, 1.0, 0.03409150242805481, -1.0, 0.06180938333272934, -1.0]","[0.6469201445579529, -0.23877796530723572, -0.6912810802459717, 0.570662260055542, 0.29141074419021606, 0.23302987217903137, -0.15200604498386383, 790.0]"
