step_idx,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,direct_joint_command_0,direct_joint_command_1,direct_joint_command_2,direct_joint_command_3,direct_joint_command_4,direct_joint_command_5,direct_joint_command_6,direct_joint_command_7
10,-0.05445440113544464,-0.46910473704338074,-0.055317264050245285,0.7301346063613892,-0.054885830730199814,1.2540810108184814,-0.0034073549322783947,0.33899998664855957,-0.13756521046161652,0.14167408645153046,-0.14000314474105835,-0.1418658345937729,-0.13888004422187805,-0.1376199871301651,-0.005697642918676138,-0.0,0.35043784976005554,-0.10471981018781662,-0.07210938632488251,0.3062842786312103,-0.9516786336898804,0.022309575229883194,-0.9498159885406494,-0.3070816397666931,-0.05958503112196922,-1.1992945671081543,1.908223032951355,-1.6132152080535889,-0.8178474307060242,-1.344466209411621,-1.8708385229110718,-0.02927502617239952,-0.5410339832305908,-0.08445440232753754,-0.0359448567032814,-0.08531726151704788,0.7055991888046265,-0.08488582819700241,1.224081039428711,-0.0042856051586568356,116.5
11,-0.059815663844347,-0.46387770771980286,-0.060688115656375885,0.7247637510299683,-0.06031037122011185,1.2485510110855103,-0.003710316028445959,0.36800000071525574,-0.13893483579158783,0.13463421165943146,-0.1401127129793167,-0.13614079356193542,-0.1376199871301651,-0.13827741146087646,-0.007478156127035618,-0.0,0.34926748275756836,-0.10430547595024109,-0.07282746583223343,0.3063375651836395,-0.9516826868057251,0.021385030820965767,-0.9498729109764099,-0.30707427859306335,-0.058709945529699326,-1.1649832725524902,1.9022257328033447,-1.5616859197616577,-0.7585498094558716,-1.3042837381362915,-1.861687183380127,-0.037896376103162766,-0.5487454533576965,-0.0898156613111496,-0.0359448567032814,-0.09068811684846878,0.7020072340965271,-0.09031037241220474,1.2185510396957397,-0.004847207572311163,116.5
12,-0.0651404932141304,-0.4583093523979187,-0.06612991541624069,0.719132125377655,-0.06580393761396408,1.2430747747421265,-0.004036286845803261,0.3970000147819519,-0.13230584561824799,0.13540120422840118,-0.13438767194747925,-0.13827741146087646,-0.1362229734659195,-0.13753780722618103,-0.007916436530649662,-0.0,0.34907153248786926,-0.10452835261821747,-0.07308411598205566,0.30405524373054504,-0.9524537920951843,0.01954939216375351,-0.950630247592926,-0.30468234419822693,-0.05891308933496475,-1.0894379615783691,1.893796682357788,-1.4701457023620605,-0.6816579699516296,-1.2620434761047363,-1.8430291414260864,-0.03311678394675255,-0.5450031161308289,-0.0951404944062233,-0.0359448567032814,-0.09612991660833359,0.6986823678016663,-0.09580393880605698,1.213074803352356,-0.005029790103435516,116.5
13,-0.07142214477062225,-0.4522693157196045,-0.07243073731660843,0.7131093144416809,-0.07198396325111389,1.236883282661438,-0.0045003159902989864,0.4269999861717224,-0.13794870674610138,0.13597643375396729,-0.13945528864860535,-0.13608601689338684,-0.1375925987958908,-0.13753780722618103,-0.009587380103766918,-0.0,0.34947431087493896,-0.10467401891946793,-0.07291155308485031,0.30459386110305786,-0.9522648453712463,0.020352056249976158,-0.9504133462905884,-0.3052704334259033,-0.05936651676893234,-1.0398540496826172,1.8872385025024414,-1.3997470140457153,-0.5634592175483704,-1.209896445274353,-1.8314660787582397,-0.030567284673452377,-0.5419993996620178,-0.10142214596271515,-0.0359448567032814,-0.10243073850870132,0.6962055563926697,-0.10198396444320679,1.2068833112716675,-0.00541733531281352,116.5
14,-0.07650729268789291,-0.4470211863517761,-0.07761942595243454,0.7078074812889099,-0.07725319266319275,1.2316676378250122,-0.004791772458702326,0.45500001311302185,-0.13219627737998962,0.13192234933376312,-0.1339767873287201,-0.13249759376049042,-0.1337028592824936,-0.13351111114025116,-0.008628642186522484,-0.0,0.3488519489765167,-0.10432320088148117,-0.07316667586565018,0.30622437596321106,-0.9517386555671692,0.020496370270848274,-0.9499456882476807,-0.30690544843673706,-0.058413997292518616,-0.9694150686264038,1.8757950067520142,-1.3090918064117432,-0.4749052822589874,-1.153450608253479,-1.807077169418335,-0.03428729996085167,-0.5398130416870117,-0.10558974742889404,-0.0359448567032814,-0.10761942714452744,0.6935603022575378,-0.10725319385528564,1.2016676664352417,-0.005820390302687883,116.5
15,-0.08195675909519196,-0.44158321619033813,-0.08311299979686737,0.7022966742515564,-0.08282920718193054,1.2260686159133911,-0.005111990962177515,0.48399999737739563,-0.13159364461898804,0.13408635556697845,-0.13373024761676788,-0.13559293746948242,-0.13605861365795135,-0.1356751173734665,-0.007642511278390884,-0.0,0.34951817989349365,-0.1044607013463974,-0.07281728088855743,0.3062622547149658,-0.9517254829406738,0.020543763414025307,-0.9498894214630127,-0.306947261095047,-0.059105370193719864,-0.904832124710083,1.8638554811477661,-1.2197195291519165,-0.36381521821022034,-1.1096757650375366,-1.7935807704925537,-0.027526389807462692,-0.5333852767944336,-0.10910172015428543,-0.0359448567032814,-0.10966227203607559,0.6913822293281555,-0.10966227203607559,1.1960686445236206,-0.005937781650573015,116.5
16,-0.08752894401550293,-0.436014860868454,-0.08878488838672638,0.6975432634353638,-0.08830168843269348,1.2205750942230225,-0.005453301593661308,0.5130000114440918,-0.13882526755332947,0.13808566331863403,-0.14055098593235016,-0.1269369125366211,-0.1381952315568924,-0.13879786431789398,-0.008491679094731808,-0.0,0.3496912717819214,-0.10462788492441177,-0.07272655516862869,0.30504313111305237,-0.9521303176879883,0.01991218887269497,-0.950273334980011,-0.30569133162498474,-0.059441983699798584,-0.8779430389404297,1.8532507419586182,-1.1631486415863037,-0.22755315899848938,-1.0575377941131592,-1.7778031826019287,-0.028519969433546066,-0.5308077335357666,-0.10966227203607559,-0.0359448567032814,-0.10966227203607559,0.6907166838645935,-0.10966227203607559,1.190575122833252,-0.006308902055025101,116.5
17,-0.09421709924936295,-0.4292922019958496,-0.09532156586647034,0.6936603784561157,-0.09512598067522049,1.2137430906295776,-0.0057735200971364975,0.546999990940094,-0.13540120422840118,0.13627775013446808,-0.1339493989944458,-0.08803953975439072,-0.1367708295583725,-0.1365242898464203,-0.00693030608817935,-0.0,0.349220335483551,-0.10440693795681,-0.0728679969906807,0.30543842911720276,-0.9519941806793213,0.02035854384303093,-0.9501299262046814,-0.30611398816108704,-0.05955919250845909,-0.8311107754707336,1.8325388431549072,-1.0665314197540283,-0.053384676575660706,-0.9747197031974792,-1.7287153005599976,-0.04038321599364281,-0.5306491851806641,-0.10966227203607559,-0.0359448567032814,-0.10966227203607559,0.6920588612556458,-0.10966227203607559,1.1837431192398071,-0.006985016167163849,116.5
18,-0.09875384718179703,-0.42477846145629883,-0.10005197674036026,0.6921954154968262,-0.09963013231754303,1.2091526985168457,-0.006043884437531233,0.574999988079071,-0.13107317686080933,0.1311279684305191,-0.13121014833450317,-0.05642857775092125,-0.1322784572839737,-0.1337028592824936,-0.006848128512501717,-0.0,0.34919771552085876,-0.10449563711881638,-0.07290687412023544,0.3053261637687683,-0.9520465731620789,0.019576841965317726,-0.9501973390579224,-0.3059527277946472,-0.05931159481406212,-0.802268385887146,1.8195903301239014,-1.003544569015503,0.044187016785144806,-0.9230767488479614,-1.6915770769119263,-0.05786484107375145,-0.5333874225616455,-0.10966227203607559,-0.0359448567032814,-0.10966227203607559,0.6935210227966309,-0.10966227203607559,1.1791527271270752,-0.007779830601066351,116.5
19,-0.10433370620012283,-0.4189684987068176,-0.10494346171617508,0.6919768452644348,-0.10483033210039139,1.2032564878463745,-0.006542427930980921,0.6039999723434448,-0.13545598089694977,0.13833220303058624,-0.12584121525287628,-0.020297853276133537,-0.1294844150543213,-0.1404688060283661,-0.010354369878768921,-0.0,0.34782370924949646,-0.10408013314008713,-0.07380516082048416,0.30556973814964294,-0.9519879817962646,0.018600938841700554,-0.9502208232879639,-0.306135356426239,-0.05797875300049782,-0.7611568570137024,1.820988655090332,-0.919594943523407,0.11283177882432938,-0.8543336987495422,-1.6584185361862183,-0.0842067301273346,-0.5486223697662354,-0.10966227203607559,-0.0359448567032814,-0.10966227203607559,0.6953617930412292,-0.10966227203607559,1.173256516456604,-0.009068628773093224,116.5
