step,env_index,observation,action,clipped_action,direct_joint_command
10,0,"[-0.038229215890169144, -0.46169087290763855, -0.03077501244843006, 0.8767593502998352, -0.007645412813872099, 1.1710277795791626, -0.5398243069648743, 0.06144393980503082, 0.008739585056900978, -0.08914338052272797, 0.00393370958045125, 0.02400212176144123, -0.18183737993240356, -0.17429816722869873, -1.0987050533294678, 1.318099856376648, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[-0.0002631591632962227, -0.08055846393108368, -0.00451259221881628, 0.02172544226050377, -0.18931646645069122, -0.1648247390985489, -1.5891218185424805, 0.02603250928223133]","[-0.0002631591632962227, -0.08055846393108368, -0.00451259221881628, 0.02172544226050377, -0.18931646645069122, -0.1648247390985489, -1.0, 0.02603250928223133]","[-0.03825553134083748, -0.4697467088699341, -0.031226271763443947, 0.8789318799972534, -0.026577061042189598, 1.1545453071594238, -0.6398243308067322, 775.9528198242188]"
11,0,"[-0.038012564182281494, -0.4661424160003662, -0.031072894111275673, 0.878055989742279, -0.013466806150972843, 1.1642380952835083, -0.5990949869155884, 0.06361517310142517, 0.000726409547496587, -0.08712194114923477, -0.006745185237377882, 0.022052057087421417, -0.19114863872528076, -0.17092832922935486, -1.0929621458053589, 0.9384762644767761, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[0.03656934201717377, -0.07280420511960983, 0.015031048096716404, 0.009701206348836422, -0.1562906801700592, -0.09880523383617401, -1.573495864868164, 0.05928383022546768]","[0.03656934201717377, -0.07280420511960983, 0.015031048096716404, 0.009701206348836422, -0.1562906801700592, -0.09880523383617401, -1.0, 0.05928383022546768]","[-0.03435562923550606, -0.4734228253364563, -0.02956978976726532, 0.8790261149406433, -0.02909587323665619, 1.1543575525283813, -0.6990950107574463, 770.4564208984375]"
12,0,"[-0.03639663755893707, -0.4703056514263153, -0.03066754713654518, 0.878894567489624, -0.017315756529569626, 1.1615426540374756, -0.6584456562995911, 0.06695861369371414, 0.04156941547989845, -0.07797931134700775, 0.014124473556876183, 0.007694692350924015, -0.14859899878501892, -0.09385590255260468, -1.0964444875717163, 1.3523828983306885, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[0.036372266709804535, -0.06264843046665192, 0.004635379649698734, 0.010049018077552319, -0.14758534729480743, -0.08091241866350174, -1.5328764915466309, 0.05770884454250336]","[0.036372266709804535, -0.06264843046665192, 0.004635379649698734, 0.010049018077552319, -0.14758534729480743, -0.08091241866350174, -1.0, 0.05770884454250336]","[-0.0327594093978405, -0.4765704870223999, -0.030204009264707565, 0.8798994421958923, -0.03207429125905037, 1.1534514427185059, -0.758445680141449, 767.2705078125]"
13,0,"[-0.03416857123374939, -0.47377005219459534, -0.030495675280690193, 0.8796072006225586, -0.020279373973608017, 1.1604959964752197, -0.718007504940033, 0.07040764391422272, 0.04157678037881851, -0.06599755585193634, 0.0030781642999500036, 0.007274388801306486, -0.1412097066640854, -0.07389014959335327, -1.0957722663879395, 1.3329936265945435, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[0.04954037070274353, -0.052444420754909515, 0.008014650084078312, 0.00634914543479681, -0.127213716506958, -0.0437944121658802, -1.5048675537109375, 0.06092621386051178]","[0.04954037070274353, -0.052444420754909515, 0.008014650084078312, 0.00634914543479681, -0.127213716506958, -0.0437944121658802, -1.0, 0.06092621386051178]","[-0.029214534908533096, -0.47901448607444763, -0.02969421073794365, 0.880242109298706, -0.03300074487924576, 1.1561166048049927, -0.8180075287818909, 763.499755859375]"
14,0,"[-0.03141924366354942, -0.4767070412635803, -0.030222442001104355, 0.8800947666168213, -0.023735418915748596, 1.1607468128204346, -0.7768312692642212, 0.07310141623020172, 0.05560302734375, -0.055864810943603516, 0.008443603292107582, 0.00459052249789238, -0.13251721858978271, -0.04233730584383011, -1.0891650915145874, 0.5626292824745178, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[0.11236689239740372, -0.0356130376458168, 0.06171885132789612, -0.02177095040678978, -0.05743049830198288, 0.07104458659887314, -1.4952561855316162, 0.13436782360076904]","[0.11236689239740372, -0.0356130376458168, 0.06171885132789612, -0.02177095040678978, -0.05743049830198288, 0.07104458659887314, -1.0, 0.13436782360076904]","[-0.020182553678750992, -0.48026835918426514, -0.024050556123256683, 0.8779176473617554, -0.029478468000888824, 1.1678513288497925, -0.8768312931060791, 753.4617919921875]"
15,0,"[-0.02604011818766594, -0.47897738218307495, -0.027444379404187202, 0.8793638348579407, -0.023654572665691376, 1.1674268245697021, -0.8354505300521851, 0.07789088785648346, 0.1255759298801422, -0.03677563741803169, 0.0671384334564209, -0.02752777934074402, -0.050685930997133255, 0.08863449096679688, -1.0923550128936768, 0.9926065802574158, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[0.10635234415531158, -0.026186304166913033, 0.05071132630109787, -0.022775135934352875, -0.05120711773633957, 0.09087809175252914, -1.4497106075286865, 0.14499115943908691]","[0.10635234415531158, -0.026186304166913033, 0.05071132630109787, -0.022775135934352875, -0.05120711773633957, 0.09087809175252914, -1.0, 0.14499115943908691]","[-0.015404883772134781, -0.4815960228443146, -0.022373246029019356, 0.877086341381073, -0.028775284066796303, 1.1765146255493164, -0.935450553894043, 747.6099853515625]"
16,0,"[-0.019793212413787842, -0.4803965091705322, -0.024540618062019348, 0.8781889081001282, -0.02347089722752571, 1.1753947734832764, -0.893963098526001, 0.08292343467473984, 0.11899255216121674, -0.02588905207812786, 0.055614788085222244, -0.028725121170282364, -0.04765063896775246, 0.10800255835056305, -1.0905228853225708, 0.8079637885093689, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[0.11273393034934998, -0.011479109525680542, 0.060923896729946136, -0.032408036291599274, -0.013056186959147453, 0.12914179265499115, -1.427072525024414, 0.14302068948745728]","[0.11273393034934998, -0.011479109525680542, 0.060923896729946136, -0.032408036291599274, -0.013056186959147453, 0.12914179265499115, -1.0, 0.14302068948745728]","[-0.008519819006323814, -0.4815444350242615, -0.018448228016495705, 0.8749480843544006, -0.024776516482234, 1.1883089542388916, -0.9939631223678589, 742.7744750976562]"
17,0,"[-0.013513742946088314, -0.4810969829559326, -0.021238278597593307, 0.8765690922737122, -0.021694956347346306, 1.185261845588684, -0.9522039294242859, 0.08770111948251724, 0.12599128484725952, -0.009852101095020771, 0.06708963215351105, -0.03923475369811058, -0.008327595889568329, 0.14840742945671082, -1.0894696712493896, 0.6874575018882751, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[0.12190525233745575, 0.008221842348575592, 0.07241619378328323, -0.04523089528083801, 0.028501922264695168, 0.1707039177417755, -1.399625539779663, 0.15492653846740723]","[0.12190525233745575, 0.008221842348575592, 0.07241619378328323, -0.04523089528083801, 0.028501922264695168, 0.1707039177417755, -1.0, 0.15492653846740723]","[-0.0013232175260782242, -0.4802747964859009, -0.013996658846735954, 0.8720459938049316, -0.018844764679670334, 1.2023322582244873, -1.052203893661499, 736.8062133789062]"
18,0,"[-0.00675992714241147, -0.4807567596435547, -0.01729062758386135, 0.8742655515670776, -0.018062680959701538, 1.1972072124481201, -1.0102012157440186, 0.09261495620012283, 0.136186882853508, 0.011806877329945564, 0.08001203835010529, -0.05325959622859955, 0.03499050438404083, 0.19228649139404297, -1.0885210037231445, 0.576594352722168, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[0.12673206627368927, 0.028231995180249214, 0.08371817320585251, -0.058208078145980835, 0.06877154856920242, 0.20627965033054352, -1.3694870471954346, 0.1662321239709854]","[0.12673206627368927, 0.028231995180249214, 0.08371817320585251, -0.058208078145980835, 0.06877154856920242, 0.20627965033054352, -1.0, 0.1662321239709854]","[0.005913279484957457, -0.4779335558414459, -0.008918809704482555, 0.8684447407722473, -0.01118552591651678, 1.2178351879119873, -1.1102012395858765, 730.7618408203125]"
19,0,"[0.00029769554384984076, -0.47929146885871887, -0.012663537636399269, 0.8712069392204285, -0.012654570862650871, 1.2108008861541748, -1.0679537057876587, 0.09764137119054794, 0.14162538945674896, 0.03374254330992699, 0.09269235283136368, -0.06730636954307556, 0.07711364328861237, 0.2293664664030075, -1.0876317024230957, 0.4528312683105469, 0.0, -0.47699999809265137, 0.0, 0.8571975827217102, 0.0, 1.2771975994110107, -1.5707963705062866, 0.10000000149011612]","[0.11865851283073425, 0.03945472836494446, 0.09188126027584076, -0.06444220244884491, 0.09560947120189667, 0.22522509098052979, -1.3344509601593018, 0.16776558756828308]","[0.11865851283073425, 0.03945472836494446, 0.09188126027584076, -0.06444220244884491, 0.09560947120189667, 0.22522509098052979, -1.0, 0.16776558756828308]","[0.012163546867668629, -0.47534599900245667, -0.003475411795079708, 0.8647627234458923, -0.0030936235561966896, 1.233323335647583, -1.1679537296295166, 725.5820922851562]"
