step,penalty_box_min_x_0
0,-0.0
1,-0.0
2,-0.0
3,-0.0
4,-0.0
5,-0.0
6,-0.0
7,-0.0
8,-0.0
9,-0.0
10,-0.0
11,-0.0
12,-0.0
13,-0.0
14,-0.0
15,-0.0
16,-0.0
17,-0.0
18,-0.0
19,-0.0
20,-0.0
21,-0.0
22,-0.0
23,-0.0
24,-0.0
25,-0.0
26,-0.0
27,-0.0
28,-0.0
29,-0.0
30,-0.0
31,-0.0
32,-0.0
33,-0.0
34,-0.0
35,-0.0
36,-0.0
37,-0.0
38,-0.0
39,-0.0
40,-0.0
41,-0.0
42,-0.0
43,-0.0
44,-0.0
45,-0.0
46,-0.07605842500925064
47,-0.1934928297996521
48,-0.3019865155220032
49,-0.37028682231903076
50,-0.3812011182308197
51,-0.38119447231292725
52,-0.3812011182308197
53,-0.38119447231292725
54,-0.38119447231292725
55,-0.3812011182308197
56,-0.3812011182308197
57,-0.3812011182308197
58,-0.3812011182308197
59,-0.3812011182308197
60,-0.3812011182308197
61,-0.3812011182308197
62,-0.38119447231292725
63,-0.38119447231292725
64,-0.3812011182308197
65,-0.38119447231292725
66,-0.38119447231292725
67,-0.3812011182308197
68,-0.3812011182308197
69,-0.38119447231292725
70,-0.3812011182308197
71,-0.3812011182308197
72,-0.38119447231292725
73,-0.3812011182308197
74,-0.3812011182308197
75,-0.3812011182308197
76,-0.38119447231292725
77,-0.3812011182308197
78,-0.38119447231292725
79,-0.3812011182308197
80,-0.3812011182308197
81,-0.3812011182308197
82,-0.3812011182308197
83,-0.38119447231292725
84,-0.3812011182308197
85,-0.38119447231292725
86,-0.3812011182308197
87,-0.3812011182308197
88,-0.3812011182308197
89,-0.38119447231292725
90,-0.38119447231292725
91,-0.3812011182308197
92,-0.3812011182308197
93,-0.3812011182308197
94,-0.3812011182308197
95,-0.3812011182308197
96,-0.38119447231292725
97,-0.38119447231292725
98,-0.38119447231292725
99,-0.38119447231292725
100,-0.3812011182308197
101,-0.3812011182308197
102,-0.38119447231292725
103,-0.38119447231292725
104,-0.3812011182308197
105,-0.3812011182308197
106,-0.38119447231292725
107,-0.38119447231292725
108,-0.38119447231292725
109,-0.38119447231292725
110,-0.3812011182308197
111,-0.38119447231292725
112,-0.3812011182308197
113,-0.38119447231292725
114,-0.3812011182308197
115,-0.38119447231292725
116,-0.3812011182308197
117,-0.3812011182308197
118,-0.38119447231292725
119,-0.38119447231292725
120,-0.3812011182308197
121,-0.38119447231292725
122,-0.3812011182308197
123,-0.3812011182308197
124,-0.3812011182308197
125,-0.38119447231292725
126,-0.38119447231292725
127,-0.3812011182308197
128,-0.38119447231292725
129,-0.3812011182308197
130,-0.3812011182308197
131,-0.38119447231292725
132,-0.38119447231292725
133,-0.38119447231292725
134,-0.3812011182308197
135,-0.38119447231292725
136,-0.3812011182308197
137,-0.3812011182308197
138,-0.3812011182308197
139,-0.3812011182308197
140,-0.3812011182308197
141,-0.3812011182308197
142,-0.38119447231292725
143,-0.38119447231292725
144,-0.38119447231292725
145,-0.3812011182308197
146,-0.38119447231292725
147,-0.38119447231292725
148,-0.3812011182308197
149,-0.3812011182308197
150,-0.38119447231292725
151,-0.38119447231292725
152,-0.38119447231292725
153,-0.38119447231292725
154,-0.38119447231292725
155,-0.3812011182308197
156,-0.3812011182308197
157,-0.38119447231292725
158,-0.3812011182308197
159,-0.3812011182308197
160,-0.3812011182308197
161,-0.3812011182308197
162,-0.3812011182308197
163,-0.38119447231292725
164,-0.38119447231292725
165,-0.3812011182308197
166,-0.38119447231292725
167,-0.38119447231292725
168,-0.38119447231292725
169,-0.38119447231292725
170,-0.3812011182308197
171,-0.3812011182308197
172,-0.3812011182308197
173,-0.3812011182308197
174,-0.3812011182308197
175,-0.3812011182308197
176,-0.38119447231292725
177,-0.38119447231292725
178,-0.3812011182308197
179,-0.3812011182308197
180,-0.38119447231292725
181,-0.38119447231292725
182,-0.38119447231292725
183,-0.3812011182308197
184,-0.3812011182308197
185,-0.38119447231292725
186,-0.3812011182308197
187,-0.3812011182308197
188,-0.38119447231292725
189,-0.38119447231292725
190,-0.3812011182308197
191,-0.38119447231292725
192,-0.38119447231292725
193,-0.3812011182308197
194,-0.3812011182308197
195,-0.38119447231292725
196,-0.38119447231292725
197,-0.38119447231292725
198,-0.38119447231292725
