step,box_rotation_delta_0
0,160.16140747070312
1,0.0
2,0.0
3,-3.0517578125e-05
4,3.0517578125e-05
5,0.0
6,0.0
7,0.0
8,-3.0517578125e-05
9,3.0517578125e-05
10,-3.0517578125e-05
11,0.0
12,3.0517578125e-05
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,-3.0517578125e-05
28,3.0517578125e-05
29,-3.0517578125e-05
30,3.0517578125e-05
31,-3.0517578125e-05
32,3.0517578125e-05
33,0.0
34,0.0
35,0.0
36,0.567352294921875
37,1.49237060546875
38,0.12078857421875
39,-0.124542236328125
40,-0.060028076171875
41,-0.127899169921875
42,0.2469482421875
43,0.619232177734375
44,1.24420166015625
45,2.1636962890625
46,3.1387939453125
47,3.551177978515625
48,2.940948486328125
49,1.6177978515625
50,0.20733642578125
51,-3.0517578125e-05
52,3.0517578125e-05
53,0.0
54,-3.0517578125e-05
55,3.0517578125e-05
56,-3.0517578125e-05
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,3.0517578125e-05
63,0.0
64,-3.0517578125e-05
65,0.0
66,0.0
67,0.0
68,3.0517578125e-05
69,0.0
70,-3.0517578125e-05
71,0.0
72,3.0517578125e-05
73,0.0
74,0.0
75,-3.0517578125e-05
76,0.0
77,0.0
78,0.0
79,0.0
80,3.0517578125e-05
81,0.0
82,-3.0517578125e-05
83,0.0
84,0.0
85,0.0
86,3.0517578125e-05
87,-3.0517578125e-05
88,0.0
89,0.0
90,0.0
91,3.0517578125e-05
92,0.0
93,0.0
94,-3.0517578125e-05
95,3.0517578125e-05
96,-3.0517578125e-05
97,3.0517578125e-05
98,0.0
99,0.0
100,-3.0517578125e-05
101,3.0517578125e-05
102,0.0
103,-3.0517578125e-05
104,0.0
105,0.0
106,0.0
107,3.0517578125e-05
108,-3.0517578125e-05
109,3.0517578125e-05
110,-3.0517578125e-05
111,0.0
112,0.0
113,0.0
114,3.0517578125e-05
115,-3.0517578125e-05
116,3.0517578125e-05
117,-3.0517578125e-05
118,0.0
119,3.0517578125e-05
120,-3.0517578125e-05
121,0.0
122,0.0
123,0.0
124,3.0517578125e-05
125,0.0
126,0.0
127,-3.0517578125e-05
128,0.0
129,0.0
130,3.0517578125e-05
131,0.0
132,0.0
133,0.0
134,-3.0517578125e-05
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,3.0517578125e-05
141,-3.0517578125e-05
142,3.0517578125e-05
143,-3.0517578125e-05
144,3.0517578125e-05
145,-3.0517578125e-05
146,0.0
147,3.0517578125e-05
148,-3.0517578125e-05
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,3.0517578125e-05
158,-3.0517578125e-05
159,3.0517578125e-05
160,-3.0517578125e-05
161,3.0517578125e-05
162,-3.0517578125e-05
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,3.0517578125e-05
169,-3.0517578125e-05
170,0.0
171,0.0
172,3.0517578125e-05
173,-3.0517578125e-05
174,3.0517578125e-05
175,-3.0517578125e-05
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,3.0517578125e-05
185,0.0
186,-3.0517578125e-05
187,0.0
188,0.0
189,0.0
190,0.0
191,3.0517578125e-05
192,-3.0517578125e-05
193,3.0517578125e-05
194,0.0
195,0.0
196,-3.0517578125e-05
197,0.0
198,3.0517578125e-05
