step,agent/xarm7_ball_ee-0/qpos_0,agent/xarm7_ball_ee-0/qpos_1,agent/xarm7_ball_ee-0/qpos_2,agent/xarm7_ball_ee-0/qpos_3,agent/xarm7_ball_ee-0/qpos_4,agent/xarm7_ball_ee-0/qpos_5,agent/xarm7_ball_ee-0/qpos_6,agent/xarm7_ball_ee-0/qpos_7,agent/xarm7_ball_ee-0/qvel_0,agent/xarm7_ball_ee-0/qvel_1,agent/xarm7_ball_ee-0/qvel_2,agent/xarm7_ball_ee-0/qvel_3,agent/xarm7_ball_ee-0/qvel_4,agent/xarm7_ball_ee-0/qvel_5,agent/xarm7_ball_ee-0/qvel_6,agent/xarm7_ball_ee-0/qvel_7,agent/xarm7_ball_ee-1/qpos_0,agent/xarm7_ball_ee-1/qpos_1,agent/xarm7_ball_ee-1/qpos_2,agent/xarm7_ball_ee-1/qpos_3,agent/xarm7_ball_ee-1/qpos_4,agent/xarm7_ball_ee-1/qpos_5,agent/xarm7_ball_ee-1/qpos_6,agent/xarm7_ball_ee-1/qpos_7,agent/xarm7_ball_ee-1/qvel_0,agent/xarm7_ball_ee-1/qvel_1,agent/xarm7_ball_ee-1/qvel_2,agent/xarm7_ball_ee-1/qvel_3,agent/xarm7_ball_ee-1/qvel_4,agent/xarm7_ball_ee-1/qvel_5,agent/xarm7_ball_ee-1/qvel_6,agent/xarm7_ball_ee-1/qvel_7,extra/box_pose_6d_from_bimanual_center_0,extra/box_pose_6d_from_bimanual_center_1,extra/box_pose_6d_from_bimanual_center_2,extra/box_pose_6d_from_bimanual_center_3,extra/box_pose_6d_from_bimanual_center_4,extra/box_pose_6d_from_bimanual_center_5,extra/box_pose_6d_from_bimanual_center_6,extra/box_pose_6d_from_bimanual_center_7,extra/box_pose_6d_from_bimanual_center_8
10,-0.060667749494314194,-0.17959712445735931,-0.19151058793067932,0.7125515341758728,-0.38129955530166626,1.087444543838501,-0.07824043929576874,0.7237100601196289,0.14714378118515015,0.6290708780288696,-0.03036320023238659,0.03196368366479874,-0.4408297538757324,-0.4419407546520233,-0.0936991423368454,0.021986328065395355,0.05077940598130226,-0.17063315212726593,0.09897884726524353,1.1878243684768677,-0.132381409406662,0.9723575115203857,-0.14241603016853333,0.7234964966773987,0.13618828356266022,0.5326188206672668,0.1733175814151764,0.5042521953582764,-0.083064004778862,-0.4981231391429901,-0.40140679478645325,0.007613318040966988,0.4534148573875427,0.0171990767121315,-0.02909409999847412,1.0,-3.462409097210184e-07,1.7214637182405568e-06,3.462397160092223e-07,1.0,6.827068546044757e-07
11,-0.0493692122399807,-0.1476060152053833,-0.19365021586418152,0.7139513492584229,-0.4120509624481201,1.058293342590332,-0.08278874307870865,0.7237273454666138,0.21658872067928314,0.6166712045669556,0.018183372914791107,0.05945361405611038,-0.4372771978378296,-0.44619637727737427,-0.06339980661869049,-0.009693745523691177,0.05838441476225853,-0.1439705193042755,0.1070980355143547,1.2101150751113892,-0.1370352804660797,0.9406972527503967,-0.1721397191286087,0.7234714031219482,0.1590469926595688,0.5006276369094849,0.1590573787689209,0.3936346769332886,-0.060888275504112244,-0.49305829405784607,-0.4162980318069458,0.04038958624005318,0.4534148871898651,0.017199089750647545,-0.02909409999847412,1.0,-2.302216870475604e-07,1.7906606899487088e-06,2.3022012385354174e-07,1.0,8.692948654243082e-07
12,-0.034960146993398666,-0.1163519099354744,-0.19365359842777252,0.7160091400146484,-0.4427775740623474,1.0287725925445557,-0.08466747403144836,0.7237372994422913,0.2733610272407532,0.6012568473815918,0.05694633349776268,0.062306009232997894,-0.43617334961891174,-0.4506598114967346,-0.02620035782456398,0.015019521117210388,0.06759925186634064,-0.11898858845233917,0.11405646055936813,1.2260767221450806,-0.14013272523880005,0.9088380336761475,-0.20186243951320648,0.7234421372413635,0.1845708191394806,0.47474658489227295,0.14379537105560303,0.27236929535865784,-0.03831223398447037,-0.48634204268455505,-0.41637110710144043,0.07529722899198532,0.4534148573875427,0.0171990767121315,-0.02909409999847412,1.0,-3.147157769944897e-07,1.6988316247079638e-06,3.147146401261125e-07,1.0,6.56829229228606e-07
13,-0.018232177942991257,-0.08588714897632599,-0.19205115735530853,0.7176129817962646,-0.4734373688697815,0.9988527297973633,-0.08416797965765,0.7237370610237122,0.3137206435203552,0.5865751504898071,0.08335264772176743,0.045846570283174515,-0.4335634112358093,-0.45422568917274475,0.007049703970551491,0.01493727695196867,0.07821056991815567,-0.09520144015550613,0.12024810165166855,1.2356928586959839,-0.14061973989009857,0.8769686818122864,-0.23158463835716248,0.723400890827179,0.20972736179828644,0.45977693796157837,0.13642317056655884,0.15606172382831573,-0.0007611446781083941,-0.4786732792854309,-0.4163855314254761,0.12486656755208969,0.4534148573875427,0.01719907857477665,-0.02909409999847412,1.0,-2.518664530271053e-07,1.7840575310401618e-06,2.518650319416338e-07,1.0,8.089546099654399e-07
14,-0.00020059877715539187,-0.056443143635988235,-0.189158096909523,0.7170575261116028,-0.503911018371582,0.9770174026489258,-0.08111528307199478,0.7237132787704468,0.3200751543045044,0.5618283152580261,0.08797897398471832,-0.06806278973817825,-0.4352232813835144,-0.39283108711242676,0.04094433784484863,-0.01993742771446705,0.09013184159994125,-0.0720975250005722,0.126200333237648,1.239258885383606,-0.13915348052978516,0.8451192378997803,-0.26130855083465576,0.7233598828315735,0.23464876413345337,0.453369677066803,0.1372368037700653,0.045629389584064484,0.026361750438809395,-0.47110018134117126,-0.41648972034454346,0.1744225174188614,0.45464998483657837,0.016897911205887794,-0.029094107449054718,0.9999842047691345,-0.005619253031909466,7.882829322625184e-07,0.005619253031909466,0.9999842047691345,2.4360520001209807e-07
15,0.017431803047657013,-0.02680717408657074,-0.18520233035087585,0.7123658061027527,-0.5341221690177917,0.9556580781936646,-0.07531455159187317,0.723703920841217,0.3304626941680908,0.5935519933700562,0.11560323089361191,-0.07915934175252914,-0.4323055148124695,-0.38977596163749695,0.07958600670099258,-0.019296536222100258,0.10271117836236954,-0.049756068736314774,0.13286538422107697,1.2360092401504517,-0.13659639656543732,0.8129734396934509,-0.2903498709201813,0.7233179211616516,0.2506043314933777,0.4406774640083313,0.15146860480308533,-0.08974255621433258,0.04116643965244293,-0.46407896280288696,-0.407020628452301,0.22537091374397278,0.45698976516723633,0.01604625955224037,-0.029094088822603226,0.9998701214790344,-0.01611747220158577,6.451821263908641e-07,0.01611747220158577,0.9998701214790344,1.3274799925966363e-07
16,0.03575408458709717,0.002954722149297595,-0.17981727421283722,0.7065678834915161,-0.564191460609436,0.9354271292686462,-0.06661679595708847,0.7236971855163574,0.3486718237400055,0.5733330845832825,0.14225170016288757,-0.10971192270517349,-0.43317458033561707,-0.3633577525615692,0.11983276158571243,0.019489532336592674,0.11684700101613998,-0.027611559256911278,0.13930048048496246,1.2265530824661255,-0.132943794131279,0.7810326218605042,-0.3187967538833618,0.7232786417007446,0.27611738443374634,0.446795254945755,0.14901690185070038,-0.1953117549419403,0.05593634024262428,-0.4559638202190399,-0.3986842632293701,0.2718185782432556,0.4587254524230957,0.015232604928314686,-0.029094085097312927,0.999690592288971,-0.02487320825457573,4.926794758830511e-07,0.02487320825457573,0.999690592288971,4.96958456608354e-08
17,0.05513857677578926,0.03062525764107704,-0.17353400588035583,0.6990523338317871,-0.5940457582473755,0.9172427654266357,-0.0559653714299202,0.7236958146095276,0.3661585748195648,0.5170142650604248,0.15719299018383026,-0.14538858830928802,-0.42978906631469727,-0.32383424043655396,0.14705440402030945,-0.013582954183220863,0.13213671743869781,-0.004830123856663704,0.14561185240745544,1.2124382257461548,-0.12811583280563354,0.7493540048599243,-0.3463501036167145,0.7232406139373779,0.2955258786678314,0.4652438759803772,0.14823932945728302,-0.2733081579208374,0.07173377275466919,-0.44886302947998047,-0.3861691355705261,0.3170008957386017,0.4597788453102112,0.014642528258264065,-0.029094066470861435,0.9995219707489014,-0.030915746465325356,7.872150149523804e-07,0.030915746465325356,0.9995219707489014,1.2280856331869927e-08
18,0.07527200132608414,0.05525903031229973,-0.16682058572769165,0.6898338794708252,-0.6236611604690552,0.9010390043258667,-0.04362374171614647,0.7236959338188171,0.3757989704608917,0.4563586115837097,0.16315194964408875,-0.17446386814117432,-0.4290098249912262,-0.287116676568985,0.17044655978679657,0.03174632042646408,0.14841727912425995,0.0190466046333313,0.15165747702121735,1.194892168045044,-0.12332157790660858,0.7178989052772522,-0.3735511004924774,0.7232139706611633,0.3100685179233551,0.48879361152648926,0.14362876117229462,-0.33135107159614563,0.06987886130809784,-0.44294095039367676,-0.38126271963119507,0.3483768105506897,0.46030768752098083,0.014306509867310524,-0.029094107449054718,0.9994120001792908,-0.034287188202142715,-6.842644211246807e-07,0.034287188202142715,0.9994120001792908,-3.969631450218003e-07
19,0.09929025173187256,0.0688907578587532,-0.15919645130634308,0.6849331855773926,-0.6609459519386292,0.9043329954147339,-0.031539056450128555,0.7238916754722595,0.4230633080005646,0.142571359872818,0.14557166397571564,-0.09644913673400879,-0.647736668586731,0.08875215798616409,0.1693669706583023,-0.059999868273735046,0.1651047021150589,0.04436073452234268,0.15771031379699707,1.1752365827560425,-0.11787904798984528,0.6867830753326416,-0.39991605281829834,0.7231879234313965,0.3167468011379242,0.5182336568832397,0.1435728669166565,-0.36281877756118774,0.07853972166776657,-0.4377009868621826,-0.36943790316581726,0.379300057888031,0.46139344573020935,0.014135866425931454,-0.02909410372376442,0.9992157220840454,-0.039597902446985245,1.0541485835346975e-06,0.039597902446985245,0.9992157220840454,-3.219711288693361e-07
