step,box_rotation_progress_0
0,0.0
1,0.0
2,0.0
3,0.0
4,6.103515625e-05
5,0.0
6,0.0
7,3.0517578125e-05
8,0.0
9,0.0
10,6.103515625e-05
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,6.103515625e-05
18,0.0
19,0.0
20,6.103515625e-05
21,0.0
22,0.0
23,0.0
24,3.0517578125e-05
25,3.0517578125e-05
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,3.0517578125e-05
38,3.0517578125e-05
39,3.0517578125e-05
40,3.0517578125e-05
41,6.103515625e-05
42,0.0
43,6.103515625e-05
44,0.0
45,0.0
46,3.0517578125e-05
47,0.0
48,0.0
49,6.103515625e-05
50,6.103515625e-05
51,6.103515625e-05
52,9.1552734375e-05
53,9.1552734375e-05
54,0.0
55,3.0517578125e-05
56,3.0517578125e-05
57,9.1552734375e-05
58,3.0517578125e-05
59,3.0517578125e-05
60,3.0517578125e-05
61,3.0517578125e-05
62,3.0517578125e-05
63,3.0517578125e-05
64,3.0517578125e-05
65,3.0517578125e-05
66,3.0517578125e-05
67,6.103515625e-05
68,3.0517578125e-05
69,3.0517578125e-05
70,3.0517578125e-05
71,6.103515625e-05
72,6.103515625e-05
73,3.0517578125e-05
74,6.103515625e-05
75,6.103515625e-05
76,6.103515625e-05
77,3.0517578125e-05
78,3.0517578125e-05
79,3.0517578125e-05
80,3.0517578125e-05
81,3.0517578125e-05
82,3.0517578125e-05
83,3.0517578125e-05
84,3.0517578125e-05
85,3.0517578125e-05
86,3.0517578125e-05
87,6.103515625e-05
88,0.0
89,6.103515625e-05
90,3.0517578125e-05
91,6.103515625e-05
92,3.0517578125e-05
93,3.0517578125e-05
94,3.0517578125e-05
95,6.103515625e-05
96,6.103515625e-05
97,3.0517578125e-05
98,6.103515625e-05
99,0.0
100,3.0517578125e-05
101,3.0517578125e-05
102,3.0517578125e-05
103,3.0517578125e-05
104,6.103515625e-05
105,3.0517578125e-05
106,6.103515625e-05
107,6.103515625e-05
108,0.0
109,6.103515625e-05
110,3.0517578125e-05
111,6.103515625e-05
112,6.103515625e-05
113,3.0517578125e-05
114,6.103515625e-05
115,6.103515625e-05
116,6.103515625e-05
117,6.103515625e-05
118,0.0
119,6.103515625e-05
120,3.0517578125e-05
121,6.103515625e-05
122,6.103515625e-05
123,3.0517578125e-05
124,6.103515625e-05
125,6.103515625e-05
126,0.0
127,3.0517578125e-05
128,3.0517578125e-05
129,6.103515625e-05
130,0.0
131,6.103515625e-05
132,3.0517578125e-05
133,6.103515625e-05
134,0.0
135,3.0517578125e-05
136,3.0517578125e-05
137,6.103515625e-05
138,0.0
139,0.0
140,6.103515625e-05
141,6.103515625e-05
142,0.0
143,6.103515625e-05
144,3.0517578125e-05
145,6.103515625e-05
146,3.0517578125e-05
147,6.103515625e-05
148,0.0
149,3.0517578125e-05
150,9.1552734375e-05
151,3.0517578125e-05
152,3.0517578125e-05
153,3.0517578125e-05
154,3.0517578125e-05
155,3.0517578125e-05
156,3.0517578125e-05
157,3.0517578125e-05
158,3.0517578125e-05
159,6.103515625e-05
160,3.0517578125e-05
161,3.0517578125e-05
162,3.0517578125e-05
163,3.0517578125e-05
164,3.0517578125e-05
165,3.0517578125e-05
166,3.0517578125e-05
167,3.0517578125e-05
168,3.0517578125e-05
169,6.103515625e-05
170,6.103515625e-05
171,3.0517578125e-05
172,3.0517578125e-05
173,6.103515625e-05
174,6.103515625e-05
175,6.103515625e-05
176,3.0517578125e-05
177,6.103515625e-05
178,6.103515625e-05
179,3.0517578125e-05
180,3.0517578125e-05
181,3.0517578125e-05
182,6.103515625e-05
183,6.103515625e-05
184,6.103515625e-05
185,6.103515625e-05
186,0.0
187,6.103515625e-05
188,6.103515625e-05
189,6.103515625e-05
190,6.103515625e-05
191,6.103515625e-05
192,0.0
193,0.0
194,6.103515625e-05
195,9.1552734375e-05
196,3.0517578125e-05
197,6.103515625e-05
198,6.103515625e-05
