step,mesured_q_0,mesured_q_1,mesured_q_2,mesured_q_3,mesured_q_4,mesured_q_5,mesured_q_6,mesured_q_7,mesured_q_8,mesured_q_9,mesured_q_10,mesured_q_11,mesured_q_12,mesured_q_13,mesured_q_14,mesured_q_15
0,0.004683754872530699,-0.46230873465538025,-0.03943731635808945,0.8443270325660706,-0.07671935856342316,1.282422423362732,0.02572750858962536,0.7237303853034973,0.008763682097196579,-0.46298113465309143,-0.006810539867728949,0.8798368573188782,-0.06486403942108154,1.2758069038391113,0.02780952677130699,0.723587691783905
1,-0.004014949314296246,-0.4503296911716461,-0.05565045401453972,0.8296090960502625,-0.10539834946393967,1.3026418685913086,0.020690159872174263,0.7236630916595459,0.016052769497036934,-0.43680205941200256,0.000493889965582639,0.9082726240158081,-0.07670599967241287,1.2466360330581665,0.02495855838060379,0.723565936088562
2,-0.017327312380075455,-0.4316142797470093,-0.0777541771531105,0.8078079223632812,-0.13518744707107544,1.307104468345642,0.012372978962957859,0.7236067652702332,0.021459441632032394,-0.40792137384414673,0.009210261516273022,0.9395087361335754,-0.0841081365942955,1.2164520025253296,0.019157538190484047,0.7235439419746399
3,-0.03281553462147713,-0.4074229896068573,-0.10055642575025558,0.7822465896606445,-0.1658305674791336,1.2908596992492676,-0.00016556728223804384,0.7235842347145081,0.023785995319485664,-0.37841951847076416,0.020406784489750862,0.9711442589759827,-0.08922824263572693,1.1860946416854858,0.009319924749433994,0.7235329151153564
4,-0.04748395457863808,-0.3778989017009735,-0.12161333858966827,0.7597084641456604,-0.19656071066856384,1.2622591257095337,-0.014584040269255638,0.7235854864120483,0.025333769619464874,-0.3487275242805481,0.03298785164952278,1.0027588605880737,-0.09510568529367447,1.1557390689849854,-0.0051053231582045555,0.723531186580658
5,-0.059185806661844254,-0.3449542820453644,-0.1402827799320221,0.7435796856880188,-0.22734490036964417,1.2330117225646973,-0.028415875509381294,0.7236009240150452,0.027932042255997658,-0.3189169466495514,0.0455227755010128,1.034334659576416,-0.10187633335590363,1.1253794431686401,-0.02293408289551735,0.7235280275344849
6,-0.06722276657819748,-0.311376690864563,-0.15619181096553802,0.7314543724060059,-0.2582043707370758,1.2036254405975342,-0.04096180945634842,0.7236196398735046,0.03126714751124382,-0.28900980949401855,0.057560089975595474,1.0658994913101196,-0.10851793736219406,1.0949914455413818,-0.04265531525015831,0.723521888256073
7,-0.07144239544868469,-0.27802222967147827,-0.16922219097614288,0.722341775894165,-0.2890058159828186,1.174371600151062,-0.05251264199614525,0.7236405611038208,0.03505029156804085,-0.25904080271720886,0.06895779073238373,1.09745192527771,-0.11461307108402252,1.0645979642868042,-0.0641152560710907,0.7235137224197388
8,-0.07180361449718475,-0.24494189023971558,-0.17944557964801788,0.7161930203437805,-0.31977060437202454,1.145293951034546,-0.06283608078956604,0.7236635684967041,0.0394047275185585,-0.22903035581111908,0.07971297204494476,1.1289838552474976,-0.12038639187812805,1.0342071056365967,-0.0876634418964386,0.7235072255134583
9,-0.06822188198566437,-0.21211253106594086,-0.18686698377132416,0.7130182981491089,-0.3505311906337738,1.1163605451583862,-0.07154075801372528,0.7236871123313904,0.044559210538864136,-0.1991751492023468,0.0897698700428009,1.1600465774536133,-0.12627358734607697,1.0036808252334595,-0.1137561947107315,0.723503053188324
10,-0.060667749494314194,-0.17959712445735931,-0.19151058793067932,0.7125515341758728,-0.38129955530166626,1.087444543838501,-0.07824043929576874,0.7237100601196289,0.05077940598130226,-0.17063315212726593,0.09897884726524353,1.1878243684768677,-0.132381409406662,0.9723575115203857,-0.14241603016853333,0.7234964966773987
11,-0.0493692122399807,-0.1476060152053833,-0.19365021586418152,0.7139513492584229,-0.4120509624481201,1.058293342590332,-0.08278874307870865,0.7237273454666138,0.05838441476225853,-0.1439705193042755,0.1070980355143547,1.2101150751113892,-0.1370352804660797,0.9406972527503967,-0.1721397191286087,0.7234714031219482
12,-0.034960146993398666,-0.1163519099354744,-0.19365359842777252,0.7160091400146484,-0.4427775740623474,1.0287725925445557,-0.08466747403144836,0.7237372994422913,0.06759925186634064,-0.11898858845233917,0.11405646055936813,1.2260767221450806,-0.14013272523880005,0.9088380336761475,-0.20186243951320648,0.7234421372413635
13,-0.018232177942991257,-0.08588714897632599,-0.19205115735530853,0.7176129817962646,-0.4734373688697815,0.9988527297973633,-0.08416797965765,0.7237370610237122,0.07821056991815567,-0.09520144015550613,0.12024810165166855,1.2356928586959839,-0.14061973989009857,0.8769686818122864,-0.23158463835716248,0.723400890827179
14,-0.00020059877715539187,-0.056443143635988235,-0.189158096909523,0.7170575261116028,-0.503911018371582,0.9770174026489258,-0.08111528307199478,0.7237132787704468,0.09013184159994125,-0.0720975250005722,0.126200333237648,1.239258885383606,-0.13915348052978516,0.8451192378997803,-0.26130855083465576,0.7233598828315735
15,0.017431803047657013,-0.02680717408657074,-0.18520233035087585,0.7123658061027527,-0.5341221690177917,0.9556580781936646,-0.07531455159187317,0.723703920841217,0.10271117836236954,-0.049756068736314774,0.13286538422107697,1.2360092401504517,-0.13659639656543732,0.8129734396934509,-0.2903498709201813,0.7233179211616516
16,0.03575408458709717,0.002954722149297595,-0.17981727421283722,0.7065678834915161,-0.564191460609436,0.9354271292686462,-0.06661679595708847,0.7236971855163574,0.11684700101613998,-0.027611559256911278,0.13930048048496246,1.2265530824661255,-0.132943794131279,0.7810326218605042,-0.3187967538833618,0.7232786417007446
17,0.05513857677578926,0.03062525764107704,-0.17353400588035583,0.6990523338317871,-0.5940457582473755,0.9172427654266357,-0.0559653714299202,0.7236958146095276,0.13213671743869781,-0.004830123856663704,0.14561185240745544,1.2124382257461548,-0.12811583280563354,0.7493540048599243,-0.3463501036167145,0.7232406139373779
18,0.07527200132608414,0.05525903031229973,-0.16682058572769165,0.6898338794708252,-0.6236611604690552,0.9010390043258667,-0.04362374171614647,0.7236959338188171,0.14841727912425995,0.0190466046333313,0.15165747702121735,1.194892168045044,-0.12332157790660858,0.7178989052772522,-0.3735511004924774,0.7232139706611633
19,0.09929025173187256,0.0688907578587532,-0.15919645130634308,0.6849331855773926,-0.6609459519386292,0.9043329954147339,-0.031539056450128555,0.7238916754722595,0.1651047021150589,0.04436073452234268,0.15771031379699707,1.1752365827560425,-0.11787904798984528,0.6867830753326416,-0.39991605281829834,0.7231879234313965
20,0.12366465479135513,0.07368732988834381,-0.15703009068965912,0.675990879535675,-0.6956378817558289,0.9084723591804504,-0.015499003231525421,0.7238479852676392,0.18336860835552216,0.07096212357282639,0.16176407039165497,1.1539722681045532,-0.11240891367197037,0.6557327508926392,-0.42503154277801514,0.7231778502464294
21,0.14542658627033234,0.0751035213470459,-0.15599371492862701,0.6643328070640564,-0.7268111109733582,0.9110056757926941,-5.132582373335026e-05,0.7238338589668274,0.20067837834358215,0.09857894480228424,0.16592946648597717,1.131255865097046,-0.10782768577337265,0.6248202323913574,-0.44920894503593445,0.723166286945343
22,0.16526615619659424,0.07473867386579514,-0.1561068892478943,0.6518291234970093,-0.7550453543663025,0.9121557474136353,0.015360000543296337,0.7237939834594727,0.21741202473640442,0.12736165523529053,0.16992011666297913,1.108026385307312,-0.10321410000324249,0.5942515134811401,-0.4727533459663391,0.7231577634811401
23,0.1829870492219925,0.07294651120901108,-0.15683376789093018,0.6390844583511353,-0.7801818251609802,0.9122804999351501,0.030402302742004395,0.7237432599067688,0.23364147543907166,0.15727198123931885,0.1735655963420868,1.0849320888519287,-0.10022127628326416,0.563860297203064,-0.49616339802742004,0.7231586575508118
24,0.19923867285251617,0.06928850710391998,-0.15760427713394165,0.625977635383606,-0.8011454939842224,0.9120379090309143,0.045370250940322876,0.7237218022346497,0.24643222987651825,0.18349720537662506,0.17228345572948456,1.0769779682159424,-0.10458303242921829,0.5170020461082458,-0.5193618535995483,0.7233422994613647
25,0.2097974419593811,0.06737745553255081,-0.15477000176906586,0.6160764098167419,-0.8187305331230164,0.9126123785972595,0.0584787093102932,0.7237280607223511,0.25603505969047546,0.2023395150899887,0.169031023979187,1.067649483680725,-0.12005151808261871,0.477842777967453,-0.5490230321884155,0.7234424352645874
26,0.21634870767593384,0.06373032182455063,-0.15148931741714478,0.6070207953453064,-0.831253170967102,0.9119247794151306,0.07537855207920074,0.7236008644104004,0.2651134133338928,0.21901801228523254,0.1633470356464386,1.053675889968872,-0.1365857869386673,0.4406769275665283,-0.5784607529640198,0.7234170436859131
27,0.22230017185211182,0.05617418885231018,-0.14945155382156372,0.5963897109031677,-0.8398274779319763,0.9088736772537231,0.09055861085653305,0.7235743999481201,0.2726573348045349,0.2364078015089035,0.15798678994178772,1.0379269123077393,-0.1508905440568924,0.40353044867515564,-0.6068748235702515,0.723390519618988
28,0.22720180451869965,0.04719722270965576,-0.1472429633140564,0.5854360461235046,-0.8466915488243103,0.9049124121665955,0.10462423413991928,0.7235747575759888,0.27931082248687744,0.25437721610069275,0.15326759219169617,1.021730661392212,-0.16433636844158173,0.3665238916873932,-0.6345924139022827,0.7233732342720032
29,0.23089030385017395,0.037105098366737366,-0.14466352760791779,0.5743300914764404,-0.8516342639923096,0.9005810022354126,0.11908067762851715,0.7235533595085144,0.28616607189178467,0.2715969979763031,0.14837214350700378,1.0047504901885986,-0.17669746279716492,0.32982337474823,-0.6618250012397766,0.7234100699424744
30,0.23065856099128723,0.026331312954425812,-0.13965776562690735,0.563428521156311,-0.8540800213813782,0.8966564536094666,0.1337975114583969,0.7235492467880249,0.2939276099205017,0.28401604294776917,0.14145353436470032,0.9893398284912109,-0.18920138478279114,0.2959741950035095,-0.6883391737937927,0.7234185338020325
31,0.2304697036743164,0.014108717441558838,-0.13657693564891815,0.5519802570343018,-0.8567312359809875,0.8904154300689697,0.14819695055484772,0.7235071063041687,0.29987427592277527,0.29119008779525757,0.13372565805912018,0.9725377559661865,-0.20466016232967377,0.26579180359840393,-0.7151813507080078,0.7234534025192261
32,0.22879751026630402,-4.291790901334025e-06,-0.13315720856189728,0.5401121377944946,-0.8573988676071167,0.8824571967124939,0.1627979576587677,0.7235007882118225,0.3053784668445587,0.29566046595573425,0.1248420774936676,0.9551481008529663,-0.22041058540344238,0.23769710958003998,-0.742601752281189,0.7234660983085632
33,0.22549770772457123,-0.015226615592837334,-0.12928824126720428,0.5280777215957642,-0.8564851880073547,0.873497724533081,0.17713071405887604,0.7234805822372437,0.31058111786842346,0.2976701557636261,0.11514707654714584,0.9372684955596924,-0.23682013154029846,0.21206310391426086,-0.7696895003318787,0.7234712839126587
34,0.2210749387741089,-0.03119695745408535,-0.12540242075920105,0.5157753229141235,-0.8549185991287231,0.8636590242385864,0.19155845046043396,0.7234583497047424,0.31549838185310364,0.2978460192680359,0.10496718436479568,0.9191874265670776,-0.25279781222343445,0.18803799152374268,-0.7963228225708008,0.7234748601913452
35,0.2155609279870987,-0.0476217158138752,-0.12145911902189255,0.5030774474143982,-0.8531700372695923,0.8534641265869141,0.20590558648109436,0.723455548286438,0.32012054324150085,0.2967213988304138,0.09448588639497757,0.901542067527771,-0.26749613881111145,0.16489115357398987,-0.8221940398216248,0.7234871983528137
36,0.20894446969032288,-0.06398210674524307,-0.11740423738956451,0.49059203267097473,-0.8514365553855896,0.8424875736236572,0.22006365656852722,0.7234500646591187,0.3245638608932495,0.2949269711971283,0.08375771343708038,0.8829646706581116,-0.2824277877807617,0.14453762769699097,-0.8474982976913452,0.7234532237052917
37,0.2021668404340744,-0.0806061178445816,-0.11356380581855774,0.47785648703575134,-0.8492776155471802,0.8314657807350159,0.2344593107700348,0.7234441637992859,0.3284408748149872,0.29385581612586975,0.07320995628833771,0.8641254305839539,-0.29575085639953613,0.12505170702934265,-0.8716056942939758,0.7234285473823547
38,0.19540366530418396,-0.09750812500715256,-0.1097467765212059,0.4646746814250946,-0.8474515080451965,0.8201485872268677,0.24884967505931854,0.7234509587287903,0.3322135806083679,0.2938500940799713,0.06302909553050995,0.8451311588287354,-0.3077737092971802,0.10589393973350525,-0.8952240347862244,0.7234074473381042
